col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
554093,,Doleo super te frater mi ,327v,122,123713,002321,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_2976033&order=1&view=SINGLE,4163,6,1572,1,Doleo super te frater mi Jonathan amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus in bello et hasta ejus non est aversa,Doleo super te frater mi ionathan amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe numquam abiit retrorsum nec declinavit clyppeus eius in bello et hasta eius non est aversa,,"'1890':82A 'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'aversa':41A,77A 'bello':35A,71A 'clipeus':68A 'clyppeus':32A 'de':84B 'declinavit':31A,67A 'diligebam':24A,60A 'doleo':1A,6A,42A 'eius':33A,38A 'ejus':69A,74A 'est':40A,76A 'et':36A,72A 'filium':21A,57A 'frater':4A,9A,45A 'h':86B 'hasta':37A,73A 'ionath':26A 'ionathan':11A 'ita':22A,58A 'jonatha':62A 'jonathan':47A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'musiksammlung':81A 'nationalbibliothek':80A 'nec':30A,66A 'non':39A,75A 'numquam':27A,63A 'regum':85B 'retrorsum':29A,65A 'sagitta':25A,61A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'unicum':19A,55A 'vald':13A,49A 'wien':78A 'österreichisch':79A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123713,10,Cod. 1890,10,Österreichische Nationalbibliothek,A-Wn,Wien,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
230638,,Doleo super te frater mi,125v,122,123606,002321,http://www.e-codices.unifr.ch/en/sbe/0611/125v/small,4163,8,1572,1,Doleo super te frater mi Jonatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus de bello et hasta ejus non est aversa,Doleo super te frater mi ionathan amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe numquam abiit retrorsum nec declinavit clipeus eius de bello et hasta eius non est aversa | euouae,1---d--c--d---f--e---dfd-dc77---fgh--hF---ghgf---e--fg--gf---d--dc--f--e---d--d---d--c---d--f--gF---d--fe--d--d---d7--f---fg--g---h--g--f---g--h---f--fd--dfd-dc---c--d---fe---gh--fe--d--d---hk--kj--h---g--gk7--h---hF--gf---e--f--g---fe--d--d---d---e--fg--g--g---gh--g--g---hF--g---f---gh--fed7---d---c--df---fgF--fe---ghgfe---dc---fe--d--d---4---h--h--g--f--gh--g---3,"'611':81A 'abiit':28A,65A 'amabili':12A,49A 'amat':20A,57A 'amorem':15A,52A 'aversa':41A,78A 'bello':35A,72A 'clipeus':32A,69A 'de':34A,71A,83B 'declinavit':31A,68A 'diligebam':24A,61A 'doleo':1A,6A,43A 'einsiedeln':79A 'eius':33A,38A 'ejus':70A,75A 'est':40A,77A 'et':36A,73A 'euouae':42A 'filium':21A,58A 'frater':4A,9A,46A 'h':85B 'hasta':37A,74A 'ionath':26A 'ionathan':11A 'ita':22A,59A 'jonatha':48A,63A 'mater':18A,55A 'mi':5A,10A,47A 'mulierum':16A,53A 'nec':30A,67A 'non':39A,76A 'numquam':27A,64A 'regum':84B 'retrorsum':29A,66A 'sagitta':25A,62A 'sicut':17A,54A 'stiftsbibliothek':80A 'super':2A,7A,14A,44A,51A 'te':3A,8A,23A,45A,60A 'unicum':19A,56A 'vald':13A,50A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123606,43,611,43,Stiftsbibliothek,CH-E,Einsiedeln,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
181060,,Doleo super te frater mi,121v,122,123714,002321,,4163,1,1572,1,,,,'20':13A 'aachen':6A 'aix':8A 'aix-la-chapell':7A 'chapell':10A 'de':15B 'doleo':1A 'domarchiv':11A 'frater':4A 'g':12A 'h':17B 'la':9A 'mi':5A 'regum':16B 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123714,60,G 20,60,Domarchiv,D-AAm,Aachen (Aix-la-Chapelle),4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
199181,,Doleo super te frater mi,134v,122,123688,002321,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404456&PHYSID=PHYS_0276&view=overview-toc&DMDID=DMDLOG_0002,4163,10,1572,?,,,,"'40047':13A 'berlin':6A,9A 'de':15B 'doleo':1A 'frater':4A 'h':17B 'kulturbesitz':11A 'mi':5A 'mus':12A 'preußisch':10A 'regum':16B 'staatsbibliothek':7A 'super':2A 'te':3A 'zu':8A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123688,61,Mus. 40047,61,Staatsbibliothek Preussischer Kulturbesitz,D-B,Berlin,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
187105,,Doleo super te frater mi,127r,122,123594,002321,http://digital.bib-bvb.de/webclient/DeliveryManager?pid=18742684,4163,12,1572,1,,,,'11':12A '25':9A 'bamberg':6A 'de':14B 'doleo':1A 'ed.iv':11A 'frater':4A 'h':16B 'mi':5A 'msc.lit':8A 'olim':10A 'regum':15B 'staatsbibliothek':7A 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123594,62,Msc.Lit.25 (olim Ed.IV.11),62,Staatsbibliothek,D-BAs,Bamberg,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
258045,,Doleo super te frater mi,046v,122,123685,002321,https://fuldig.hs-fulda.de/viewer/fullscreen/PPN432340890/100/,4163,6,1572,1,,,,'55':10A 'aa':9A 'de':12B 'doleo':1A 'frater':4A 'fulda':6A 'h':14B 'hessisch':7A 'landesbibliothek':8A 'mi':5A 'regum':13B 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123685,67,Aa 55,67,Hessische Landesbibliothek,D-FUl,Fulda,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
619119,,Doleo super te frater mi,194v,122,123612,002321,http://digital.blb-karlsruhe.de/blbhs/content/pageview/1253640,4163,8,1572,1,Doleo super te frater mi Jonathan amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus de bello et hasta ejus non est aversa,Doleo super te frater mi ionathan amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagytta ionathae nunquam abiit retrorsum nec declinavit clypeus eius de bello et hasta eius non est aversa,1---d--c--d---f--e---dfd-dc---fgh--h---ghg---fe--fg--g7---d--dc--f--e---d--d---d--c---d--f--g---d--fe--d--d---d--f---g--g---h--g--f---g--gh---f--e--dfd-dc---c--d7---fE---gh--fe--d--d---hk--kj--h---g--gk--h---h--gF---e--f--g---fe--d--d---d---e--f--g--g---h7--g--g---hG--g---f---ghG--fed---d---c--df---ffgF--f---ghgfe---dc---f--d--d---3,"'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'aug':82A 'aversa':41A,77A 'badisch':79A 'bello':35A,71A 'clipeus':68A 'clypeus':32A 'de':34A,70A,85B 'declinavit':31A,67A 'diligebam':24A,60A 'doleo':1A,6A,42A 'eius':33A,38A 'ejus':69A,74A 'est':40A,76A 'et':36A,72A 'filium':21A,57A 'frater':4A,9A,45A 'h':87B 'hasta':37A,73A 'ionatha':26A 'ionathan':11A 'ita':22A,58A 'jonatha':62A 'jonathan':47A 'karlsruh':78A 'landesbibliothek':80A 'lx':83A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'musikabteilung':81A 'nec':30A,66A 'non':39A,75A 'numquam':63A 'nunquam':27A 'regum':86B 'retrorsum':29A,65A 'sagitta':61A 'sagytta':25A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'unicum':19A,55A 'vald':13A,49A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123612,69,Aug. LX,69,Badische Landesbibliothek - Musiksammlung,D-KA,Karlsruhe,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
334012,,Doleo super te frater mi ,150r,122,123741,002321,https://digital.dombibliothek-koeln.de/hs/content/zoom/185256,4163,12,1572,?,Doleo super te frater mi Jonatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus in bello et hasta ejus non est aversa,Doleo super te frater mi ionatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe numquam abiit retrorsum nec declinavit clipeus eius in bello et hasta eius non est aversa,,"'215':84A 'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'aversa':41A,77A 'bello':35A,71A 'clipeus':32A,68A 'cologn':79A 'de':86B 'declinavit':31A,67A 'diligebam':24A,60A 'diözesan':81A 'doleo':1A,6A,42A 'dombibliothek':83A 'eius':33A,38A 'ejus':69A,74A 'erzbischöflich':80A 'est':40A,76A 'et':36A,72A 'filium':21A,57A 'frater':4A,9A,45A 'h':88B 'hasta':37A,73A 'ionath':26A 'ionatha':11A 'ita':22A,58A 'jonatha':47A,62A 'köln':78A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'nec':30A,66A 'non':39A,75A 'numquam':27A,63A 'regum':87B 'retrorsum':29A,65A 'sagitta':25A,61A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'und':82A 'unicum':19A,55A 'vald':13A,49A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123741,71,215,71,Erzbischöfliche Diözesan- und Dombibliothek,D-KNd,Köln,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
348796,,Doleo super te frater mi,002v,122,123623,002321,,4163,7,1572,1,,,,'bischöflich':7A 'd':11A 'de':13B 'diözesanmuseum':10A 'doleo':1A 'dom':8A 'frater':4A 'h':15B 'mainz':6A 'mi':5A 'regum':14B 'super':2A 'te':3A 'und':9A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123623,74,D,74,Bischöfliches Dom- und Diözesanmuseum,D-MZb,Mainz,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
377095,,Doleo super te frater mi,118v,122,123684,002321,https://www.digitale-sammlungen.de/en/view/bsb00060191?page=240,4163,14,1572,1,,,1--c-c-d--f-e--dfdc--fg-hj-h--ghg,'4306':10A 'bayerisch':7A 'clm':9A 'de':12B 'doleo':1A 'frater':4A 'h':14B 'mi':5A 'münchen':6A 'regum':13B 'staatsbibliothek':8A 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123684,76,Clm 4306,76,Bayerische Staatsbibliothek,D-Mbs,München,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
435463,,Doleo super te frater mi,166v,122,123637,002321,,4163,8,1572,1,,,,'de':11B 'doleo':1A 'frater':4A 'h':13B 'hb.i.55':9A 'landesbibliothek':8A 'mi':5A 'regum':12B 'stuttgart':6A 'super':2A 'te':3A 'württembergisch':7A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123637,82,HB.I.55,82,Württembergische Landesbibliothek,D-Sl,Stuttgart,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
312686,,Doleo super te frater mi,023r,122,123696,002321,https://cantus.app.uni-regensburg.de/microfilm/copenhagen/vol8/pages/023.html,4163,8,1572,1,,,1--d-c-d--f-f--dfddc--fgh-h--ghg-,'08':17A '3449':15A '8o':16A 'bibliotek':10A 'copenhagen':7A 'de':20B 'det':8A 'doleo':1A 'frater':4A 'gl':12A 'h':22B 'kgl':13A 'kongelig':9A 'københavn':6A 'mi':5A 'regum':21B 'slotsholmen':11A 'super':2A 'te':3A 'viii':18A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123696,89,Gl. Kgl. S. 3449 8o [08] VIII,89,Det kongelige Bibliotek Slotsholmen,DK-Kk,København (Copenhagen),4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
481724,,Doleo super te frater mi,181r,122,123638,002321,,4163,10,1572,1,,,,'44.1':12A 'archivo':8A 'biblioteca':10A 'capítular':11A 'catedr':7A 'de':14B 'doleo':1A 'frater':4A 'h':16B 'mi':5A 'regum':15B 'super':2A 'te':3A 'toledo':6A 'y':9A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123638,92,44.1,92,Catedral - Archivo y Biblioteca Capitulares,E-Tc,Toledo,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
487244,,Doleo super te frater mi,195v,122,123639,002321,,4163,9,1572,1,,,,'44.2':12A 'archivo':8A 'biblioteca':10A 'capitular':11A 'catedr':7A 'de':14B 'doleo':1A 'frater':4A 'h':16B 'mi':5A 'regum':15B 'super':2A 'te':3A 'toledo':6A 'y':9A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123639,92,44.2,92,Catedral - Archivo y Biblioteca Capitulares,E-Tc,Toledo,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
