record_type,id,title,incipit,siglum,manuscript_full_text
chant,513410,,Dum fortis armatus custodit,A-Wda C-11,
chant,543175,,Custodit dominus omnes diligentes se,A-Wn 1799**,Custodit dominus omnes diligentes se | ~Confiteantur
chant,544009,,Custodit dominus omnes diligentes se,A-Wn 1799**,Custodit dominus omnes diligentes se | ~Confiteantur
chant,544241,,Cum fortis armatus custodit atrium,A-Wn 1799**,Cum fortis armatus custodit atrium suum in pace sunt omnia que possidet | Euouae
chant,544927,,Custodit dominus*,A-Wn 1799**,Custodit dominus | ~Confiteantur
chant,546636,,Est secretum Valeriane quod tibi,A-Wn 1799**,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Euouae
chant,546965,,Qui odit animam suam in,A-Wn 1799**,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | Euouae
chant,550716,,Dum fortis armatus custodit atrium,A-Wn 1890,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet si autem fortior illo superveniens vicerit eum universa arma eius aufferet et spolia eius distribuet
chant,553489,,Est secretum Valeriane quod tibi,A-Wn 1890,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,571833,,Custodite judicium et facite justitiam,A-Wn Mus.Hs.15489,Custodite iudicium et facite iusticiam quia iuxta est salus mea ut veniat et iusticiam a mea ut reveletur beatus vir qui facit hoc et filius hominis qui apprehendet illud dicit dominus | euouae
chant,572958,,Cum fortis armatus custodit atrium ,A-Wn Mus.Hs.15489,CUm fortis armatus custodit atrium suum in pace sunt omnia que possidet | ~Legem ponere
chant,573986,,Qui odit animam suam in,A-Wn Mus.Hs.15489,QUI odit animam suam in hoc mundo in vitam eternam custodit eam | euouae
chant,574262,,Dominus custodit te ab omni ,A-Wn Mus.Hs.15489,Dominus custodit te ab omni malo custodiat animam tuam dominus | ~Levavi
chant,588834,,Dominus custodit te ab omni,AUS-Msl 096.1/R66A,
chant,707832,,Est secretum Valeriane quod tibi,"B-AVna, IV.413",Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Euouae
chant,709045,,Qui odit animam suam in ,"B-AVna, IV.413",Qui odit animam suam in hoc mundo in vitam eternam custodit eam | Euouae
chant,588610,,O vos angeli qui custoditis,B-DEa 9,O vos angeli qui custoditis populos quorum forma fulget in facie vestra et o vos archangeli qui suscipitis animas iustorum et vos virtutes potestates principatus dominationes et troni qui estis computati in quintum secretum numerum et o vos cherubin et seraphin sigillum secretorum dei | sit laus vobis qui loculum antiqui cordis in fonte aspicitis
chant,705852,,Post haec blandis rex molitur ,B-Gu Hs BKT.006,Post hec blandis rex molitur virginem seducere nec promissis emollitur nec terretur verbere compeditur custoditur tetro clausa carcere
chant,705915,,Est secretum Valeriane quod tibi ,B-Gu Hs BKT.006,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Euouae
chant,706047,,Ille qui clausus lapide custoditur,B-Gu Hs BKT.006,Ille qui clausus lapide custoditur sub milite triumphans pompa nobili victor surgit de funere
chant,538429,,Dum fortis armatus custodit atrium,B-TO olv 63,Cum fortis armatus custodit atrium suum in pace sunt omnia que possidet
chant,541543,,Cum fortis armatus custodit,B-TO olv 64,
chant,270049,,Custodit dominus*,CDN-Hsmu M2149.L4,Custodit dominus
chant,271036,,Custodit dominus omnes diligentes se,CDN-Hsmu M2149.L4,Custodit dominus omnes diligentes se | lauda ara
chant,271308,,Dum fortis armatus custodit atrium,CDN-Hsmu M2149.L4,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | Euouae
chant,272739,,Qui odit animam suam in,CDN-Hsmu M2149.L4,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | Euouae
chant,678470,,Dum fortis armatus custodit atrium,CDN-Mlr 111,
chant,679355,,Est secretum Valeriane quod tibi,CDN-Mlr 111,
chant,679370,,Qui odit animam suam in,CDN-Mlr 111,
chant,676250,,Est secretum Valeriane quod tibi,CDN-Mlr 18,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | ~Iubilate
chant,681496,,Est secretum Valeriane quod tibi ,CDN-Mlr 234,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Et non
chant,229505,,Dum fortis armatus custodit atrium,CH-E 611,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae
chant,230016,,Alleluia*,CH-E 611,Alleluia
chant,231150,,Custodit dominus omnes diligentes se,CH-E 611,Custodit dominus omnes diligentes se | euouae 
chant,231162,,Alleluia alleluia alleluia,CH-E 611,Custodit dominus | Alleluia alleluia alleluia | euouae
chant,232869,,Est secretum Valeriane quod tibi,CH-E 611,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | euouae
chant,668217,,Qui custodit veritatem in saeculum ,CH-E-121,Qui custodit veritatem in saeculum faciens iuditium iniuriam pacientibus dat aescam esurientibus
chant,668218,,Dominus erigit elisos dominus solvit,CH-E-121,Dominus erigit elisos dominus solvit compeditos custodit dominus pupillum et advenam et viduam suscipiet et vias peccatorum exterminabit regnabit dominus in aeternum deus tuus sion in saeculum saeculi | PSALLAM
chant,668390,,Multae tribulationes justorum et de,CH-E-121,MULTAE TRIBULATIONES IUstorum et de his omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,669364,,Custodit dominus animas sanctorum suorum ,CH-E-121,Custodit dominus animas sanctorum suorum de manu peccatoris liberavit eos lux orta est iustis et rectis corde laetitia aeuia
chant,254646,,Cum fortis armatus custodit atrium,CH-Fco 2,Cum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae
chant,256025,,Custodit dominus omnia ossa eorum ,CH-Fco 2,Custodit dominus omnia ossa eorum unum ex hiis non conteretur | Mors
chant,256902,,Est secretum Valeriane quod tibi,CH-Fco 2,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | euouae
chant,256913,,Est secretum Valeriane quod tibi,CH-Fco 2,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | A colloquiis
chant,257061,,Qui odit animam suam in,CH-Fco 2,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | euouae
chant,642520,,Qui custodit veritatem in saeculum,CH-P 18,Qui custodit veritatem in seculum faciet iudicium iniuriam pacientibus dat escam esurrientibus
chant,642521,,Dominus erigit elisos dominus solvit ,CH-P 18,Dominus erigit elisos dominus solvit compeditos custodit dominus pupillum et advenam et viduam suscipiet et vias peccatorum exterminabit regnabit dominus in eternum deus tuus syoN in seculum seculi | Alleluia
chant,643479,,Multae tribulationes justorum et de ,CH-P 18,MUlte tribulationes iustorum et de his omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,471915,,Custodit dominus omnes diligentes se,CH-SGs 388,Custodit dominus omnes diligentes se
chant,472598,,Dum fortis armatus custodit atrium,CH-SGs 388,Dum fortis armatus custodit atrium suum in pace sunt omnia quae possidet si autem fortior illo superveniens vicerit eum universa arma eius auferet et spolia eius distribuit
chant,474785,,Est secretum Valeriane quod tibi,CH-SGs 388,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,474806,,Est secretum Valeriane quod tibi,CH-SGs 388,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,475883,,Alleluia iv (Custodit dominus) ,CH-SGs 388,Alleluia alleluia alleluia alleluia
chant,456988,,Custodit dominus omnes diligentes se,CH-SGs 390,Custodit dominus omnes diligentes se
chant,457637,,Dum fortis armatus custodit atrium,CH-SGs 390,Dum fortis armatus custodit atrium suum in pace sunt omnia quae possidet Si autem fortior illo superveniens vicerit eum universa arma eius auferet et spolia eius distribuit 
chant,458027,,Custodit dominus alleluia alleluia alleluia,CH-SGs 390,Custodit dominus Alleluia alleluia alleluia alleluia
chant,459898,,Est secretum Valeriane quod tibi,CH-SGs 391,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Et non diebus
chant,459919,,Est secretum Valeriane quod tibi,CH-SGs 391,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,460514,,Dominus custodit te ab omni,CH-SGs 391,Dominus custodit te ab omni malo custodiat animam tuam dominus
chant,462064,,Vos autem estote fortes et,CZ Pu VI.E.4c,
chant,464143,,Dum fortis armatus custodit atrium,CZ Pu VI.E.4c,
chant,647478,,Dum fortis armatus custodit atrium,CZ-Pst DE I 7,
chant,588730,,Custodit dominus animas sanctorum suorum,CZ-Pu XI C 3,
chant,469551,,Est secretum Valeriane quod tibi,CZ-Pu XIII.C.4,
chant,469572,,Est secretum Valeriane quod tibi,CZ-Pu XIII.C.4,
chant,468498,,Dum fortis armatus custodit,CZ-Pu XIV B 13,
chant,180153,,Cum fortis armatus custodit,D-AAm G 20,
chant,181839,,Dominus custodit te ab omni,D-AAm G 20,
chant,184634,,Dominus custodit te ab omni,D-AAm G 20,
chant,196531,,Dum fortis armatus custodit atrium,D-B Mus. 40047,
chant,198568,,Est secretum Valeriane quod tibi,D-B Mus. 40047,
chant,198878,,Qui odit animam suam in,D-B Mus. 40047,
chant,259153,,Custodit dominus sicut,D-FUl Aa 55,
chant,686916,,Multae tribulationes justorum et de,D-Gsta AB III 9,Multe tribulaciones iustorum et de hiis omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex hiis non conteretur
chant,689062,,Multae tribulationes justorum et de,D-Gsta AB III 9,Multe tribulaciones iustorum et de hiis omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex hiis non conteretur
chant,616407,,Dum fortis armatus custodit atrium,D-KA Aug. LX,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet si autem fortior illo superveniens vicerit eum universa arma eius auferet et spolia eius distribuet
chant,618331,,Est secretum Valeriane quod tibi ,D-KA Aug. LX,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,619515,,Dominus custodit te ab omni,D-KA Aug. LX,Dominus custodit te ab omni malo custodiat animam tuam dominus | ~Levavi
chant,601929,,Custodit dominus*,D-KNd 1161,Custodit dominus | ~Confiteantur
chant,602732,,Custodit dominus omnes diligentes se,D-KNd 1161,Custodit dominus omnes diligentes se | euouae | ~Confiteantur
chant,602966,,Dum fortis armatus custodit atrium,D-KNd 1161,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae
chant,603814,,Qui odit animam suam in ,D-KNd 1161,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | euouae
chant,333846,,Est secretum Valeriane quod tibi,D-KNd 215,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | A coll
chant,333866,,Est secretum Valeriane quod tibi,D-KNd 215,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,644123,,Dum fortis armatus custodit atrium*,D-LEu Rep. I 93,
chant,651050,,Dominus custodit te*,D-LEu Rep. I 93,
chant,346774,,Dum fortis armatus custodit,D-MZb B,
chant,349473,,Dominus custodit te ab omni,D-MZb D,
chant,359139,,Dominus custodit te ab omni,D-Ma 12o Cmm 1,
chant,360562,,Cum fortis armatus custodit,D-Ma 12o Cmm 1,
chant,361930,,Custodit dominus omnia ossa,D-Ma 12o Cmm 1,
chant,373610,,Dum fortis armatus custodit,D-Mbs Clm 4303,
chant,374112,,Qui odit animam suam in,D-Mbs Clm 4304,
chant,374404,,Custodit dominus omnia ossa,D-Mbs Clm 4304,
chant,374559,,Dominus custodit te ab omni,D-Mbs Clm 4304,
chant,432969,,Dum fortis armatus custodit,D-Sl HB.I.55,
chant,701496,,Custodit dominus omnes diligentes se,D-TRs F-irhl (fragment),{#} -stodit dominus omnes diligentes se | ~Confiteantur
chant,697229,,Dominus custodit te ab omni,D-TRs F-onwg (fragment),Dominus custodit te ab omni malo custodiat animam tuam dominus | ~Levavi
chant,697630,,Dominus custodit*,D-TRs F-svu8 (fragment),Dominus custodit
chant,697839,,[In finem psalmus David | Caeli ,D-TRs F-vwh5 (fragment),# Timor domini sanctus permanens in seculum seculi iudicia domini vera iustificata in semetipsa | Desiderabilia super aurum et lapidem pretiosum multum et dulciora super mel et favum | Etenim servus tuus custodit ea in custodiendis illis retributio multa | Delicta quis intellegit ab occultis meis munda me | Et ab alienis parce servo tuo si mei non fuerint dominati tunc immaculatus ero et emundabor a delicto maximo | Et erunt ut complaceant eloquia oris mei et meditatio cordis mei in conspectu tuo semper domine adiutor meus et redemptor meus
chant,555384,,Dum fortis armatus custodit,D-W 29 Helmst.,
chant,588512,,O vos angeli qui custoditis,D-WII 2,O vos angeli qui custoditis populos quorum forma fulget in facie vestra et o vos archangeli qui suscipitis animas iustorum et vos virtutes potestates principatus dominationes et troni qui estis computati in quintum secretum numerum et o vos cherubin et seraphin sigillum secretorum dei | sit laus vobis qui loculum antiqui cordis in fonte asspicitis
chant,311115,,Dum fortis armatus custodit,DK-Kk 3449 8o IV,
chant,431541,,Accedentes principes sacerdotum ad Pilatum ,E-SA 5,Accedentes principes sacerdotum ad pilatum ut juberet custodiri sepulcrum ite inquit custodite sicut scitis illi autem abeuntes munierunt illud
chant,436815,,Custodit dominus omnia ossa,E-SA 8,
chant,477162,,Vos state fortes et custodite,E-Tc 44.1,
chant,478013,,Custodit dominus omnes,E-Tc 44.1,
chant,478724,,Dum fortis armatus custodit,E-Tc 44.1,
chant,479526,,Custodit dominus omnia ossa,E-Tc 44.1,
chant,479558,,Custodit*,E-Tc 44.1,
chant,683905,,Nisi dominus aedificaverit domum in,EC-BSF8,"Nisi dns aedificauerit domuz, in vanû laborauerût qui aedificant eam. Nisi dns custodierit ciuitatê, frustra vigilat q custodit cam. Vanû est vobis âte lucê surgere: surgite postquâ sederitis qui mâducatis panem doloris. Cum dederit dilectis suis somnû: ecce hereditas dni, filii, mrces fruct~ ventris. Sicut sagittae in manu potêtis: ita filii excussorum. Beatus vir qui impleuit desideriû suum ex ipsis: non confundetur cum loquetur inimicis suis in porta.     "
chant,683963,,In finem psalmus David |,EC-BSF8,"Caeli enarrât gl'iaz dei, et opera manuû ei~ ânûtiat firmamêtû. Dies diei eructat verbû: et nox nocti indicat scientiam. Non sût loqlae, neqz sermones, quoruz nô audiâtur voces eorû. In ônem terrâ exiuit son~ eorû: et in fines orbis terrae verba eorum. In sole posuit tabernaculû suû: et ipse tâquâ spôs~ proced^s de thalamo suo: Exsultauit vt gigas ad currendâ viâ, a summo caelo egressio eius. Et occurs~ ei~ vsque ad summû ei~: nec est qui se abscôdat a calore ei~. Lex dni immaculata, côuertês animas: testimoniû dni fidele, sapiêtiâ praestâs paruulis. Iustitiae dni rectae, letificâtes corda: praeceptû dni lucidû illuminans oculos. Timor dni sanctus, permanês in saeculû saeculi: iudicia dni vera, iustificata in semetipsa. Desiderabilia super auruz et lapidez pretiosum multuz: et dulciora super mel et fauû. Etenim seru~ tuus custodit ea, in custodiêdis illis retributio multa. Delicta quis intellegit, ab occultis meis mûda me: et ab alienis parce seruo tuo. Si mei nô fuerint dominati, tûc immaculat~ ero: et emûdabor a delicto maximo. Et erût vt côplaceât eloquia oris mei: et meditatio cordis mei in côspectu tuo semper. Dne adiutor meus et redemptor me~."
chant,683977,,Dominus regnavit exsultet terra laetentur,EC-BSF8,"Domin~ regnauit exultet terra: laetêtur insulae multae. Nubes et caligo in circuitu ei~: iustitia et iudiciû correctio sedis eius. Ignis âte ipsû praecedet, et inflâmabit in circuitu inimicos ei~. Illuxerût fulgura ei~ orbi trrae: vidit, et cômota est trra. Môtes, sicut cera fluxerût a facie dni, a facie dni ônis terra. Annûtiauerû caeli iustitiâ ei~: et viderût ônes populi gl'iaz ei~. Côfundantur ônes qui adorât sculptilia: et qui gloriâtur in simulacris suis. Adorate cum Oes angeli ei~: audiuit, et laetata est sion. Et exultauerût filiae iudae, propter iudicia tua dne: Quoniâ tu dns altissim~ super ônem terraz: nimis exaltat~ es super ônes deos. Qui diligitis dnm, odite malû: custodit dns animas sâctorû suoruz de manu peccatoris liberabit eos. Lux orta est iusto: et rectis corde laetitia. Laetamini iusti in dno: et confitemini memoriae sanctificationis eius.  "
chant,684860,,Dominus custodit te ab omni,EC-BSF8,"Domin~ custodit te ab ôni malo maria, custodiuit animâ tuâ, introitû tuû, et exitû tuû in saeculû. "
chant,686226,,Nisi dominus aedificaverit domum in,EC-BSF8,Nisi dns.
chant,697720,,Canticum graduum Salomonis Nisi dominus,EC-Qbsf8,Nisi dñs.
chant,275223,,Dum fortis armatus custodit atrium ,Engelberg 103,
chant,177012,,Dum fortis armatus custodit,F-AI 44,
chant,177533,,Custodit dominus omnia ossa,F-AI 44,
chant,178827,,Dominus custodit te ab omni,F-AI 44,
chant,156020,,Cum fortis armatus custodit,F-AS 893,
chant,157600,,Dominus custodit te ab omni,F-AS 893,
chant,159189,,Custodit dominus omnia ossa,F-AS 893,
chant,201249,,Dum fortis armatus custodit atrium,F-CA 38,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae 
chant,201641,,Accedentes principes sacerdotum ad Pilatum,F-CA 38,Accedentes principes sacerdotum ad pilatum ut iuberet custodiri sepulcrum ite inquit custodite sicut scitis illi autem abeuntes munierunt illud | Pone
chant,205062,,Dominus custodit te ab omni,F-CA 38,Dominus custodit te ab omni malo custodiat animam tuam dominus
chant,205311,,Est secretum Valeriane quod tibi,F-CA 38,Est secretum ualeriane quod tibi uolo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,205535,,Qui odit animam suam in,F-CA 38,Qui odit animam suam in hoc mundo in uitam eternam custodit eam
chant,208796,,Dominus custodit te ab omni,F-CA Impr. XVI C 4,
sequence,632698,Salve dies sanctissima dies fulgens et preclara,Salve dies sanctissima dies fulgens et preclara,F-LG 2,
chant,445675,,Custodit dominus omnes*,F-Pn lat. 1085,
chant,394852,,Dum fortis armatus atrium suum ,F-Pn lat. 1090,Dum fortis armatus atrium suum custodit in pace sunt que possidet set si forcior illo super veniens vicerit eum universa arma eius aufert in quibus confidebat et spolia ejus distribuit
chant,395202,,Accedentes principes sacerdotum ad Pilatum,F-Pn lat. 1090,Accedentes principes sacerdotum ad pilatum pecierunt ut iuberet custodiri sepulcrum ite inquid custodite sicut scitis illi autem abeuntes muerunt illud | Ponentes
chant,396599,,Custodit dominus omnia ossa eorum ,F-Pn lat. 1090,Custodit dominus omnia ossa eorum unum ex his non conteretur | Alleluia
chant,397659,,Est secretum Valeriane quod tibi ,F-Pn lat. 1090,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Eructavit | eae i
chant,397662,,Est secretum Valeriane quod tibi,F-Pn lat. 1090,Est secretum valeriane quod tibi volo dicere angelum de ab eo amatorem Qui nimio zelo custodit corpus meum
chant,398321,,Dominus custodit te ab omni,F-Pn lat. 1090,Dominus custodit te ab omni malo custodiat animam tuam dominus | Q- | S-ae
chant,400253,,Cum fortis armatus custodit atrium,F-Pn lat. 12044,Cum fortis armatus custodit atrium suum in pace sunt omnia quae possidet | Seuouae
chant,403257,,Est secretum Valeriane quod tibi ,F-Pn lat. 12044,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Seuouae
chant,409870,,Dum fortis armatus custodit atrium,F-Pn lat. 15181,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae | ~Dixit dominus
chant,410081,,Qui custodit*,F-Pn lat. 15181,Qui custodit
chant,412627,,Qui odit animam suam in,F-Pn lat. 15181,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | euouae
chant,415866,,Dominus custodit te ab omni,F-Pn lat. 15182,
chant,451079,,Custodit dominus*,F-Pn n.a.lat. 1411,
chant,452099,,Custodit dominus omnes,F-Pn n.a.lat. 1411,
chant,452354,,Dum fortis armatus custodit,F-Pn n.a.lat. 1411,
chant,453043,,Custodit dominus*,F-Pn n.a.lat. 1411,
chant,417939,,Dum fortis armatus custodit,F-Pn n.a.lat. 1535,
chant,419422,,Dominus custodit te ab omni,F-Pn n.a.lat. 1535,
chant,675044,,Qui custodit veritatem in saeculum,F-Pn776,Qui custodit veritatem in seculum faciens iudicium iniuriam pacientibus dat escam esurientibus
chant,675045,,Dominus erigit elisos dominus solvit ,F-Pn776,Dominus erigit elisos dominus solvit conpeditos custodit dominus pupillum et advenam et viduam suscepit et vias peccatorum exterminabit regnabit dominus in eternum deus tuus sion in seculum seculi alleluia | Psallam deo
chant,685229,,Multae tribulationes justorum et de ,F-Pn776,MULTE TRIBULACIONES IUSTORUM et de his omnibus liberauit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,687432,,Multae tribulationes justorum et de,F-Pnm 1112,Multe tribulationes iustorum et de hiis omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex hiis non conteretur
chant,688769,,Gaude Roma caput mundi primus ,F-Pnm 1112,Gaude roma caput mundi primus pastor in secundi laudetur victoria | Totus orbis hylarescat et virtutis ardor crescat ex petri memoria | Petrus sacri fax amoris lux doctrine sal dulcoris petrus mons iusticie | Pertrus fons est salvatoris lignum fructus et odoris lignum carens carie | Et quid petro dicens dignum nullum xpisti videns signum primo sub ammonitu | Fugit rete fugit ratem necdum plene veritatem contemplatus spiritu | Auro carens et argento choruscat miraculis a nervorum sub momento claudum solvit vinculis | Paralisi dissolutus eneas erigitur petrum presens dei nutus ad votum prosequitur | Petrus vitam dat thabite iuvenemque reddit vite potestate libera | Pede premit fluctus maris et nutantem salutaris illum regit dextera | Facta xpisti questione brevi claudit is sermone fidem necessariam | Hunc personam dicit unam sed nec tacet oportunam nature distantiam | Quod negando ter peccavit simplex amor expiavit et trina confessio | Angelus a carcere petrum solvit libere destinatum gladio | Umbra sanat hic languentes sanat menbra sanat mentes morbos reddit impotentes medici potentia | Petrum symon magus odit magum symon petrus prodit plebem monet et custodit a magi versutia | Hic a petra xpisto dictus in conflictu stat invictus licet iugus sit conflictus et gravis congressio | Dum volare magus querit totus ruens totus perit quem divina digne ferit et condempnat ultio | Nero fremit furibundus nero plangit impium nero cuius egre mundus ferebat imperium | Ergo petro crux paratur a ministris scelerum crucifigi se testatur in hoc xpistuc iterum | Petro sunt oves credite clavesque regni tradite petri preit sententia ligans ac solvens omnia | Pastoris noster meritis ac prece salutifera nos a peccati debitis eterne pastor libera Amen 
chant,692643,,Prope est dominus omnibus invocantibus ,F-Pnm lat. 776,"Prope est dominus omnibus invocantibus eum in veritate custodit dominus omnes diligentes se Idcirco laudationes domini loquetur os meum et benedicat omnis caro nomen sanctum eius alleluia

"
chant,455635,,Dominus custodit te ab omni,F-Pnm n.a.lat. 1412,
chant,443734,,Qui odit animam suam in,F-R 248,
chant,688857,,Surgite sancti de mansionibus nostris ,F-SO 596,Surgite sancti de mansionibus nostris loca sanctificate plebem benedicite et nos humiles peccatores in pace custodite alleluya
chant,688916,,Custodit dominus animas sanctorum suorum,F-SO 596,Custodit dominus animas sanctorum suorum de manu peccatoris liberavit eos lux orta est iustis et rectis corde leticia alleluya
chant,499664,,Dum fortis armatus custodit,F-VAL 114,
chant,504165,,Dominus custodit te ab omni,F-VAL 114,
chant,151686,,Domine qui custodit pactum et,GB-AB 20541 E,
chant,153900,,Dominus custodit te ab omni,GB-AB 20541 E,
chant,210426,,Dum fortis armatus custodit,GB-Cu Mm.ii.9,
chant,213873,,Dominus custodit te ab omni,GB-Cu Mm.ii.9,
chant,379842,,Dum fortis armatus custodit,GB-Ob Can. Lit. 202,
chant,524175,,Cum fortis armatus custodit,GB-WO F.160,
chant,530070,,Dominus custodit te ab omni,GB-WO F.160,
chant,516469,,Dum fortis armatus custodit atrium,GB-WO F.160 (Facs),Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | euouae
chant,521314,,Est secretum Valeriane quod tibi ,GB-WO F.160 (Facs),Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Iubilate
chant,521539,,Qui odit animam suam in ,GB-WO F.160 (Facs),Qui odit animam suam in hoc mundo in vi-m eternam custodit eam | --
chant,521952,,Dominus custodit te ab omni ,GB-WO F.160 (Facs),Dominus custodit te ab omni malo custodiat animam tuam dominus | Levavi
chant,242142,,Custodit dominus omnes diligentes se,GOTTSCHALK,Custodit dominus omnes diligentes se | ~Confiteantur
chant,192171,,Cum fortis armatus custodit,H-Bu lat. 118,
chant,194002,,Dominus custodit te ab omni,H-Bu lat. 121,
chant,194266,,Custodit dominus omnia ossa,H-Bu lat. 122,
chant,194308,,Custodit dominus omnia ossa,H-Bu lat. 122,
chant,277133,,Dum fortis armatus custodit,HR-Dsmbb V,
