siglum,id,type,title,incipit
CH-SGs,460724,chant,,Laudabilem virum adoremus dominum quem
D-AAm,184640,chant,,Regem cui omnia vivunt venite
D-B,199368,chant,,Indicabo tibi homo quid sit
D-KNd,334869,chant,,Circumdederunt me gemitus mortis dolores
D-KNd,334870,chant,,Dirige domine*
D-KNd,334871,chant,,Convertere domine*
D-KNd,334872,chant,,Nequando rapiat*
D-KNd,334876,chant,,Rogamus te domine deus noster
D-KNd,334877,chant,,Misericors et miserator et clemens
D-KNd,334878,chant,,Libera me domine de viis
D-KNd,334879,chant,,Clamantes et dicentes advenisti redemptor
D-KNd,334880,chant,,In loco pascuae*
D-KNd,334881,chant,,Delicta juventutis*
D-KNd,334884,chant,,Scio enim quod redemptor meus
D-KNd,334885,chant,,Surgunt mortui et resurgunt qui
D-KNd,334886,chant,,Ne tradas domine bestiis animas
D-KNd,334887,chant,,Memorare quae sit nostra substantia
D-KNd,334888,chant,,Quomodo confitebor tibi domine deus 
D-KNd,334889,chant,,Tibi soli peccavi domine*
D-KNd,334890,chant,,Non derelinquas me*
D-KNd,334892,chant,,Sitivit anima mea*
D-KNd,334894,chant,,Memento quaeso domine quod sicut
D-KNd,334895,chant,,Vitam et misericordiam tribuisti mihi
D-KNd,334896,chant,,Deus aeterne in cujus humana
D-KNd,334897,chant,,Qui in cruce positus latronem
D-KNd,334898,chant,,Cognoscimus domine quia peccavimus veniam
D-KNd,334899,chant,,Vita nostra in dolore suspirat
D-KNd,334910,chant,,Dirige domine deus meus in 
D-KNd,334911,chant,,Convertere domine et eripe animam
D-KNd,334912,chant,,Nequando rapiat ut leo animam 
D-KNd,334921,chant,,In loco pascuae ibi me
D-KNd,334922,chant,,Delicta juventutis meae et ignorantias
D-KNd,334931,chant,,Ne derelinquas me domine deus 
D-KNd,334933,chant,,Sitivit anima mea ad deum
D-KNd,334940,chant,,Absolve domine animas eorum ab
D-KNd,334941,chant,,Si quae illis sint domine
D-KNd,334942,chant,,Libera me domine de morte 
D-KNd,334943,chant,,Dies illa dies irae calamitatis 
D-KNd,334944,chant,,Tremens factus sum ego et 
D-KNd,334945,chant,,Dum veneris judicare saeculum per 
D-Sl,435795,chant,,Putasne mortuus homo rursum
D-Sl,435796,chant,,Ecce in pulvere sedeo et
D-Sl,435797,chant,,Manus tuae domine fecerunt me
D-Sl,435798,chant,,Dum veneris judicare noli me
D-Sl,435799,chant,,Commissa mea pavesco et
D-Sl,435800,chant,,Delictum meum cognitum tibi
D-Sl,435805,chant,,Quomodo confitebor tibi
D-Sl,435806,chant,,Licet peccavi tamen te
D-Sl,435807,chant,,Domine qui plasmasti me
D-Sl,435808,chant,,Domine quidquid vitiorum
D-Sl,435809,chant,,Absolve domine animas
D-Sl,435810,chant,,Si quae illis
D-Sl,435813,chant,,Deus aeterne in cujus
D-Sl,435814,chant,,Qui in cruce positus latronem
E-SA,436809,chant,,Exsultent in domino sancti
F-Pn,398299,chant,,Libera me domine de viis
F-Pn,398300,chant,,Clamantes et dicentes advenisti redemptor 
F-Pn,398308,chant,,-- --
F-Pn,408062,chant,,Redemit dominus populum suum
F-Pn,415889,chant,,Domine abstraxisti ab inferis
F-Pn,419438,chant,,Delicta*
F-Pn,451008,chant,,Recordare quid acciderit
F-Pn,451038,chant,,-- --
F-Pn,451052,chant,,-in -- angustius
F-Pn,451058,chant,,Dum -- desideriorum
F-Pn,451059,chant,,Ex die qua posuisti domini
GB-Ob,386262,chant,,Misit dominus angelum suum et
I-AO,163730,chant,,Pro fidei meritis*
I-Ac,170271,chant,,Sitivit anima mea ad deum
I-Far,237938,chant,,Libera me domine de viis
I-Far,237939,chant,,Clamantes et dicentes
I-Rv,431049,chant,,Subvenite sancti dei
PL-KIk,327053,chant,,Laudabilem virum adoremus in
PL-KIk,330135,chant,,…opere non emendat si expectas
PL-WRu,599322,chant,,Si enim hoc egero mors
SI-Lna,358986,chant,,Circumdederunt me gemitus
