id,title,mode,service_name,manuscript_full_text
228477,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | euouae
243321,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia
243394,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus
253471,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya | euouae
253473,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | euouae
270197,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya | Euouae
270288,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | Euouae
273220,,8,V2,Beata es Maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia
287102,,8,V2,Beata es MaRia que credidisti perficientur in te que dicta sunt tibi a domino alleluia
288405,,8,V2,Beata agnes in medio flammarum expansis manibus orabat te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carnis spurcitias immaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi
331516,,8,V2,Beata agnes in medio flammarum expansis manibus orabat te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carnis spurcitias immaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi
386815,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia
393969,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | Seculorum amen
394059,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | Seculorum amen
394444,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | Magnis
396306,,8,V2,Beata agnes in medio flamarum expansis manibus orabat benedico te venerande tremende pater metuende quia per filium tuum minas evasi sacrilegi tyranni et carnis spurcicias inmaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi | Seculorum amen
408504,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya | euouae | ~Magnificat
408552,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | euouae | ~Magnificat
456015,,8,V2,Beata es maria quae credidisti perficientur in te quae dicta sunt tibi a domino alleluia
457149,,8,V2,Beata agnes in medio flammarum expansis manibus orabat Te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carnis spurcicias immaculato calle transivi et ecce venio ad te quem amavi quem quaesivi quem semper optavi
470889,,8,V2,Beata es maria quae credidisti perficientur in te quae dicta sunt tibi a domino alleluia
470995,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus
472074,,8,V2,Beata agnes in medio flammarum expansis manibus orabat te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carnis spurcicias immaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi
491918,,8,V2,Beata es maria quae credidisti perficientur in te quae dicta sunt tibi a domino alleluia
492000,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus
514572,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | Magnificat
514641,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | euouae
522278,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | Magnificat
522347,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | euouae
537120,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya
543295,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | Euouae
543351,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | Euouae
548750,,8,V2,Beata es Maria que credidisti perficientur in te que dicta sunt tibi a domino aeuia
549957,,8,V2,Beata agnes in medio flammarum expansis manibus orabat te deprecor adorande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carni spurcitias inmaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi
550175,,8,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire
560411,,8,V2,Beata es maria quae credidisti perficientur in te quae dicta sunt tibi a domino alleluia | ~Magnificat
560466,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit dominus | ~Magnificat
571658,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia | ~Magnificat
573862,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit dominus | ~Magnificat
602031,,8,V2,Beata es | maRia que credidisti Domino perficientur in te que dicta sunt tibi a domino alleluia | euouae
602073,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit dominus | euouae
614909,,8,V2,Beata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluia
615780,,8,V2,Beata agnes in medio flammarum expansis manibus orabat te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegi tyranni et carnis spurcitias inmaculato calle transivit et ecce venio ad te quem amavi quem quesivi quem semper optavi
620195,,8,V2,"Beata es maria que credisti perficientur in te que dicta sunt tibi a domino alleluya | Euouae
"
669217,,8,V2,BEata es maria que credidisti perficientur in te que dicta sunt tibi a domino alleluya 
669219,,8,V2,Beatam me dicent omnes generationes quia ancillam humilem respexit deus | ~Magnificat
1004301,,8,V2,Beatam me dicent omnes generationes. quia ancillam humilem respexit deus. | ~Magnificat
333446,,?,V2,Beata augusta de muro sedule orabat dicens domine deus respice filium meum quia romani amputaverunt caput eius
202196,,,V2,Beata nobis
654345,,,V2,Beata me dicent omnes generationes quia ancillam humilem respexit deus
663008,,,V2,Beata Agnes in medio flammarum expansis manibus orabat te deprecor venerande colende pater metuende quia per sanctum filium tuum minas evasi sacrilegis tyranni et carnis spurcitias immaculato calle transivi et ecce venio ad te quem amavi quem quaesivi quem semper optavi
663375,,,V2,Beata Agathes ingressa carcerem expandit manus suas ad eum et dixit domine quid me fecisti vincere tormenta carnificum jube me domine ad tuam misericordiam pervenire
699224,,,V2,Beata agathes ingressa carcerem expandit manus suas ad deum et dixit domine qui me fecisti vincere tormenta carnificum iube me domine ad tuam misericordiam pervenire | euouae
