chant_id,title,incipit,genre_name,source_siglum,institution_siglum
152594,,Domine ostende nobis,W,GB-AB 20541 E,GB-AB
152596,,Domine ostende*,R,GB-AB 20541 E,GB-AB
152601,,Domine ostende*,A,GB-AB 20541 E,GB-AB
152780,,Domine si tu es jube me,R,GB-AB 20541 E,GB-AB
153353,,Domine mi rex da mihi ,A,GB-AB 20541 E,GB-AB
153363,,Domine mi rex*,A,GB-AB 20541 E,GB-AB
153919,,Domine quando veneris,R,GB-AB 20541 E,GB-AB
153929,,Domine secundum actum meum,R,GB-AB 20541 E,GB-AB
154034,,Domine jam satis est quod,A,GB-AB 20541 E,GB-AB
154040,,Domine si adhuc populo tuo,R,GB-AB 20541 E,GB-AB
154059,,Domine si adhuc populo tuo,A,GB-AB 20541 E,GB-AB
154069,,Domine si adhuc*,A,GB-AB 20541 E,GB-AB
154136,,Domine Jesu Christe seminator,A,GB-AB 20541 E,GB-AB
154140,,Domine Jesu Christe pastor,R,GB-AB 20541 E,GB-AB
154185,,Domine praevenisti eum*,R,GB-AB 20541 E,GB-AB
154354,,Domine quinque talenta,V,GB-AB 20541 E,GB-AB
154360,,Domine iste sanctus habitabit,A,GB-AB 20541 E,GB-AB
154394,,Domine in virtute tua,A,F-AS 465 (CGM 893),F-AS
154448,,Domine deus virtutum*,W,F-AS 465 (CGM 893),F-AS
154529,,Domine deus virtutum*,W,F-AS 465 (CGM 893),F-AS
154613,,Domine deus virtutum*,W,F-AS 465 (CGM 893),F-AS
154820,,Domine audivi auditum tuum et,V,F-AS 465 (CGM 893),F-AS
154909,,Domine virtus et laetitia,A,F-AS 465 (CGM 893),F-AS
154983,,Domine suscipe me ut cum,A,F-AS 465 (CGM 893),F-AS
155023,,Domine suscipe*,A,F-AS 465 (CGM 893),F-AS
155115,,Domine audivi auditum tuum et,V,F-AS 465 (CGM 893),F-AS
155128,,Domine audivi auditum tuum et,V,F-AS 465 (CGM 893),F-AS
155292,,Domine in virtute*,A,F-AS 465 (CGM 893),F-AS
155368,,Domine puer meus jacet,A,F-AS 465 (CGM 893),F-AS
155369,,Domine non sum dignus ut,A,F-AS 465 (CGM 893),F-AS
155375,,Domine ne in ira tua*,R,F-AS 465 (CGM 893),F-AS
155396,,Domine in virtute tua,A,F-AS 465 (CGM 893),F-AS
155400,,Domine ne in ira tua ,R,F-AS 465 (CGM 893),F-AS
155424,,Domine dilexi decorem domus,V,F-AS 465 (CGM 893),F-AS
155426,,Domine deus Israel exaudi,V,F-AS 465 (CGM 893),F-AS
155469,,Domine in caelo misericordia,W,F-AS 465 (CGM 893),F-AS
155486,,Domine in caelo misericordia,A,F-AS 465 (CGM 893),F-AS
155489,,Domine in caelo misericordia,R,F-AS 465 (CGM 893),F-AS
155542,,Domine deus meus in te,A,F-AS 465 (CGM 893),F-AS
155572,,Domine deus in adjutorium,A,F-AS 465 (CGM 893),F-AS
155619,,Domine refugium factus es,A,F-AS 465 (CGM 893),F-AS
155622,,Domine refugium factus es,R,F-AS 465 (CGM 893),F-AS
155631,,Domine probasti me et,A,F-AS 465 (CGM 893),F-AS
155633,,Domine clamavi ad te exaudi,A,F-AS 465 (CGM 893),F-AS
155660,,Domine audivi auditum tuum et,A,F-AS 465 (CGM 893),F-AS
155683,,Domine exaudi orationem meam,W,F-AS 465 (CGM 893),F-AS
155686,,Domine exaudi orationem meam,R,F-AS 465 (CGM 893),F-AS
155690,,Domine exaudi orationem meam,R,F-AS 465 (CGM 893),F-AS
155718,,Domine in virtute*,A,F-AS 465 (CGM 893),F-AS
155851,,Domine in virtute*,A,F-AS 465 (CGM 893),F-AS
155875,,Domine puer meus jacet,R,F-AS 465 (CGM 893),F-AS
155876,,Domine non sum dignus ut,V,F-AS 465 (CGM 893),F-AS
155889,,Domine refugium factus es,W,F-AS 465 (CGM 893),F-AS
155953,,Domine labia mea aperies et,A,F-AS 465 (CGM 893),F-AS
155967,,Domine dimitte eam quia,A,F-AS 465 (CGM 893),F-AS
156092,,Domine si hic fuisses Lazarus,A,F-AS 465 (CGM 893),F-AS
156103,,Domine in virtute*,A,F-AS 465 (CGM 893),F-AS
156252,,Domine vim patior responde,A,F-AS 465 (CGM 893),F-AS
156388,,Domine abstraxisti ab inferis,A,F-AS 465 (CGM 893),F-AS
157226,,Domine in virtute,W,F-AS 465 (CGM 893),F-AS
157243,,Domine qui custodis pactum et,V,F-AS 465 (CGM 893),F-AS
157246,,Domine miserere*,A,F-AS 465 (CGM 893),F-AS
157248,,Domine si conversus fuerit,R,F-AS 465 (CGM 893),F-AS
157292,,Domine pater et deus vitae,R,F-AS 465 (CGM 893),F-AS
157376,,Domine deus qui conteris,R,F-AS 465 (CGM 893),F-AS
157388,,Domine deus*,R,F-AS 465 (CGM 893),F-AS
157390,,Domine rex*,R,F-AS 465 (CGM 893),F-AS
157398,,Domine rex omnipotens in,R,F-AS 465 (CGM 893),F-AS
157403,,Domine deus caeli et terrae,V,F-AS 465 (CGM 893),F-AS
157405,,Domine rex universae potestas,V,F-AS 465 (CGM 893),F-AS
157407,,Domine rex omnipotens in,A,F-AS 465 (CGM 893),F-AS
157533,,Domine descende ut sanes,A,F-AS 465 (CGM 893),F-AS
157577,,Domine qui creasti famulos,R,F-AS 465 (CGM 893),F-AS
157588,,Domine Jesu Christe judex,V,F-AS 465 (CGM 893),F-AS
157612,,Domine dum veneris judicare,R,F-AS 465 (CGM 893),F-AS
157625,,Domine secundum actum*,R,F-AS 465 (CGM 893),F-AS
157634,,Domine secundum actum meum,R,F-AS 465 (CGM 893),F-AS
157923,,Domine Jesu Christe magister,A,F-AS 465 (CGM 893),F-AS
158538,,Domine qui me creasti et,V,F-AS 465 (CGM 893),F-AS
158827,,Domine si tu es jube ,R,F-AS 465 (CGM 893),F-AS
158864,,Domine qui custodis*,V,F-AS 465 (CGM 893),F-AS
158867,,Domine miserere*,A,F-AS 465 (CGM 893),F-AS
158961,,Domine non aspicias*,R,F-AS 465 (CGM 893),F-AS
159053,,Domine non aspicias peccata,R,F-AS 465 (CGM 893),F-AS
159149,,Domine deus virtutum converte,W,F-AS 465 (CGM 893),F-AS
159282,,Domine ostende nobis patrem,V,F-AS 465 (CGM 893),F-AS
159432,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
159575,,Domine si tu es jube ,A,F-AS 465 (CGM 893),F-AS
159792,,Domine si tu es jube*,R,F-AS 465 (CGM 893),F-AS
159825,,Domine non aspicias*,R,F-AS 465 (CGM 893),F-AS
159864,,Domine non aspicias*,R,F-AS 465 (CGM 893),F-AS
159883,,Domine quinque*,A,F-AS 465 (CGM 893),F-AS
159987,,Domine non aspicias*,R,F-AS 465 (CGM 893),F-AS
160320,,Domine virtus et laetitia*,A,F-AS 465 (CGM 893),F-AS
160631,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
160639,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
160711,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
160755,,Domine mi rex da mihi ,V,F-AS 465 (CGM 893),F-AS
160764,,Domine mi rex da mihi ,A,F-AS 465 (CGM 893),F-AS
160796,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
160892,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
160899,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
160996,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
161190,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
161302,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
161389,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
161396,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
161626,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
161631,,Domine quinque*,A,F-AS 465 (CGM 893),F-AS
161660,,Domine iste sanctus*,A,F-AS 465 (CGM 893),F-AS
161708,,Domine qui operati sunt,A,F-AS 465 (CGM 893),F-AS
161721,,Domine spes sanctorum et,A,F-AS 465 (CGM 893),F-AS
161723,,Domine deus virtutum beati,A,F-AS 465 (CGM 893),F-AS
161809,,Domine jam satis est quod,A,F-AS 465 (CGM 893),F-AS
161828,,Domine si adhuc populo tuo,R,F-AS 465 (CGM 893),F-AS
161847,,Domine si adhuc populo tuo,A,F-AS 465 (CGM 893),F-AS
161860,,Domine jam satis est*,A,F-AS 465 (CGM 893),F-AS
161930,,Domine Jesu Christe seminator,A,F-AS 465 (CGM 893),F-AS
161947,,Domine Jesu Christe pastor,R,F-AS 465 (CGM 893),F-AS
161989,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
161994,,Domine quinque talenta*,A,F-AS 465 (CGM 893),F-AS
162143,,Domine praevenisti eum in,R,F-AS 465 (CGM 893),F-AS
162285,,Domine dominus noster quam,A,F-AS 465 (CGM 893),F-AS
162289,,Domine quinque talenta,V,F-AS 465 (CGM 893),F-AS
162296,,Domine iste sanctus habitabit,A,F-AS 465 (CGM 893),F-AS
162301,,Domine quinque talenta,A,F-AS 465 (CGM 893),F-AS
162468,,Domine*,A,F-AS 465 (CGM 893),F-AS
162479,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
162510,,Domine*,R,F-AS 465 (CGM 893),F-AS
162528,,Domine*,A,F-AS 465 (CGM 893),F-AS
162535,,Domine praevenisti*,R,F-AS 465 (CGM 893),F-AS
162658,,Domine*,A,F-AS 465 (CGM 893),F-AS
162910,,Domine vim patior responde,A,I-AO 6,I-AO
163033,,Domine abstraxisti ab inferis,A,I-AO 6,I-AO
163056,,Domine si hic fuisses Lazarus,A,I-AO 6,I-AO
163407,,Domine si in tempore hoc,A,I-AO 6,I-AO
163592,,Domine qui custodis pactum et,V,I-AO 6,I-AO
163595,,Domine si conversus fuerit,R,I-AO 6,I-AO
163618,,Domine pater et deus vitae,R,I-AO 6,I-AO
163621,,Domine pater et deus vitae,V,I-AO 6,I-AO
163660,,Domine rex omnipotens in,A,I-AO 6,I-AO
163685,,Domine deus qui conteris,R,I-AO 6,I-AO
163691,,Domine rex omnipotens in,R,I-AO 6,I-AO
163696,,Domine deus creator caeli et,V,I-AO 6,I-AO
163759,,Domine factum est ut,A,I-AO 6,I-AO
163823,,Domine dilexi decorem domus,A,I-AO 6,I-AO
163826,,Domine dilexi decorem domus,W,I-AO 6,I-AO
163854,,Domine dilexi*,W,I-AO 6,I-AO
163857,,Domine dilexi decorem domus,R,I-AO 6,I-AO
164082,,Domine si tu es*,R,I-AO 6,I-AO
164236,,Domine ostende nobis patrem,A,I-AO 6,I-AO
164392,,Domine si tu es jube me,R,I-AO 6,I-AO
164689,,Domine mi rex da mihi ,A,I-AO 6,I-AO
164901,,Domine virtutum quod nullus,A,I-AO 6,I-AO
164938,,Domine Jesu Christe ne,R,I-AO 6,I-AO
165023,,Domine qui operati sunt,A,I-AO 6,I-AO
165031,,Domine spes sanctorum et,A,I-AO 6,I-AO
165086,,Domine abstraxisti ab inferis,A,I-AO 6,I-AO
165119,,Domine si adhuc populo tuo,R,I-AO 6,I-AO
165122,,Domine si adhuc populo tuo,V,I-AO 6,I-AO
165146,,Domine si adhuc populo tuo,A,I-AO 6,I-AO
165177,,Domine Jesu Christe seminator,A,I-AO 6,I-AO
165183,,Domine Jesu Christe pastor,R,I-AO 6,I-AO
165456,,Domine quinque talenta,V,I-AO 6,I-AO
165463,,Domine dominus noster quam,A,I-AO 6,I-AO
165471,,Domine iste sanctus habitabit,A,I-AO 6,I-AO
165498,,Domine quinque talenta,A,I-AO 6,I-AO
165681,,Domine audivi auditum tuum et,V,GB-Lbl IB.6753,GB-Lbl
165712,,Domine libera animam meam a,A,GB-Lbl IB.6753,GB-Lbl
165726,,Domine suscipe me ut cum,A,GB-Lbl IB.6753,GB-Lbl
165751,,Domine si tu vis potes ,A,GB-Lbl IB.6753,GB-Lbl
165753,,Domine salva nos perimus,A,GB-Lbl IB.6753,GB-Lbl
165917,,Domine si in tempore hoc,A,GB-Lbl IB.6753,GB-Lbl
166002,,Domine rex omnipotens in,A,GB-Lbl IB.6753,GB-Lbl
166006,,Domine factum est ut,A,GB-Lbl IB.6753,GB-Lbl
166080,,Domine ostende nobis patrem,A,GB-Lbl IB.6753,GB-Lbl
166262,,Domine quinque talenta,A,GB-Lbl IB.6753,GB-Lbl
166358,,Domine deus virtutum converte,W,I-Ac 694,I-Ac
166390,,Domine deus virtutum*,W,I-Ac 694,I-Ac
166463,,Domine praestolamur adventum,I,I-Ac 694,I-Ac
166865,,Domine audivi auditum tuum et,V,I-Ac 694,I-Ac
167053,,Domine ne in ira tua arguas,R,I-Ac 694,I-Ac
167071,,Domine in virtute tua,A,I-Ac 694,I-Ac
167081,,Domine deus Israel exaudi,V,I-Ac 694,I-Ac
167136,,Domine in caelo misericordia,W,I-Ac 694,I-Ac
167274,,Domine deus in adjutorium,A,I-Ac 694,I-Ac
167288,,Domine refugium factus es,A,I-Ac 694,I-Ac
167321,,Domine audivi auditum tuum et,A,I-Ac 694,I-Ac
167327,,Domine probasti me et,A,I-Ac 694,I-Ac
167329,,Domine clamavi ad te exaudi,A,I-Ac 694,I-Ac
167342,,Domine exaudi orationem meam,W,I-Ac 694,I-Ac
167345,,Domine exaudi orationem meam,R,I-Ac 694,I-Ac
167366,,Domine si tu vis potes ,A,I-Ac 694,I-Ac
167368,,Domine salva nos perimus,A,I-Ac 694,I-Ac
167369,,Domine nonne bonum semen,A,I-Ac 694,I-Ac
167409,,Domine refugium factus es,W,I-Ac 694,I-Ac
167460,,Domine refugium factus es,W,I-Ac 694,I-Ac
167500,,Domine refugium tu factus es,W,I-Ac 694,I-Ac
167527,,Domine puer meus jacet,R,I-Ac 694,I-Ac
167528,,Domine non sum dignus ut,V,I-Ac 694,I-Ac
167529,,Domine puer meus jacet,A,I-Ac 694,I-Ac
167530,,Domine non sum dignus ut,A,I-Ac 694,I-Ac
167645,,Domine qui dixisti mihi,V,I-Ac 694,I-Ac
167651,,Domine labia mea aperies et,A,I-Ac 694,I-Ac
167657,,Domine bonum est nos hic ,A,I-Ac 694,I-Ac
167721,,Domine ut video propheta es,A,I-Ac 694,I-Ac
167773,,Domine si hic fuisses Lazarus,A,I-Ac 694,I-Ac
167813,,Domine labia mea aperies et,V,I-Ac 694,I-Ac
167928,,Domine vim patior responde,A,I-Ac 694,I-Ac
168058,,Domine abstraxisti ab inferis,A,I-Ac 694,I-Ac
168526,,Domine qui custodis pactum et,V,I-Ac 694,I-Ac
168529,,Domine si conversus fuerit,R,I-Ac 694,I-Ac
168612,,Domine pater et deus vitae,R,I-Ac 694,I-Ac
168702,,Domine rex omnipotens in,R,I-Ac 694,I-Ac
168705,,Domine rex universae,V,I-Ac 694,I-Ac
168707,,Domine deus creator caeli et,V,I-Ac 694,I-Ac
168780,,Domine dominus noster quam,V,I-Ac 694,I-Ac
168999,,Domine qui me creasti et,V,I-Ac 694,I-Ac
169140,,Domine ostende nobis patrem,A,I-Ac 694,I-Ac
169148,,Domine ostende nobis patrem*,A,I-Ac 694,I-Ac
169322,,Domine si tu es jube me,R,I-Ac 694,I-Ac
169648,,Domine mi rex da mihi ,A,I-Ac 694,I-Ac
169802,,Domine qui operati sunt,A,I-Ac 694,I-Ac
169810,,Domine spes sanctorum et,A,I-Ac 694,I-Ac
169844,,Domine si adhuc populo tuo,R,I-Ac 694,I-Ac
169847,,Domine si adhuc populo tuo,V,I-Ac 694,I-Ac
169869,,Domine si adhuc populo tuo,A,I-Ac 694,I-Ac
169894,,Domine Jesu Christe seminator,A,I-Ac 694,I-Ac
169902,,Domine Jesu Christe pastor,R,I-Ac 694,I-Ac
170020,,Domine quinque talenta,V,I-Ac 694,I-Ac
170027,,Domine dominus noster quam,A,I-Ac 694,I-Ac
170035,,Domine iste sanctus habitabit,A,I-Ac 694,I-Ac
170086,,Domine iste sanctus*,A,I-Ac 694,I-Ac
170091,,Domine quinque talenta,A,I-Ac 694,I-Ac
170256,,Domine quando veneris,R,I-Ac 694,I-Ac
170283,,Domine praestolamur adventum tuum ut,I,I-Ac 693,I-Ac
170720,,Domine ne in ira tua,R,I-Ac 693,I-Ac
170738,,Domine in virtute tua laetabitur ,A,I-Ac 693,I-Ac
170748,,Domine deus Israel exaudi preces ,V,I-Ac 693,I-Ac
170805,,Domine in caelo misericordia tua ,W,I-Ac 693,I-Ac
170892,,Domine deus in adjutorium meum,A,I-Ac 693,I-Ac
170906,,Domine refugium factus es nobis,A,I-Ac 693,I-Ac
170939,,Domine audivi auditum tuum et,A,I-Ac 693,I-Ac
170945,,Domine probasti me et cognovisti,A,I-Ac 693,I-Ac
170947,,Domine clamavi ad te exaudi,A,I-Ac 693,I-Ac
170960,,Domine exaudi orationem meam R.,W,I-Ac 693,I-Ac
170963,,Domine exaudi orationem meam et,R,I-Ac 693,I-Ac
170984,,Domine si tu vis potes ,A,I-Ac 693,I-Ac
170986,,Domine salva nos perimus impera ,A,I-Ac 693,I-Ac
170987,,Domine nonne bonum semen seminasti,A,I-Ac 693,I-Ac
171027,,Domine refugium factus es nobis ,W,I-Ac 693,I-Ac
171077,,Domine refugium factus es nobis,W,I-Ac 693,I-Ac
171117,,Domine refugium factus es nobis,W,I-Ac 693,I-Ac
171144,,Domine puer meus jacet paralyticus,R,I-Ac 693,I-Ac
171145,,Domine non sum dignus ut,V,I-Ac 693,I-Ac
171146,,Domine puer meus jacet paralyticus,A,I-Ac 693,I-Ac
171147,,Domine non sum dignus ut,A,I-Ac 693,I-Ac
171262,,Domine qui dixisti mihi revertere ,V,I-Ac 693,I-Ac
171268,,Domine labia mea aperies et,A,I-Ac 693,I-Ac
171274,,Domine bonum est nos hic,A,I-Ac 693,I-Ac
171338,,Domine ut video propheta es,A,I-Ac 693,I-Ac
171390,,Domine si hic fuisses Lazarus ,A,I-Ac 693,I-Ac
171430,,Domine labia mea aperies et,V,I-Ac 693,I-Ac
171545,,Domine vim patior responde pro,A,I-Ac 693,I-Ac
171675,,Domine abstraxisti ab inferis animam ,A,I-Ac 693,I-Ac
172143,,Domine qui custodis pactum et,V,I-Ac 693,I-Ac
172146,,Domine si conversus fuerit populus,R,I-Ac 693,I-Ac
172229,,Domine pater et deus vitae,R,I-Ac 693,I-Ac
172264,,Domine si tu es jube,R,I-Ac 693,I-Ac
172475,,Domine mi rex da mihi,A,I-Ac 693,I-Ac
172630,,Domine qui operati sunt justitiam,A,I-Ac 693,I-Ac
172638,,Domine spes sanctorum et turris,A,I-Ac 693,I-Ac
172672,,Domine si adhuc populo tuo,R,I-Ac 693,I-Ac
172675,,Domine si adhuc populo tuo,V,I-Ac 693,I-Ac
172697,,Domine si adhuc populo tuo,A,I-Ac 693,I-Ac
172722,,Domine Jesu Christe seminator casti,A,I-Ac 693,I-Ac
172730,,Domine Jesu Christe pastor bone,R,I-Ac 693,I-Ac
172883,,Domine deus virtutum converte,W,I-Ad 5,I-Ad
172946,,Domine praestolamur adventum,I,I-Ad 5,I-Ad
173291,,Domine audivi auditum tuum et,V,I-Ad 5,I-Ad
173427,,Domine ne in ira tua arguas,R,I-Ad 5,I-Ad
173445,,Domine in virtute tua,A,I-Ad 5,I-Ad
173455,,Domine deus Israel exaudi,V,I-Ad 5,I-Ad
173498,,Domine in caelo misericordia,W,I-Ad 5,I-Ad
173588,,Domine deus in adjutorium,A,I-Ad 5,I-Ad
173602,,Domine refugium factus es,A,I-Ad 5,I-Ad
173632,,Domine audivi auditum tuum et,A,I-Ad 5,I-Ad
173637,,Domine probasti me et,A,I-Ad 5,I-Ad
173639,,Domine clamavi ad te exaudi,A,I-Ad 5,I-Ad
173650,,Domine exaudi orationem meam,W,I-Ad 5,I-Ad
173653,,Domine exaudi orationem meam,R,I-Ad 5,I-Ad
173672,,Domine si tu vis potes ,A,I-Ad 5,I-Ad
173674,,Domine salva nos perimus,A,I-Ad 5,I-Ad
173675,,Domine nonne bonum semen,A,I-Ad 5,I-Ad
173708,,Domine refugium factus es,W,I-Ad 5,I-Ad
173779,,Domine qui dixisti mihi,V,I-Ad 5,I-Ad
173785,,Domine labia mea aperies et,A,I-Ad 5,I-Ad
173791,,Domine bonum est nos hic ,A,I-Ad 5,I-Ad
173856,,Domine ut video propheta es,A,I-Ad 5,I-Ad
173908,,Domine si hic fuisses Lazarus,A,I-Ad 5,I-Ad
173943,,Domine labia mea aperies et,V,I-Ad 5,I-Ad
174044,,Domine vim patior responde,A,I-Ad 5,I-Ad
174160,,Domine abstraxisti ab inferis,A,I-Ad 5,I-Ad
174600,,Domine pater et deus vitae,R,I-Ad 5,I-Ad
174665,,Domine deus qui conteris,R,I-Ad 5,I-Ad
174669,,Domine rex omnipotens in,A,I-Ad 5,I-Ad
174670,,Domine deus rex omnipotens,A,I-Ad 5,I-Ad
174671,,Domine rex omnipotens in,R,I-Ad 5,I-Ad
174674,,Domine rex universae,V,I-Ad 5,I-Ad
174676,,Domine deus creator caeli et,V,I-Ad 5,I-Ad
174732,,Domine dominus noster quam,V,I-Ad 5,I-Ad
175030,,Domine ostende nobis patrem,A,I-Ad 5,I-Ad
175164,,Domine si tu es jube me,R,I-Ad 5,I-Ad
175446,,Domine mi rex da mihi ,A,I-Ad 5,I-Ad
175569,,Domine qui operati sunt,A,I-Ad 5,I-Ad
175577,,Domine spes sanctorum et,A,I-Ad 5,I-Ad
175600,,Domine si adhuc populo tuo,R,I-Ad 5,I-Ad
175603,,Domine si adhuc populo tuo,V,I-Ad 5,I-Ad
175625,,Domine si adhuc populo tuo,A,I-Ad 5,I-Ad
175644,,Domine Jesu Christe seminator,A,I-Ad 5,I-Ad
175652,,Domine Jesu Christe pastor,R,I-Ad 5,I-Ad
175773,,Domine praevenisti eum in,R,I-Ad 5,I-Ad
175866,,Domine quinque talenta,V,I-Ad 5,I-Ad
175874,,Domine iste sanctus habitabit,A,I-Ad 5,I-Ad
175917,,Domine iste sanctus*,A,I-Ad 5,I-Ad
175922,,Domine quinque talenta,A,I-Ad 5,I-Ad
175939,,Domine quinque talenta*,A,I-Ad 5,I-Ad
176010,,Domine si conversus fuerit,V,I-Ad 5,I-Ad
176062,,Domine quando veneris,R,I-Ad 5,I-Ad
176080,,Domine secundum actum meum,R,I-Ad 5,I-Ad
176169,,Domine deus virtutum*,W,F-AI 44,F-AI
176393,,Domine audivi auditum tuum et,V,F-AI 44,F-AI
176611,,Domine si tu vis potis ,A,F-AI 44,F-AI
176612,,Domine puer meus jacet,A,F-AI 44,F-AI
176613,,Domine non sum dignus ut,A,F-AI 44,F-AI
176615,,Domine salva nos perimus,A,F-AI 44,F-AI
176700,,Domine audivi auditum tuum et,V,F-AI 44,F-AI
176750,,Domine qui me creasti et,V,F-AI 44,F-AI
176906,,Domine refugium*,W,F-AI 44,F-AI
176928,,Domine non habeo hominem ut,A,F-AI 44,F-AI
176953,,Domine labia mea aperies et,A,F-AI 44,F-AI
176958,,Domine bonum est nos hic ,A,F-AI 44,F-AI
177030,,Domine ut video propheta est,A,F-AI 44,F-AI
177086,,Domine si hic fuisses Lazarus,A,F-AI 44,F-AI
177206,,Domine vim patior responde,A,F-AI 44,F-AI
177317,,Domine abstraxisti ab inferis,A,F-AI 44,F-AI
177448,,Domine ostende nobis patrem,V,F-AI 44,F-AI
177744,,Domine rex omnipotens libera,A,F-AI 44,F-AI
177823,,Domine si tu es jube ,R,F-AI 44,F-AI
177830,,Domine tu omnia nosti tu ,V,F-AI 44,F-AI
177849,,Domine tu omnia nosti tu ,A,F-AI 44,F-AI
178090,,Domine Jesu Christe pastor,R,F-AI 44,F-AI
178188,,Domine qui custodis pactum et,V,F-AI 44,F-AI
178191,,Domine si conversus fuerit,R,F-AI 44,F-AI
178209,,Domine pater et deus vitae,R,F-AI 44,F-AI
178277,,Domine deus qui conteris,R,F-AI 44,F-AI
178289,,Domine rex omnipotens in,R,F-AI 44,F-AI
178296,,Domine deus caeli et terrae,V,F-AI 44,F-AI
178298,,Domine rex universae,V,F-AI 44,F-AI
178523,,Domine praevenisti eum in,R,F-AI 44,F-AI
178576,,Domine quinque talenta,V,F-AI 44,F-AI
178607,,Domine si adhuc populo tuo,A,F-AI 44,F-AI
178803,,Domine dum quando veneris,R,F-AI 44,F-AI
178810,,Domine quidquid vitiorum*,V,F-AI 44,F-AI
178811,,Domine secundum actum noli me,R,F-AI 44,F-AI
178814,,Domine ne in ira tua,V,F-AI 44,F-AI
178821,,Domine qui plasmasti me*,R,F-AI 44,F-AI
178822,,Domine quidquid vitiorum*,V,F-AI 44,F-AI
178843,,Domine ne in ira tua ,R,F-AI 44,F-AI
178951,,Domine deus virtutum*,W,D-AAm G 20,D-AAm
179076,,Domine deus virtutum converte,V,D-AAm G 20,D-AAm
179221,,Domine audivi auditum tuum et,V,D-AAm G 20,D-AAm
179289,,Domine virtus et laetitia,A,D-AAm G 20,D-AAm
179307,,Domine libera animam meam a,A,D-AAm G 20,D-AAm
