id,title,incipit,mode
246413,,Beata Agatha ingressa carcerem expandit,7
288562,,Beata Agatha ingressa carcerem expandit ,7
301655,,Beata Agatha ingressa,7
310349,,Beata Agatha ingressa,7
327713,,Beata Agatha ingressa,7
344124,,Beata Agatha ingressa,7
432524,,Beata Agatha ingressa,7
441310,,Beata Agatha ingressa,7
457257,,Beata Agatha ingressa carcerem expandit,7
468018,,Beata Agatha ingressa,7
472182,,Beata Agatha ingressa carcerem expandit,7
493318,,Beata Agatha ingressa carcerem expandit,7
505118,,Beata Agatha ingressa,7
535398,,Beata Agatha ingressa,7
557520,,Beata Agatha ingressa,7
615948,,Beata Agatha ingressa carcerem expandit,7
154534,,Beata es Maria quae,8
165637,,Beata es Maria quae,8
166491,,Beata es Maria quae,8
166493,,Beatam me dicent omnes,8
170311,,Beata es Maria quae credidisti,8
170313,,Beatam me dicent omnes generationes,8
172974,,Beata es Maria quae,8
172976,,Beatam me dicent omnes,8
182571,,Beata Agnes in medio,8
185236,,Beata es Maria quae,8
188214,,Beata es Maria quae,8
188263,,Beatam me dicent omnes,8
191032,,Beata es Maria quae,8
191034,,Beatam me dicent omnes,8
194825,,Beatam me dicent omnes,8
200029,,Beata es Maria quae credidisti,8
200079,,Beatam me dicent omnes generationes,8
203777,,Beata es Maria quae credidisti,8
206202,,Beata es Maria quae,8
207882,,Beata es Maria quae,8
209516,,Beatam me dicent omnes,8
216586,,Beata es Maria quae,8
216588,,Beatam me dicent omnes,8
220238,,Beata es Maria quae,8
220240,,Beatam me dicent omnes,8
228424,,Beata es Maria quae credidisti,8
228477,,Beatam me dicent omnes generationes,8
233706,,Beatam me dicent omnes,8
238303,,Beata es Maria quae,8
238305,,Beatam me dicent omnes,8
243321,,Beata es Maria quae credidisti,8
243394,,Beatam me dicent omnes generationes,8
253471,,Beata es Maria quae credidisti,8
253473,,Beatam me dicent omnes generationes,8
260471,,Beata es Maria quae,8
260527,,Beatam me dicent omnes,8
263538,,Beata Agnes in medio,8
264799,,Beata dei genetrix Maria vir-,8
266567,,Beata es Maria quae,8
266569,,Beatam me dicent omnes,8
270197,,Beata es Maria quae credidisti,8
270288,,Beatam me dicent omnes generationes,8
273220,,Beata es Maria quae credidisti,8
276236,,Beata es Maria quae,8
276302,,Beata es Maria quae,8
287102,,Beata es Maria quae credidisti,8
288405,,Beata Agnes in medio flammarum,8
291068,,Beata Agnes in medio,8
291224,,Beata Agatha ingressa,8
296243,,Beata Agnes in medio,8
296397,,Beata Agatha ingressa,8
297420,,Beata es Maria quae,8
298773,,Beata Agnes in medio,8
298894,,Beata Agatha ingressa,8
300159,,Beata es Maria quae,8
301505,,Beata Agnes in medio,8
309168,,Beata es Maria quae,8
309254,,Beatam me dicent omnes,8
310673,,Beatam me dicent omnes,8
313959,,Beata dei genetrix Maria vir-,8
314621,,Beata nimium et deo nostro,8
317057,,Beata es Maria quae,8
317101,,Beatam me dicent omnes,8
323629,,Beata Agnes in medio,8
327479,,Beata Agnes in medio,8
331516,,Beata Agnes in medio flammarum ,8
341714,,Beatam me dicent omnes,8
343995,,Beata Agnes in medio,8
345454,,Beata es Maria quae,8
345497,,Beatam me dicent omnes,8
353351,,Beata es Maria quae,8
353399,,Beatam me dicent omnes,8
359348,,Beata es Maria quae,8
359350,,Beatam me dicent omnes,8
363706,,Beata es Maria quae,8
363709,,Beatam me dicent omnes,8
368246,,Beatam me dicent omnes,8
371333,,Beata dei genetrix Maria vir-,8
372417,,Beata es Maria quae,8
372419,,Beatam me dicent omnes,8
374618,,Beatam me dicent omnes,8
376155,,Beata es Maria quae,8
376156,,Beatam me dicent omnes,8
378108,,Beatam me dicent omnes,8
386815,,Beata es Maria quae credidisti,8
393543,,Beatam me dicent omnes generationes,8
393632,,Beatam me dicent omnes generationes,8
393969,,Beatam me dicent omnes generationes,8
394059,,Beata es Maria quae credidisti,8
394444,,Beatam me dicent omnes generationes,8
396306,,Beata Agnes in medio flammarum ,8
408504,,Beata es Maria quae credidisti,8
408552,,Beatam me dicent omnes generationes,8
415026,,Beata dei genetrix Maria,8
417051,,Beata es Maria quae,8
417095,,Beatam me dicent omnes,8
419699,,Beata es Maria quae,8
419702,,Beatam me dicent omnes,8
424957,,Beatam me dicent omnes,8
431775,,Beata es Maria quae,8
432409,,Beata Agnes in medio,8
451208,,Beata es Maria quae,8
451301,,Beatam me dicent omnes,8
456015,,Beata es Maria quae credidisti,8
457149,,Beata Agnes in medio flammarum,8
467077,,Beata es Maria quae,8
467147,,Beatam me dicent omnes,8
467914,,Beata Agnes in medio,8
470889,,Beata es Maria quae credidisti,8
470995,,Beatam me dicent omnes generationes,8
472074,,Beata Agnes in medio flammarum ,8
476512,,Beata es Maria quae credidisti,8
481993,,Beata es Maria quae,8
487841,,Beata es Maria quae,8
491918,,Beata es Maria quae credidisti,8
492000,,Beatam me dicent omnes generationes ,8
498165,,Beata es Maria quae,8
505028,,Beata Agnes in medio,8
512521,,Beata es Maria quae,8
512567,,Beatam me dicent omnes,8
514572,,Beata es Maria quae credidisti ,8
514641,,Beatam me dicent omnes generationes ,8
522278,,Beata es Maria quae credidisti,8
522347,,Beatam me dicent omnes generationes,8
525886,,Beata sterilis quae,8
533545,,Beatam me dicent omnes,8
533950,,Beata es Maria quae,8
533964,,Beatam me dicent omnes,8
535318,,Beata Agnes in medio,8
537120,,Beata es Maria quae credidisti,8
540230,,Beata es Maria quae,8
543295,,Beata es Maria quae credidisti ,8
543351,,Beatam me dicent omnes generationes,8
548750,,Beata es Maria quae credidisti,8
549957,,Beata Agnes in medio flammarum,8
550175,,Beata Agatha ingressa carcerem expandit,8
554279,,Beata es Maria quae,8
554456,,Beatam me dicent omnes,8
558207,,Beata es Maria quae,8
559097,,Beata es Maria quae credidisti,8
559137,,Beata es Maria quae credidisti,8
560411,,Beata es Maria quae credidisti,8
560466,,Beatam me dicent omnes generationes,8
563678,,Beata Agnes in medio flammarum,8
571658,,Beata es Maria quae credidisti,8
573862,,Beatam me dicent omnes generationes,8
574718,,Beata es Maria quae credidisti,8
574776,,Beatam me dicent omnes generationes,8
578229,,Beata es Maria quae credidisti,8
578311,,Beatam me dicent omnes generationes,8
581352,,Beata es Maria quae credidisti,8
581449,,Beatam me dicent omnes generationes,8
584951,,Beata es Maria quae credidisti,8
585062,,Beatam me dicent omnes generationes,8
587407,,Beata es Maria quae credidisti,8
596315,,Beata es Maria quae,8
596404,,Beatam me dicent omnes,8
602031,,Beata es Maria quae credidisti ,8
602073,,Beatam me dicent omnes generationes,8
614909,,Beata es Maria quae credidisti,8
615780,,Beata Agnes in medio flammarum,8
620195,,Beata es Maria quae credisti,8
641925,,Beata es Maria*,8
669217,,Beata es Maria quae credidisti,8
669219,,Beatam me dicent omnes generationes,8
700770,,Beata dei genetrix Maria vir-,8
1004301,,Beatam me dicent omnes generationes,8
214658,,Beata me dicent omnes,?
305653,,Beata es Maria quae,?
333446,,Beata Augusta de muro sedule,?
335537,,Beata es Maria quae,?
335606,,Beatam me dicent omnes,?
338808,,Beata Agnes in medio,?
339019,,Beata Agatha ingressa,?
379338,,Beata Agnes in medio,?
383564,,Beata Agatha ingressa,?
385279,,Beata Augusta de muro sedule,?
151517,,Beata nobis gaudia anni,
202196,,Beata nobis*,
274518,,Beata Agnes in medio flammarum,
274699,,Beata Agatha ingressa carcerem expandit,
392574,,Beata es Maria quae,
461924,,Beata es Maria quae credidisti,
463339,,Beata Agnes in medio,
469118,,Beata Agnes*,
469372,,Beata Agathes*,
654268,,Beata es Maria quae credidisti ,
654345,,Beatam me dicent omnes generationes ,
663008,,Beata Agnes in medio flammarum ,
663375,,Beata Agatha ingressa carcerem expandit ,
664324,,Beatam me dicent omnes*,
699224,,Beata Agatha ingressa carcerem expandit,
700773,,Beata es*,
714993,,Beatam me dicent omnes generationes,
