type,id,incipit,siglum
Chant,663570,Domine dilexi decorem*,A-Gu
Chant,663792,Domine quinque talenta tradidisti mihi,A-Gu
Chant,663799,Domine dominus noster quam admirabile,A-Gu
Chant,663806,Domine iste sanctus habitabit in,A-Gu
Chant,663906,Domine deus meus in te,A-Gu
Chant,663928,Domine qui custodis pactum et,A-Gu
Chant,663929,Domine si conversus fuerit populus,A-Gu
Chant,663933,Domine in virtute tua laetabitur ,A-Gu
Chant,663960,Domine pater et deus vitae,A-Gu
Chant,663961,Domine pater et deus vitae,A-Gu
Chant,664035,Domine deus caeli et terrae,A-Gu
Chant,664038,Domine deus qui conteris bella ,A-Gu
Chant,664040,Domine rex omnipotens in ditione,A-Gu
Chant,664045,Domine deus caeli et terrae ,A-Gu
Chant,664119,Domine audivi auditum tuum et ,A-Gu
Chant,664152,Domine factum est ut imperasti,A-Gu
Chant,664203,Domine descende ut sanes filium ,A-Gu
Chant,664216,Domine dilexi decorem domus tuae,A-Gu
Chant,664220,Domine audivi auditum tuum et,A-Gu
Chant,664391,Domine virtus et laetitia rectorum,A-Gu
Chant,664421,Domine suscipe me ut cum,A-Gu
Chant,664586,Domine ne in ira tua,A-Gu
Chant,664611,Domine dilexi decorem domus tuae,A-Gu
Chant,664712,Domine ne in ira tua,A-Gu
Chant,664759,Domine deus in adjutorium meum,A-Gu
Chant,664773,Domine refugium factus es nobis,A-Gu
Chant,664802,Domine audivi auditum tuum et,A-Gu
Chant,664808,Domine probasti me et cognovisti ,A-Gu
Chant,664810,Domine clamavi ad te exaudi ,A-Gu
Chant,664821,Domine exaudi* ,A-Gu
Chant,664824,Domine exaudi orationem meam et,A-Gu
Chant,664839,Domine si tu vis potes,A-Gu
Chant,664840,Domine puer meus jacet paralyticus,A-Gu
Chant,664841,Domine non sum dignus ut,A-Gu
Chant,664844,Domine salva nos perimus impera,A-Gu
Chant,285001,Domine si tu es jube,A-KN
Chant,285590,Domine mi rex da mihi,A-KN
Chant,285854,Domine dilexi decorem domus tuae,A-KN
Chant,285858,Domine dilexi*,A-KN
Chant,286001,Domine qui operati sunt justitiam ,A-KN
Chant,286010,Domine spes sanctorum et turris,A-KN
Chant,286044,Domine deus noster cujus gratia,A-KN
Chant,286058,Domine si adhuc populo tuo ,A-KN
Chant,286059,Domine si adhuc in eodem ,A-KN
Chant,286081,Domine si adhuc populo tuo,A-KN
Chant,286111,Domine deus noster*,A-KN
Chant,286114,Domine si adhuc*,A-KN
Chant,286134,Domine Jesu Christe seminator casti,A-KN
Chant,286141,Domine Jesu Christe pastor bone ,A-KN
Chant,286438,Domine quinque talenta tradidisti mihi,A-KN
Chant,286445,Domine dominus noster quam admirabile,A-KN
Chant,286450,Domine iste sanctus habitabit in ,A-KN
Chant,286652,Domine qui custodis pactum et ,A-KN
Chant,286653,Domine si conversus fuerit populus ,A-KN
Chant,286695,Domine pater et deus vitae,A-KN
Chant,286696,Domine pater et deus vitae,A-KN
Chant,286794,Domine deus qui conteris bella,A-KN
Chant,286800,Domine rex omnipotens in ditione,A-KN
Chant,286801,Domine rex omnipotens in ditione,A-KN
Chant,286894,Domine factum est ut imperasti,A-KN
Chant,286960,Domine descende ut sanes filium,A-KN
Chant,286967,Domine filia mea modo defuncta,A-KN
Chant,287043,Domine deus virtutum*,A-KN
Chant,287294,Domine deus virtutum converte nos,A-KN
Chant,287448,Domine audivi auditum tuum et,A-KN
Chant,287554,Domine libera animam meam a,A-KN
Chant,287621,Domine suscipe me ut cum,A-KN
Chant,287719,Domine audivi auditum tuum et,A-KN
Chant,287758,Domine audivi*,A-KN
Chant,287770,Domine audivi*,A-KN
Chant,287796,Domine audivi auditum tuum et ,A-KN
Chant,287839,Domine virtus et laetitia rectorum ,A-KN
Chant,288030,Domine si tu vis potes,A-KN
Chant,288031,Domine puer meus jacet paralyticus,A-KN
Chant,288032,Domine non sum dignus ut,A-KN
Chant,288037,Domine salva nos perimus impera,A-KN
Chant,288040,Domine salva nos perimus impera,A-KN
Chant,288047,Domine deus meus in te,A-KN
Chant,288050,Domine ne in ira tua ,A-KN
Chant,288068,Domine in virtute tua laetabitur,A-KN
Chant,288075,Domine dilexi decorem domus tuae,A-KN
Chant,288077,Domine deus Israel exaudi preces,A-KN
Chant,288147,Domine ne in ira tua arguas,A-KN
Chant,288195,Domine deus in adjutorium meum ,A-KN
Chant,288209,Domine refugium factus es nobis,A-KN
Chant,288241,Domine audivi auditum tuum et ,A-KN
Chant,288247,Domine probasti me et cognovisti,A-KN
Chant,288249,Domine clamavi ad te exaudi,A-KN
Chant,288261,Domine exaudi*,A-KN
Chant,288264,Domine exaudi orationem meam et,A-KN
Chant,288314,Domine in caelo*,A-KN
Chant,288734,Domine ne in ira*,A-KN
Chant,288748,Domine audivi auditum tuum et,A-KN
Chant,288895,Domine refugium tu factus*,A-KN
Chant,288938,Domine non habeo hominem ut,A-KN
Chant,288943,Domine bonum est nos hic,A-KN
Chant,288973,Domine labia mea aperies et,A-KN
Chant,288979,Domine refugium*,A-KN
Chant,289073,Domine ut video propheta es,A-KN
Chant,289118,Domine refugium*,A-KN
Chant,289143,Domine si hic fuisses Lazarus,A-KN
Chant,289185,Domine labia mea aperies et,A-KN
Chant,289315,Domine vim patior responde,A-KN
Chant,289382,Domine miserere nobis Christe,A-KN
Chant,289385,Domine miserere*,A-KN
Chant,289444,Domine abstraxisti ab inferis animam,A-KN
Chant,289532,Domine apud te est fons vitae,A-KN
Chant,289828,Domine si in tempore hoc,A-KN
Chant,290079,Domine deus virtutum converte,A-KN
Chant,290234,Domine audivi auditum tuum et,A-KN
Chant,290329,Domine libera animam meam a,A-KN
Chant,290388,Domine suscipe me ut cum,A-KN
Chant,290473,Domine audivi auditum tuum et,A-KN
Chant,290524,Domine audivi auditum tuum et,A-KN
Chant,290558,Domine virtus et laetitia,A-KN
Chant,290733,Domine si tu vis potes ,A-KN
Chant,290734,Domine puer meus jacet,A-KN
Chant,290735,Domine non sum dignus ut,A-KN
Chant,290740,Domine salva nos perimus,A-KN
Chant,290743,Domine salva nos perimus,A-KN
Chant,290750,Domine deus meus in te,A-KN
Chant,290753,Domine ne in ira tua arguas,A-KN
Chant,290771,Domine in virtute tua,A-KN
Chant,290778,Domine dilexi decorem domus,A-KN
Chant,290808,Domine in caelo*,A-KN
Chant,290854,Domine ne in ira tua arguas,A-KN
Chant,290893,Domine deus in adjutorium,A-KN
Chant,290907,Domine refugium tu factus es,A-KN
Chant,290936,Domine audivi auditum tuum et,A-KN
Chant,290940,Domine probasti me et,A-KN
Chant,290942,Domine clamavi ad te exaudi,A-KN
Chant,290951,Domine exaudi*,A-KN
Chant,290954,Domine exaudi orationem meam,A-KN
Chant,291387,Domine audivi auditum tuum et,A-KN
Chant,291577,Domine non habeo hominem ut,A-KN
Chant,291607,Domine labia mea aperies et,A-KN
Chant,291613,Domine refugium*,A-KN
Chant,291678,Domine refugium*,A-KN
Chant,291707,Domine ut video propheta es,A-KN
Chant,291752,Domine refugium*,A-KN
Chant,291774,Domine si hic fuisses Lazarus,A-KN
Chant,291816,Domine labia mea aperies et,A-KN
Chant,291940,Domine vim patior responde,A-KN
Chant,292000,Domine miserere,A-KN
Chant,292062,Domine abstraxisti ab inferis,A-KN
Chant,292536,Domine ostende nobis patrem et,A-KN
Chant,292539,Domine ostende nobis patrem et,A-KN
Chant,292546,Domine ostende nobis*,A-KN
Chant,292689,Domine si in tempore hoc,A-KN
Chant,292719,Domine si in tempore*,A-KN
Chant,292736,Domine si in tempore*,A-KN
Chant,293028,Domine si tu es jube,A-KN
Chant,293532,Domine mi rex da mihi,A-KN
Chant,293814,Domine dilexi decorem domus tuae,A-KN
Chant,293961,Domine qui operati sunt justitiam,A-KN
Chant,293969,Domine spes sanctorum et turris,A-KN
Chant,294000,Domine deus noster cujus gratia,A-KN
Chant,294013,Domine si adhuc populo tuo,A-KN
Chant,294014,Domine si adhuc in eodem,A-KN
Chant,294036,Domine si adhuc populo tuo,A-KN
Chant,294066,Domine si adhuc*,A-KN
Chant,294084,Domine Jesu Christe seminator casti,A-KN
Chant,294091,Domine Jesu Christe pastor bone,A-KN
Chant,294344,Domine quinque talenta tradidisti mihi,A-KN
Chant,294351,Domine dominus noster quam admirabile,A-KN
Chant,294358,Domine iste sanctus habitabit in ,A-KN
Chant,294445,Domine qui custodis pactum et,A-KN
Chant,294446,Domine si conversus fuerit populus,A-KN
Chant,294486,Domine pater et deus vitae,A-KN
Chant,294487,Domine pater et deus vitae,A-KN
Chant,294583,Domine deus qui conteris bella ,A-KN
Chant,294589,Domine rex omnipotens in ditione,A-KN
Chant,294590,Domine rex omnipotens in ditione ,A-KN
Chant,294680,Domine factum est ut imperasti,A-KN
Chant,294750,Domine descende ut sanes filium,A-KN
Chant,294756,Domine filia mea modo defuncta,A-KN
Chant,295048,Domine deus virtutum converte nos,A-KN
Chant,295287,Domine audivi auditum tuum et,A-KN
Chant,295392,Domine libera animam meam a,A-KN
Chant,295459,Domine suscipe me ut cum,A-KN
Chant,295556,Domine audivi auditum tuum et,A-KN
Chant,295597,Domine audivi*,A-KN
Chant,295609,Domine audivi*,A-KN
Chant,295634,Domine audivi,A-KN
Chant,295679,Domine virtus et laetitia,A-KN
Chant,295881,Domine si tu vis potes ,A-KN
Chant,295882,Domine puer meus jacet,A-KN
Chant,295883,Domine non sum dignus ut,A-KN
Chant,295888,Domine salva nos perimus,A-KN
Chant,295891,Domine salva nos perimus,A-KN
Chant,295898,Domine deus meus in te,A-KN
Chant,295901,Domine ne in ira tua ,A-KN
Chant,295919,Domine in virtute tua,A-KN
Chant,295926,Domine dilexi decorem domus tuae,A-KN
Chant,295928,Domine deus Israhel exaudi preces,A-KN
Chant,295958,Domine in caelo*,A-KN
Chant,296007,Domine ne in ira tua,A-KN
Chant,296055,Domine deus in adjutorium,A-KN
Chant,296069,Domine refugium tu factus es,A-KN
Chant,296100,Domine audivi auditum tuum et,A-KN
Chant,296106,Domine probasti me et,A-KN
Chant,296108,Domine clamavi ad te exaudi,A-KN
Chant,296120,Domine exaudi*,A-KN
Chant,296123,Domine exaudi orationem meam,A-KN
Chant,296557,Domine audivi auditum tuum et ,A-KN
Chant,296737,Domine non habeo hominem ut,A-KN
Chant,296742,Domine bonum est nos hic ,A-KN
Chant,296771,Domine labia mea aperies et,A-KN
Chant,296839,Domine refugium*,A-KN
Chant,296868,Domine ut video propheta es,A-KN
Chant,296913,Domine refugium*,A-KN
Chant,296938,Domine si hic fuisses Lazarus,A-KN
Chant,296978,Domine labia mea aperies et,A-KN
Chant,297108,Domine vim patior responde,A-KN
Chant,297168,Domine miserere nobis Christe dominus,A-KN
Chant,297236,Domine abstraxisti ab inferis,A-KN
Chant,297275,Domine quando veneris,A-KN
Chant,297290,Domine secundum actum meum,A-KN
Chant,297353,Domine deus virtutum*,A-KN
Chant,297611,Domine deus virtutum converte,A-KN
Chant,297779,Domine audivi auditum tuum et,A-KN
Chant,297888,Domine libera animam meam a,A-KN
Chant,297960,Domine suscipe me ut cum,A-KN
Chant,298059,Domine audivi auditum tuum et,A-KN
Chant,298097,Domine audivi*,A-KN
Chant,298109,Domine audivi*,A-KN
Chant,298134,Domine audivi auditum*,A-KN
Chant,298188,Domine virtus et laetitia,A-KN
Chant,298397,Domine puer meus jacet,A-KN
Chant,298398,Domine non sum dignus ut,A-KN
Chant,298403,Domine salva nos perimus,A-KN
Chant,298406,Domine salva nos perimus,A-KN
Chant,298414,Domine deus meus in te,A-KN
Chant,298417,Domine ne in ira tua arguas,A-KN
Chant,298435,Domine in virtute tua,A-KN
Chant,298442,Domine dilexi decorem domus,A-KN
Chant,298480,Domine in caelo*,A-KN
Chant,298529,Domine ne in ira tua arguas,A-KN
Chant,298579,Domine deus in adjutorium,A-KN
Chant,298593,Domine refugium tu factus es,A-KN
Chant,298626,Domine audivi auditum tuum et,A-KN
Chant,298632,Domine probasti me et,A-KN
Chant,298634,Domine clamavi ad te exaudi,A-KN
Chant,298647,Domine exaudi*,A-KN
Chant,298650,Domine exaudi orationem meam,A-KN
Chant,299161,Domine audivi auditum tuum et,A-KN
Chant,299313,Domine refugium*,A-KN
Chant,299356,Domine non habeo hominem ut,A-KN
Chant,299361,Domine bonum est nos hic ,A-KN
Chant,299394,Domine labia mea aperies et,A-KN
Chant,299400,Domine refugium*,A-KN
Chant,299467,Domine refugium*,A-KN
Chant,299497,Domine ut video propheta es,A-KN
Chant,299542,Domine refugium*,A-KN
Chant,299569,Domine si hic fuisses Lazarus,A-KN
Chant,299610,Domine labia mea aperies et,A-KN
Chant,299733,Domine vim patior responde,A-KN
Chant,299798,Domine miserere nobis Christe dominus,A-KN
Chant,299801,Domine miserere*,A-KN
Chant,299804,Domine miserere*,A-KN
Chant,299863,Domine abstraxisti ab inferis,A-KN
Chant,299993,Domine quando veneris,A-KN
Chant,300001,Domine secundum actum meum noli,A-KN
Chant,300102,Domine deus virtutum converte,A-KN
Chant,300404,Domine deus virtutum converte,A-KN
Chant,300559,Domine audivi auditum tuum et,A-KN
Chant,300665,Domine libera animam meam a,A-KN
Chant,300732,Domine suscipe me ut cum,A-KN
Chant,300832,Domine audivi auditum tuum et,A-KN
Chant,300868,Domine audivi*,A-KN
Chant,300880,Domine audivi*,A-KN
Chant,300904,Domine audivi*,A-KN
Chant,300949,Domine virtus et laetitia,A-KN
Chant,301156,Domine si tu vis potes ,A-KN
Chant,301157,Domine puer meus jacet,A-KN
Chant,301158,Domine non sum dignus ut,A-KN
Chant,301163,Domine salva nos perimus,A-KN
Chant,301166,Domine salva nos perimus,A-KN
Chant,301173,Domine deus meus in te,A-KN
Chant,301176,Domine ne in ira tua ,A-KN
Chant,301194,Domine in virtute tua,A-KN
Chant,301201,Domine dilexi decorem domus,A-KN
Chant,301203,Domine deus Israel exaudi,A-KN
Chant,301235,Domine in caelo*,A-KN
Chant,301283,Domine ne in ira tua ,A-KN
Chant,301327,Domine deus in adjutorium,A-KN
Chant,301341,Domine refugium tu factus es,A-KN
Chant,301370,Domine audivi auditum tuum et,A-KN
Chant,301375,Domine probasti me et,A-KN
Chant,301377,Domine clamavi ad te exaudi,A-KN
Chant,301388,Domine exaudi*,A-KN
Chant,301391,Domine exaudi orationem meam,A-KN
Chant,301823,Domine audivi auditum tuum et,A-KN
Chant,301975,Domine refugium*,A-KN
Chant,302018,Domine non habeo hominem ut,A-KN
Chant,302023,Domine bonum est nos hic ,A-KN
Chant,302056,Domine labia mea aperies et,A-KN
Chant,302062,Domine refugium*,A-KN
Chant,302128,Domine refugium*,A-KN
Chant,302158,Domine ut video propheta es,A-KN
Chant,302203,Domine refugium*,A-KN
Chant,302230,Domine si hic fuisses Lazarus,A-KN
Chant,302271,Domine labia mea aperies et,A-KN
Chant,302395,Domine vim patior responde,A-KN
Chant,302460,Domine miserere nobis Christe dominus,A-KN
Chant,302463,Domine miserere,A-KN
Chant,302466,Domine miserere,A-KN
Chant,302525,Domine abstraxisti ab inferis,A-KN
Chant,302661,Domine quando veneris,A-KN
Chant,302669,Domine secundum actum meum,A-KN
Chant,303175,Domine ostende nobis patrem,A-KN
Chant,303178,Domine ostende nobis patrem,A-KN
Chant,303185,Domine ostende nobis*,A-KN
Chant,303333,Domine si in tempore hoc,A-KN
Chant,303379,Domine si in tempore*,A-KN
Chant,303672,Domine si tu es jube me,A-KN
Chant,304263,Domine mi rex da mihi ,A-KN
Chant,304544,Domine dilexi decorem domus,A-KN
Chant,304707,Domine qui operati sunt,A-KN
Chant,304715,Domine spes sanctorum et,A-KN
Chant,304746,Domine deus noster cujus,A-KN
Chant,304759,Domine si adhuc populo tuo,A-KN
Chant,304760,Domine si adhuc in eodem,A-KN
Chant,304782,Domine si adhuc populo tuo,A-KN
Chant,304812,Domine si adhuc*,A-KN
Chant,304830,Domine Jesu Christe seminator,A-KN
Chant,304837,Domine Jesu Christe pastor,A-KN
Chant,305139,Domine quinque talenta,A-KN
Chant,305146,Domine dominus noster quam,A-KN
Chant,305153,Domine iste sanctus habitabit,A-KN
Chant,305239,Domine qui custodis pactum et,A-KN
Chant,305240,Domine si conversus fuerit,A-KN
Chant,305280,Domine pater et deus vitae,A-KN
Chant,305281,Domine pater et deus vitae,A-KN
Chant,305377,Domine deus qui conteris,A-KN
Chant,305383,Domine rex omnipotens in,A-KN
Chant,305384,Domine rex omnipotens in,A-KN
Chant,305474,Domine factum est ut,A-KN
Chant,305544,Domine descende ut sanes,A-KN
Chant,305551,Domine filia mea modo,A-KN
Chant,305839,Domine deus virtutum converte,A-KR
Chant,305927,Domine audivi auditum tuum et,A-KR
Chant,306057,Domine dilexi decorem domus,A-KR
Chant,306061,Domine deus Israel exaudi,A-KR
Chant,306083,Domine exaudi orationem meam,A-KR
Chant,306094,Domine salva nos perimus,A-KR
Chant,306271,Domine n- --,A-KR
Chant,306280,Domine labia mea aperies et,A-KR
Chant,306342,Domine miserere*,A-KR
Chant,306346,Domine miserere*,A-KR
Chant,306409,Domine abstraxisti ab inferis,A-KR
Chant,306478,Domine apud te est fons vitae,A-KR
Chant,306764,Domine ostende nobis patrem,A-KR
Chant,306880,Domine si in tempore hoc,A-KR
Chant,307318,Domine quinque talenta,A-KR
Chant,307325,Domine dominus noster quam,A-KR
Chant,307332,Domine iste sanctus habitabit,A-KR
Chant,307367,Domine qui custodis pactum et,A-KR
Chant,307368,Domine si conversus fuerit,A-KR
Chant,335390,Domine qui plasmasti me,A-LIb
Chant,335391,Domine quidquid vitiorum,A-LIb
Chant,335475,Domine deus virtutum*,A-LIb
Chant,335489,Domine deus virtutum*,A-LIb
Chant,335654,Domine deus virtutum converte,A-LIb
Chant,335801,Domine audivi auditum tuum et,A-LIb
Chant,335811,Domine audivi auditum tuum*,A-LIb
Chant,335925,Domine libera animam meam a,A-LIb
Chant,335931,Domine vultus tui domine,A-LIb
Chant,335936,Domine virtus et laetitia,A-LIb
Chant,336013,Domine suscipe me ut cum,A-LIb
Chant,336118,Domine audivi auditum tuum et,A-LIb
Chant,336135,Domine audivi*,A-LIb
Chant,336146,Domine audivi*,A-LIb
Chant,336188,Domine audivi*,A-LIb
Chant,336312,Domine audivi*,A-LIb
Chant,336314,Domine audivi*,A-LIb
Chant,336326,Domine audivi*,A-LIb
Chant,336556,Domine in virtute tua,A-LIb
Chant,336560,Domine ne in ira tua ,A-LIb
Chant,336583,Domine dilexi decorem domus,A-LIb
Chant,336591,Domine deus Israel exaudi,A-LIb
Chant,336643,Domine ne in ira tua ,A-LIb
Chant,336652,Domine in caelo misericordia,A-LIb
Chant,336655,Domine in caelo misericordia,A-LIb
Chant,336756,Domine deus propitius esto,A-LIb
Chant,336759,Domine deus virtutum,A-LIb
Chant,336766,Domine refugium tu factus es,A-LIb
Chant,336769,Domine refugium tu factus es,A-LIb
Chant,336775,Domine probasti me et,A-LIb
Chant,336777,Domine clamavi ad te et,A-LIb
Chant,336818,Domine exaudi*,A-LIb
Chant,336819,Domine exaudi orationem meam,A-LIb
Chant,336846,Domine ne in ira*,A-LIb
Chant,336863,Domine dilexi*,A-LIb
Chant,336869,Domine deus*,A-LIb
Chant,336876,Domine ne in ira tua*,A-LIb
