type,id,siglum,title,incipit
chant,397662,F-Pn lat. 1090,,Est secretum Valeriane quod tibi
chant,398321,F-Pn lat. 1090,,Dominus custodit te ab omni
chant,400253,F-Pn lat. 12044,,Cum fortis armatus custodit atrium
chant,403257,F-Pn lat. 12044,,Est secretum Valeriane quod tibi 
chant,409870,F-Pn lat. 15181,,Dum fortis armatus custodit atrium
chant,410081,F-Pn lat. 15181,,Qui custodit*
chant,412627,F-Pn lat. 15181,,Qui odit animam suam in
chant,675044,F-Pn776,,Qui custodit veritatem in saeculum
chant,675045,F-Pn776,,Dominus erigit elisos dominus solvit 
chant,685229,F-Pn776,,Multae tribulationes justorum et de 
chant,687432,F-Pnm 1112,,Multae tribulationes justorum et de
chant,688769,F-Pnm 1112,,Gaude Roma caput mundi primus 
chant,692643,F-Pnm lat. 776,,Prope est dominus omnibus invocantibus 
chant,688857,F-SO 596,,Surgite sancti de mansionibus nostris 
chant,688916,F-SO 596,,Custodit dominus animas sanctorum suorum
chant,516469,GB-WO F.160 (Facs),,Dum fortis armatus custodit atrium
chant,521314,GB-WO F.160 (Facs),,Est secretum Valeriane quod tibi 
chant,521539,GB-WO F.160 (Facs),,Qui odit animam suam in 
chant,521952,GB-WO F.160 (Facs),,Dominus custodit te ab omni 
chant,242142,GOTTSCHALK,,Custodit dominus omnes diligentes se
chant,171323,I-Ac 693,,Cum fortis armatus custodit atrium
chant,172710,I-Ac 693,,Est secretum Valeriane quod tibi
chant,172721,I-Ac 693,,Est secretum Valeriane quod tibi
chant,712615,I-Nn VI.g.38,,Justitiae domini rectae laetificantes corda
chant,218145,I-Rvat SP B.79,,Cum fortis armatus custodit atrium
chant,219560,I-Rvat SP B.79,,Est secretum Valeriane quod tibi 
chant,219970,I-Rvat SP B.79,,Dominus custodit te ab omni
chant,387962,MA Impr. 1537,,Dum fortis armatus custodit atrium
chant,390159,MA Impr. 1537,,Dum lapidatur Stephanus saulus adolescentulus 
chant,392223,MA Impr. 1537,,Est secretum Valeriane quod tibi 
chant,392237,MA Impr. 1537,,Angelum dei habeo amatorem qui 
chant,392243,MA Impr. 1537,,Est secretum Valeriane quod tibi
chant,694347,MSS_09700,,Cum fortis armatus custodit atrium
chant,493803,NL-Uu 406,,Cum fortis armatus custodit atrium
chant,497136,NL-Uu 406,,Est secretum Valeriane quod tibi
chant,657987,NZ Wt MSR-03,,Est secretum Valeriane quod tibi
chant,561847,PL-WRu R 503,,Dum fortis armatus custodit atrium
chant,675595,US-Cai 1911.142b,,Aurora lucis rutilat caelum laudibus
chant,681663,US-HA Rauner Codex MS 003203,,Qui odit animam suam in
chant,712841,"US-IOspca MSC0542, xMMS.Po1",,Dominus custodit te ab omni 
chant,684601,US-NYcub Barnard 1,,Qui odit animam suam in
chant,690488,US-NYcub Barnard 1,,Dominus custodit te ab omni 
chant,604188,US-NYcub Plimpton 41,,Qui odit animam suam in
chant,713645,US-NYcub Western MS 097,,Multae tribulationes justorum et de
chant,692804,US-PRu Princeton MS. 245,,Multae tribulationes justorum et de
chant,1000734,,,Multae tribulationes justorum et de
chant,1001877,,,Ille qui clausus lapide custoditur
chant,1002116,,,Blandimentis rex molitur virginem seducere
chant,1002908,,,Dominus custodit te ab omni
chant,1002909,,,Dominus custodit te ab omni
chant,1004944,,,Est secretum Valeriane quod tibi
