id,title,incipit,siglum
206202,,Beata es Maria quae,F-CA Impr. XVI C 4
207882,,Beata es Maria quae,F-CA Impr. XVI C 4
209516,,Beatam me dicent omnes,F-CA Impr. XVI C 4
216586,,Beata es Maria quae,V-CVbav Capp.Sist. 27
216588,,Beatam me dicent omnes,V-CVbav Capp.Sist. 27
220238,,Beata es Maria quae,US-Cn 24
220240,,Beatam me dicent omnes,US-Cn 24
228424,,Beata es Maria quae credidisti,CH-E 611
228477,,Beatam me dicent omnes generationes,CH-E 611
233706,,Beatam me dicent omnes,I-Far s.c.
238303,,Beata es Maria quae,I-Fl Conv. sopp. 560
238305,,Beatam me dicent omnes,I-Fl Conv. sopp. 560
243321,,Beata es Maria quae credidisti,A-Gu 29
243394,,Beatam me dicent omnes generationes,A-Gu 29
253471,,Beata es Maria quae credidisti,CH-Fco Ms. 2
253473,,Beatam me dicent omnes generationes,CH-Fco Ms. 2
260471,,Beata es Maria quae,TR-Itks 42
260527,,Beatam me dicent omnes,TR-Itks 42
263538,,Beata Agnes in medio,TR-Itks 42
264799,,Beata dei genetrix Maria vir-,TR-Itks 42
266567,,Beata es Maria quae,HR-Hf Cod. C
266569,,Beatam me dicent omnes,HR-Hf Cod. C
270197,,Beata es Maria quae credidisti,CDN-Hsmu M2149.L4
270288,,Beatam me dicent omnes generationes,CDN-Hsmu M2149.L4
273220,,Beata es Maria quae credidisti,CH-ENstb Cod. 103
276236,,Beata es Maria quae,HR-Dsmbb V
276302,,Beata es Maria quae,HR-Dsmbb V
287102,,Beata es Maria quae credidisti,A-KN CCl 1013
288405,,Beata Agnes in medio flammarum,A-KN CCl 1013
291068,,Beata Agnes in medio,A-KN CCl 1017
291224,,Beata Agatha ingressa,A-KN CCl 1017
296243,,Beata Agnes in medio,A-KN CCl 1010
296397,,Beata Agatha ingressa,A-KN CCl 1010
297420,,Beata es Maria quae,A-KN CCl 1011
298773,,Beata Agnes in medio,A-KN CCl 1011
298894,,Beata Agatha ingressa,A-KN CCl 1011
300159,,Beata es Maria quae,A-KN CCl 1015
301505,,Beata Agnes in medio,A-KN CCl 1015
309168,,Beata es Maria quae,DK-Kk 3449 8o [01] I
309254,,Beatam me dicent omnes,DK-Kk 3449 8o [01] I
310673,,Beatam me dicent omnes,DK-Kk 3449 8o [03] III
313959,,Beata dei genetrix Maria vir-,DK-Kk 3449 8o [10] X
314621,,Beata nimium et deo nostro,DK-Kk 3449 8o [12] XII
317057,,Beata es Maria quae,PL-Kkar 2 (Rkp 14)
317101,,Beatam me dicent omnes,PL-Kkar 2 (Rkp 14)
323629,,Beata Agnes in medio,PL-Kkar 5 (Rkp 13)
327479,,Beata Agnes in medio,PL-KIk 1
331516,,Beata Agnes in medio flammarum ,D-KNd 215
341714,,Beatam me dicent omnes,SI-Lna 18 (olim 17)
343995,,Beata Agnes in medio,SI-Lna 18 (olim 17)
345454,,Beata es Maria quae,D-MZb A
345497,,Beatam me dicent omnes,D-MZb A
353351,,Beata es Maria quae,I-MZ 15/79
353399,,Beatam me dicent omnes,I-MZ 15/79
359348,,Beata es Maria quae,D-Ma 12o Cmm 1
359350,,Beatam me dicent omnes,D-Ma 12o Cmm 1
363706,,Beata es Maria quae,I-Nn vi.E.20
363709,,Beatam me dicent omnes,I-Nn vi.E.20
368246,,Beatam me dicent omnes,I-Lc 601
371333,,Beata dei genetrix Maria vir-,I-Lc 601
372417,,Beata es Maria quae,D-Mbs Clm 4303
372419,,Beatam me dicent omnes,D-Mbs Clm 4303
374618,,Beatam me dicent omnes,D-Mbs Clm 4304
376155,,Beata es Maria quae,D-Mbs Clm 4306
376156,,Beatam me dicent omnes,D-Mbs Clm 4306
378108,,Beatam me dicent omnes,D-Mbs Clm 4306
386815,,Beata es Maria quae credidisti,MA Impr. 1537
393543,,Beatam me dicent omnes generationes,US-NDu lat. b.4
393632,,Beatam me dicent omnes generationes,US-NDu lat. b.4
393969,,Beatam me dicent omnes generationes,F-Pn Lat. 1090
394059,,Beata es Maria quae credidisti,F-Pn Lat. 1090
394444,,Beatam me dicent omnes generationes,F-Pn Lat. 1090
396306,,Beata Agnes in medio flammarum ,F-Pn Lat. 1090
408504,,Beata es Maria quae credidisti,F-Pn Lat. 15181
408552,,Beatam me dicent omnes generationes,F-Pn Lat. 15181
415026,,Beata dei genetrix Maria,F-Pn Lat. 15182
417051,,Beata es Maria quae,F-Pn NAL 1535
417095,,Beatam me dicent omnes,F-Pn NAL 1535
419699,,Beata es Maria quae,I-PCd cod. 65
419702,,Beatam me dicent omnes,I-PCd cod. 65
424957,,Beatam me dicent omnes,I-Rv C.5
431775,,Beata es Maria quae,D-Sl HB.I.55
432409,,Beata Agnes in medio,D-Sl HB.I.55
451208,,Beata es Maria quae,F-Pn NAL 1411
451301,,Beatam me dicent omnes,F-Pn NAL 1411
456015,,Beata es Maria quae credidisti,CH-SGs 390
457149,,Beata Agnes in medio flammarum,CH-SGs 390
467077,,Beata es Maria quae,CZ-Pu XIV B 13
467147,,Beatam me dicent omnes,CZ-Pu XIV B 13
467914,,Beata Agnes in medio,CZ-Pu XIV B 13
470889,,Beata es Maria quae credidisti,CH-SGs 388
470995,,Beatam me dicent omnes generationes,CH-SGs 388
472074,,Beata Agnes in medio flammarum ,CH-SGs 388
476512,,Beata es Maria quae credidisti,I-Rss XIV L1 (Antiphonale)
481993,,Beata es Maria quae,E-Tc 44.2
487841,,Beata es Maria quae,F-TOm 149
491918,,Beata es Maria quae credidisti,NL-Uu 406 (3 J 7)
492000,,Beatam me dicent omnes generationes ,NL-Uu 406 (3 J 7)
498165,,Beata es Maria quae,F-VAL 114
505028,,Beata Agnes in medio,A-VOR 287
512521,,Beata es Maria quae,A-Wda C-11
512567,,Beatam me dicent omnes,A-Wda C-11
514572,,Beata es Maria quae credidisti ,GB-WO F.160 (Facs)
514641,,Beatam me dicent omnes generationes ,GB-WO F.160 (Facs)
522278,,Beata es Maria quae credidisti,GB-WO F.160
522347,,Beatam me dicent omnes generationes,GB-WO F.160
525886,,Beata sterilis quae,GB-WO F.160
533545,,Beatam me dicent omnes,NL-ZUa 6
533950,,Beata es Maria quae,A-Wda D-4
533964,,Beatam me dicent omnes,A-Wda D-4
535318,,Beata Agnes in medio,A-Wda D-4
537120,,Beata es Maria quae credidisti,B-TOb olv 63
540230,,Beata es Maria quae,B-TOb olv 64
543295,,Beata es Maria quae credidisti ,A-Wn 1799**
543351,,Beatam me dicent omnes generationes,A-Wn 1799**
548750,,Beata es Maria quae credidisti,A-Wn Cod. 1890
549957,,Beata Agnes in medio flammarum,A-Wn Cod. 1890
550175,,Beata Agatha ingressa carcerem expandit,A-Wn Cod. 1890
554279,,Beata es Maria quae,D-W 29 Helmst.
554456,,Beatam me dicent omnes,D-W 29 Helmst.
558207,,Beata es Maria quae,D-W 28 Helmst.
559097,,Beata es Maria quae credidisti,AUS-Msl 096.1/R66A
559137,,Beata es Maria quae credidisti,AUS-Msl 096.1/R66A
560411,,Beata es Maria quae credidisti,PL-WRu R 503
560466,,Beatam me dicent omnes generationes,PL-WRu R 503
563678,,Beata Agnes in medio flammarum,PL-WRu R 503
571658,,Beata es Maria quae credidisti,A-Wn Mus.Hs.15489
573862,,Beatam me dicent omnes generationes,A-Wn Mus.Hs.15489
574718,,Beata es Maria quae credidisti,I-VCd LXX
574776,,Beatam me dicent omnes generationes,I-VCd LXX
578229,,Beata es Maria quae credidisti,I-VCd XXXVII
578311,,Beatam me dicent omnes generationes,I-VCd XXXVII
581352,,Beata es Maria quae credidisti,I-VCd LXXIX
581449,,Beatam me dicent omnes generationes,I-VCd LXXIX
584951,,Beata es Maria quae credidisti,I-VCd CLXX
585062,,Beatam me dicent omnes generationes,I-VCd CLXX
587407,,Beata es Maria quae credidisti,I-VCd CLXX
596315,,Beata es Maria quae,PL-WRu I F 401
596404,,Beatam me dicent omnes,PL-WRu I F 401
602031,,Beata es Maria quae credidisti ,D-KNd 1161
602073,,Beatam me dicent omnes generationes,D-KNd 1161
614909,,Beata es Maria quae credidisti,D-KA Aug. LX
615780,,Beata Agnes in medio flammarum,D-KA Aug. LX
620195,,Beata es Maria quae credisti,NZ-Wt MSR-03
641925,,Beata es Maria*,D-LEu Rep. I 93
669217,,Beata es Maria quae credidisti,AUS-Sfl Add. Ms. 413
669219,,Beatam me dicent omnes generationes,AUS-Sfl Add. Ms. 413
700770,,Beata dei genetrix Maria vir-,CDN-W Dysart MS 1
1004301,,Beatam me dicent omnes generationes,I-Vnm Rari Ven. 710-713
214658,,Beata me dicent omnes,I-CHV s.c.
305653,,Beata es Maria quae,A-KR VI/258
333446,,Beata Augusta de muro sedule,D-KNd 215
335537,,Beata es Maria quae,A-LIb 290
335606,,Beatam me dicent omnes,A-LIb 290
338808,,Beata Agnes in medio,A-LIb 290
339019,,Beata Agatha ingressa,A-LIb 290
379338,,Beata Agnes in medio,GB-Ob MS. Canon. Liturg. 202
383564,,Beata Agatha ingressa,GB-Ob MS. Laud Misc. 284
385279,,Beata Augusta de muro sedule,GB-Ob MS. Laud Misc. 284
151517,,Beata nobis gaudia anni,GB-AB 20541 E
202196,,Beata nobis*,F-CA 38
274518,,Beata Agnes in medio flammarum,CH-ENstb Cod. 103
274699,,Beata Agatha ingressa carcerem expandit,CH-ENstb Cod. 103
392574,,Beata es Maria quae,P-LA 1084 4-b
461924,,Beata es Maria quae credidisti,CZ-Pu VI.E.4c
463339,,Beata Agnes in medio,CZ-Pu VI.E.4c
469118,,Beata Agnes*,CH-Zz Rh 80
469372,,Beata Agathes*,CH-Zz Rh 80
654268,,Beata es Maria quae credidisti ,A-Gu Ms. 211
654345,,Beatam me dicent omnes generationes ,A-Gu Ms. 211
663008,,Beata Agnes in medio flammarum ,A-Gu Ms. 211
663375,,Beata Agatha ingressa carcerem expandit ,A-Gu Ms. 211
664324,,Beatam me dicent omnes*,D-TRs 1245 / 597 (rev)
699224,,Beata Agatha ingressa carcerem expandit,D-TRs F-impb
700773,,Beata es*,CDN-W Dysart MS 1
714993,,Beatam me dicent omnes generationes,D-B Mus. ms. 40 222
