id,title,incipit,siglum
181839,,Dominus custodit te ab omni,D-AAm G 20
184634,,Dominus custodit te ab omni,D-AAm G 20
196531,,Dum fortis armatus custodit atrium,D-B Mus. 40047
259153,,Custodit dominus sicut,D-FUl Aa 55
616407,,Dum fortis armatus custodit atrium,D-KA Aug. LX
619515,,Dominus custodit te ab omni,D-KA Aug. LX
601929,,Custodit dominus*,D-KNd 1161
602732,,Custodit dominus omnes diligentes se,D-KNd 1161
602966,,Dum fortis armatus custodit atrium,D-KNd 1161
644123,,Dum fortis armatus custodit atrium*,D-LEu Rep. I 93
651050,,Dominus custodit te*,D-LEu Rep. I 93
346774,,Dum fortis armatus custodit,D-MZb B
349473,,Dominus custodit te ab omni,D-MZb D
359139,,Dominus custodit te ab omni,D-Ma 12o Cmm 1
360562,,Cum fortis armatus custodit,D-Ma 12o Cmm 1
361930,,Custodit dominus omnia ossa,D-Ma 12o Cmm 1
373610,,Dum fortis armatus custodit,D-Mbs Clm 4303
374404,,Custodit dominus omnia ossa,D-Mbs Clm 4304
374559,,Dominus custodit te ab omni,D-Mbs Clm 4304
432969,,Dum fortis armatus custodit,D-Sl HB.I.55
701496,,Custodit dominus omnes diligentes se,D-TRs F-irhl
697229,,Dominus custodit te ab omni,D-TRs F-onwg
697630,,Dominus custodit*,D-TRs F-svu8
555384,,Dum fortis armatus custodit,D-W 29 Helmst.
588512,,O vos angeli qui custoditis,D-WIl 2
311115,,Dum fortis armatus custodit,DK-Kk 3449 8o [04] IV
436815,,Custodit dominus omnia ossa,E-SA 8
477162,,Vos state fortes et custodite,E-Tc 44.1
478013,,Custodit dominus omnes,E-Tc 44.1
478724,,Dum fortis armatus custodit,E-Tc 44.1
479526,,Custodit dominus omnia ossa,E-Tc 44.1
479558,,Custodit*,E-Tc 44.1
684860,,Dominus custodit te ab omni,EC-Qsf 8
177012,,Dum fortis armatus custodit,F-AI 44
177533,,Custodit dominus omnia ossa,F-AI 44
178827,,Dominus custodit te ab omni,F-AI 44
156020,,Cum fortis armatus custodit,F-AS 465 (CGM 893)
157600,,Dominus custodit te ab omni,F-AS 465 (CGM 893)
159189,,Custodit dominus omnia ossa,F-AS 465 (CGM 893)
201249,,Dum fortis armatus custodit atrium,F-CA 38
205062,,Dominus custodit te ab omni,F-CA 38
208796,,Dominus custodit te ab omni,F-CA Impr. XVI C 4
445675,,Custodit dominus omnes*,F-Pn Lat. 1085
396599,,Custodit dominus omnia ossa eorum ,F-Pn Lat. 1090
398321,,Dominus custodit te ab omni,F-Pn Lat. 1090
400253,,Cum fortis armatus custodit atrium,F-Pn Lat. 12044
409870,,Dum fortis armatus custodit atrium,F-Pn Lat. 15181
410081,,Qui custodit*,F-Pn Lat. 15181
415866,,Dominus custodit te ab omni,F-Pn Lat. 15182
675044,,Qui custodit veritatem in saeculum,F-Pn Lat. 776
451079,,Custodit dominus*,F-Pn NAL 1411
452099,,Custodit dominus omnes,F-Pn NAL 1411
452354,,Dum fortis armatus custodit,F-Pn NAL 1411
453043,,Custodit dominus*,F-Pn NAL 1411
455635,,Dominus custodit te ab omni,F-Pn NAL 1412
417939,,Dum fortis armatus custodit,F-Pn NAL 1535
419422,,Dominus custodit te ab omni,F-Pn NAL 1535
688916,,Custodit dominus animas sanctorum suorum,F-SO 596
499664,,Dum fortis armatus custodit,F-VAL 114
504165,,Dominus custodit te ab omni,F-VAL 114
151686,,Domine qui custodit pactum et,GB-AB 20541 E
153900,,Dominus custodit te ab omni,GB-AB 20541 E
210426,,Dum fortis armatus custodit,GB-Cu Mm.ii.9
213873,,Dominus custodit te ab omni,GB-Cu Mm.ii.9
1001877,,Ille qui clausus lapide custoditur,GB-Lbl Add 23935
379842,,Dum fortis armatus custodit,GB-Ob MS. Canon. Liturg. 202
524175,,Cum fortis armatus custodit,GB-WO F.160
530070,,Dominus custodit te ab omni,GB-WO F.160
516469,,Dum fortis armatus custodit atrium,GB-WO F.160 (Facs)
521952,,Dominus custodit te ab omni ,GB-WO F.160 (Facs)
192171,,Cum fortis armatus custodit,H-Bu lat. 118
194002,,Dominus custodit te ab omni,H-Bu lat. 121
194266,,Custodit dominus omnia ossa,H-Bu lat. 122
194308,,Custodit dominus omnia ossa,H-Bu lat. 122
277133,,Dum fortis armatus custodit,HR-Dsmbb V
279260,,Dominus custodit te ab omni,HR-Dsmbb XI
267583,,Cum fortis armatus custodit,HR-Hf Cod. D
268226,,Custodit dominus omnia ossa,HR-Hf Cod. E
269303,,Dominus custodit te ab omni,HR-Hf Cod. E
165061,,Dominus custodit te ab omni,I-AO 6
171323,,Cum fortis armatus custodit atrium,I-Ac 693
167706,,Cum fortis armatus custodit,I-Ac 694
173840,,Cum fortis armatus custodit,I-Ad 5
174985,,Custodit dominus omnia ossa,I-Ad 5
176097,,Dominus custodit te ab omni,I-Ad 5
189359,,Dum fortis armatus custodit,I-BV V 19
190107,,Custodit dominus omnia ossa,I-BV V 20
215561,,Dum fortis armatus custodit,I-CHV s.c.
235124,,Cum fortis armatus custodit,I-Far s.c.
235728,,Custodit dominus omnia ossa,I-Far s.c.
235752,,Custodit*,I-Far s.c.
239723,,Cum fortis armatus custodit,I-Fl Conv. sopp. 560
369422,,Cum fortis armatus custodit,I-Lc 601
372244,,Dominus custodit te ab omni,I-Lc 601
352916,,Dum fortis armatus custodit,I-MC 542
354203,,Dum fortis armatus custodit,I-MZ 15/79
364923,,Cum fortis armatus custodit,I-Nn vi.E.20
366322,,Custodit dominus omnia ossa,I-Nn vi.E.20
367672,,Dominus custodit te ab omni,I-Nn vi.E.20
420813,,Dum fortis armatus custodit,I-PCd cod. 65
422889,,Custodit dominus omnia ossa,I-PCd cod. 65
423021,,Custodit*,I-PCd cod. 65
423103,,Custodit*,I-PCd cod. 65
424833,,Dominus custodit te ab omni,I-PCd cod. 65
427324,,Dum fortis armatus custodit atrium,I-Rv C.5
431088,,Dominus custodit te ab omni,I-Rv C.5
586072,,Dum fortis armatus custodit atrium,I-VCd CLXX
587782,,Dominus custodit te ab omni,I-VCd CLXX
568158,,Cum fortis armatus custodit atrium,I-VCd LXII
568924,,Qui custodit veritatem in saeculum,I-VCd LXII
568988,,Custodit dominus omnia ossa eorum,I-VCd LXII
576482,,Custodit dominus omnia ossa eorum,I-VCd LXIV
578120,,Dominus custodit te ab omni,I-VCd LXIV
575993,,Cum fortis armatus custodit atrium,I-VCd LXX
582571,,Cum fortis armatus custodit atrium,I-VCd LXXIX
583113,,Custodit dominus omnia ossa eorum,I-VCd LXXIX
584678,,Dominus custodit te ab omni,I-VCd LXXIX
579476,,Cum fortis armatus custodit atrium,I-VCd XXXVII
579992,,Custodit dominus omnia ossa eorum,I-VCd XXXVII
387962,,Dum fortis armatus custodit atrium,MA Impr. 1537
493803,,Cum fortis armatus custodit atrium,NL-Uu 406 (3 J 7)
466576,,Dum fortis armatus custodit atrium,P-Pm 1151
325484,,Dum fortis armatus custodit,PL-KIk 1
330098,,Dominus custodit te ab omni,PL-KIk 1
318038,,Dum fortis armatis custodit,PL-Kkar 2 (Rkp 14)
322050,,Dominus custodit te ab omni,PL-Kkar 4 (Rkp 20)
596221,,Custodit dominus*,PL-WRu I F 401
596970,,Dum fortis armatus custodit,PL-WRu I F 401
561847,,Dum fortis armatus custodit atrium,PL-WRu R 503
342990,,Dum fortis armatus custodit,SI-Lna 18 (olim 17)
345081,,Dominus custodit te ab omni,SI-Lna 18 (olim 17)
358978,,Dominus custodit te ab omni,SI-Lna 19 (olim 18)
261898,,Cum fortis armatus custodit,TR-Itks 42
266021,,Dominus custodit te ab omni,TR-Itks 42
665167,,Custodit dominus omnia ossa,US-CHNbcbl MS.1996.097
665984,,Dominus custodit te ab omni,US-CHNbcbl MS.1996.097
701549,,Dum fortis armatus custodit atrium,US-CON 09
221444,,Cum fortis armatus custodit,US-Cn 24
222838,,Custodit dominus omnia ossa,US-Cn 24
224480,,Dominus custodit te ab omni,US-Cn 24
712841,,Dominus custodit te ab omni ,"US-IOspca MSC0542, xMMS.Po1"
393787,,Dominus custodit te ab omni,US-NDu Lat. a. 12
690488,,Dominus custodit te ab omni ,US-NYcubl MS 1
1002682,,[Custodit] dominus*,US-RiCTpc D-07e7c
1002908,,Dominus custodit te ab omni,US-STu MSS CODEX 0734 FF
1002909,,Dominus custodit te ab omni,US-STu MSS CODEX 0734 FF
218145,,Cum fortis armatus custodit atrium,V-CVbav B.79
219970,,Dominus custodit te ab omni,V-CVbav B.79
225558,,Cum fortis armatus custodit,V-CVbav Vat.lat. 8737
226850,,Custodit dominus omnia ossa,V-CVbav Vat.lat. 8737
228303,,Dominus custodit te ab omni,V-CVbav Vat.lat. 8737
