id,title,incipit,siglum,folio,mode,service_id,service_name,feast_name,institution_siglum
334945,,Dum veneris judicare saeculum per ,D-KNd 215,208r,?,4153,M,Pro defunctis,D-KNd
435795,,Putasne mortuus homo rursum,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435796,,Ecce in pulvere sedeo et,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435797,,Manus tuae domine fecerunt me,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435798,,Dum veneris judicare noli me,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435799,,Commissa mea pavesco et,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435800,,Delictum meum cognitum tibi,D-Sl HB.I.55,186r,?,4153,M,Pro defunctis,D-Sl
435805,,Quomodo confitebor tibi,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435806,,Licet peccavi tamen te,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435807,,Domine qui plasmasti me,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435808,,Domine quidquid vitiorum,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435809,,Absolve domine animas,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435810,,Si quae illis,D-Sl HB.I.55,186v,?,4153,M,Pro defunctis,D-Sl
435813,,Deus aeterne in cujus,D-Sl HB.I.55,187r,?,4153,M,Pro defunctis,D-Sl
435814,,Qui in cruce positus latronem,D-Sl HB.I.55,187r,?,4153,M,Pro defunctis,D-Sl
436809,,Exsultent in domino sancti,E-SA 8,002r,?,4153,M,Pro defunctis,E-SA
398299,,Libera me domine de viis,F-Pn lat. 1090,279r,?,4153,M,Pro defunctis,F-Pn
398300,,Clamantes et dicentes advenisti redemptor ,F-Pn lat. 1090,279r,?,4153,M,Pro defunctis,F-Pn
398308,,-- --,F-Pn lat. 1090,279v,?,4153,M,Pro defunctis,F-Pn
408062,,Redemit dominus populum suum,F-Pn lat. 12601,259v,?,4153,M,De Prophetis,F-Pn
415889,,Domine abstraxisti ab inferis,F-Pn lat. 15182,425r,?,4153,M,Pro defunctis,F-Pn
419438,,Delicta*,F-Pn n.a.lat. 1535,129v,?,4153,M,Pro defunctis,F-Pn
451008,,Recordare quid acciderit,F-Pn lat. 1085,110r,?,4153,M,De Prophetis,F-Pn
451038,,-- --,F-Pn lat. 1085,110v,?,4153,M,De Prophetis,F-Pn
451052,,-in -- angustius,F-Pn lat. 1085,110v,?,4153,M,De Prophetis,F-Pn
451058,,Dum -- desideriorum,F-Pn lat. 1085,110v,?,4153,M,De Prophetis,F-Pn
451059,,Ex die qua posuisti domini,F-Pn lat. 1085,110v,?,4153,M,De Prophetis,F-Pn
386262,,Misit dominus angelum suum et,GB-Ob Laud Misc. 284,106r,?,4153,M,De Prophetis,GB-Ob
163730,,Pro fidei meritis*,I-AO 6,040v,?,4153,M,De Prophetis,I-AO
170271,,Sitivit anima mea ad deum,I-Ac 694,388v,?,4153,M,Pro defunctis,I-Ac
237938,,Libera me domine de viis,I-Far,262v,?,4153,M,Pro defunctis,I-Far
237939,,Clamantes et dicentes,I-Far,262v,?,4153,M,Pro defunctis,I-Far
431049,,Subvenite sancti dei,I-Rv C.5,307r,?,4153,M,Pro defunctis,I-Rv
327053,,Laudabilem virum adoremus in,PL-KIk 1,137v,?,4153,M,De Prophetis,PL-KIk
330135,,…opere non emendat si expectas,PL-KIk 1,282r,?,4153,M,Pro defunctis,PL-KIk
599322,,Si enim hoc egero mors,PL-WRu I F 401,272w,?,4153,M,De Prophetis,PL-WRu
358986,,Circumdederunt me gemitus,SI-Lna 19 (olim 18),228v,?,4153,M,Pro defunctis,SI-Lna
