id,title,incipit,institution_siglum
664773,,Domine refugium factus es nobis,A-Gu
664802,,Domine audivi auditum tuum et,A-Gu
664808,,Domine probasti me et cognovisti ,A-Gu
664810,,Domine clamavi ad te exaudi ,A-Gu
664821,,Domine exaudi* ,A-Gu
664824,,Domine exaudi orationem meam et,A-Gu
664839,,Domine si tu vis potes,A-Gu
664840,,Domine puer meus jacet paralyticus,A-Gu
664841,,Domine non sum dignus ut,A-Gu
664844,,Domine salva nos perimus impera,A-Gu
285001,,Domine si tu es jube,A-KN
285590,,Domine mi rex da mihi,A-KN
285854,,Domine dilexi decorem domus tuae,A-KN
285858,,Domine dilexi*,A-KN
286001,,Domine qui operati sunt justitiam ,A-KN
286010,,Domine spes sanctorum et turris,A-KN
286044,,Domine deus noster cujus gratia,A-KN
286058,,Domine si adhuc populo tuo ,A-KN
286059,,Domine si adhuc in eodem ,A-KN
286081,,Domine si adhuc populo tuo,A-KN
286111,,Domine deus noster*,A-KN
286114,,Domine si adhuc*,A-KN
286134,,Domine Jesu Christe seminator casti,A-KN
286141,,Domine Jesu Christe pastor bone ,A-KN
286438,,Domine quinque talenta tradidisti mihi,A-KN
286445,,Domine dominus noster quam admirabile,A-KN
286450,,Domine iste sanctus habitabit in ,A-KN
286652,,Domine qui custodis pactum et ,A-KN
286653,,Domine si conversus fuerit populus ,A-KN
286695,,Domine pater et deus vitae,A-KN
286696,,Domine pater et deus vitae,A-KN
286794,,Domine deus qui conteris bella,A-KN
286800,,Domine rex omnipotens in ditione,A-KN
286801,,Domine rex omnipotens in ditione,A-KN
286894,,Domine factum est ut imperasti,A-KN
286960,,Domine descende ut sanes filium,A-KN
286967,,Domine filia mea modo defuncta,A-KN
287043,,Domine deus virtutum*,A-KN
287294,,Domine deus virtutum converte nos,A-KN
287448,,Domine audivi auditum tuum et,A-KN
287554,,Domine libera animam meam a,A-KN
287621,,Domine suscipe me ut cum,A-KN
287719,,Domine audivi auditum tuum et,A-KN
287758,,Domine audivi*,A-KN
287770,,Domine audivi*,A-KN
287796,,Domine audivi auditum tuum et ,A-KN
287839,,Domine virtus et laetitia rectorum ,A-KN
288030,,Domine si tu vis potes,A-KN
288031,,Domine puer meus jacet paralyticus,A-KN
288032,,Domine non sum dignus ut,A-KN
288037,,Domine salva nos perimus impera,A-KN
288040,,Domine salva nos perimus impera,A-KN
288047,,Domine deus meus in te,A-KN
288050,,Domine ne in ira tua ,A-KN
288068,,Domine in virtute tua laetabitur,A-KN
288075,,Domine dilexi decorem domus tuae,A-KN
288077,,Domine deus Israel exaudi preces,A-KN
288147,,Domine ne in ira tua arguas,A-KN
288195,,Domine deus in adjutorium meum ,A-KN
288209,,Domine refugium factus es nobis,A-KN
288241,,Domine audivi auditum tuum et ,A-KN
288247,,Domine probasti me et cognovisti,A-KN
288249,,Domine clamavi ad te exaudi,A-KN
288261,,Domine exaudi*,A-KN
288264,,Domine exaudi orationem meam et,A-KN
288314,,Domine in caelo*,A-KN
288734,,Domine ne in ira*,A-KN
288748,,Domine audivi auditum tuum et,A-KN
288895,,Domine refugium tu factus*,A-KN
288938,,Domine non habeo hominem ut,A-KN
288943,,Domine bonum est nos hic,A-KN
288973,,Domine labia mea aperies et,A-KN
288979,,Domine refugium*,A-KN
289073,,Domine ut video propheta es,A-KN
289118,,Domine refugium*,A-KN
289143,,Domine si hic fuisses Lazarus,A-KN
289185,,Domine labia mea aperies et,A-KN
289315,,Domine vim patior responde,A-KN
289382,,Domine miserere nobis Christe,A-KN
289385,,Domine miserere*,A-KN
289444,,Domine abstraxisti ab inferis animam,A-KN
289532,,Domine apud te est fons vitae,A-KN
289828,,Domine si in tempore hoc,A-KN
290079,,Domine deus virtutum converte,A-KN
290234,,Domine audivi auditum tuum et,A-KN
290329,,Domine libera animam meam a,A-KN
290388,,Domine suscipe me ut cum,A-KN
290473,,Domine audivi auditum tuum et,A-KN
290524,,Domine audivi auditum tuum et,A-KN
290558,,Domine virtus et laetitia,A-KN
290733,,Domine si tu vis potes ,A-KN
290734,,Domine puer meus jacet,A-KN
290735,,Domine non sum dignus ut,A-KN
290740,,Domine salva nos perimus,A-KN
290743,,Domine salva nos perimus,A-KN
290750,,Domine deus meus in te,A-KN
290753,,Domine ne in ira tua arguas,A-KN
290771,,Domine in virtute tua,A-KN
290778,,Domine dilexi decorem domus,A-KN
290808,,Domine in caelo*,A-KN
290854,,Domine ne in ira tua arguas,A-KN
290893,,Domine deus in adjutorium,A-KN
290907,,Domine refugium tu factus es,A-KN
290936,,Domine audivi auditum tuum et,A-KN
290940,,Domine probasti me et,A-KN
290942,,Domine clamavi ad te exaudi,A-KN
290951,,Domine exaudi*,A-KN
290954,,Domine exaudi orationem meam,A-KN
291387,,Domine audivi auditum tuum et,A-KN
291577,,Domine non habeo hominem ut,A-KN
291607,,Domine labia mea aperies et,A-KN
291613,,Domine refugium*,A-KN
291678,,Domine refugium*,A-KN
291707,,Domine ut video propheta es,A-KN
291752,,Domine refugium*,A-KN
291774,,Domine si hic fuisses Lazarus,A-KN
291816,,Domine labia mea aperies et,A-KN
291940,,Domine vim patior responde,A-KN
292000,,Domine miserere,A-KN
292062,,Domine abstraxisti ab inferis,A-KN
292536,,Domine ostende nobis patrem et,A-KN
292539,,Domine ostende nobis patrem et,A-KN
292546,,Domine ostende nobis*,A-KN
292689,,Domine si in tempore hoc,A-KN
292719,,Domine si in tempore*,A-KN
292736,,Domine si in tempore*,A-KN
293028,,Domine si tu es jube,A-KN
293532,,Domine mi rex da mihi,A-KN
293814,,Domine dilexi decorem domus tuae,A-KN
293961,,Domine qui operati sunt justitiam,A-KN
293969,,Domine spes sanctorum et turris,A-KN
294000,,Domine deus noster cujus gratia,A-KN
294013,,Domine si adhuc populo tuo,A-KN
294014,,Domine si adhuc in eodem,A-KN
294036,,Domine si adhuc populo tuo,A-KN
294066,,Domine si adhuc*,A-KN
294084,,Domine Jesu Christe seminator casti,A-KN
294091,,Domine Jesu Christe pastor bone,A-KN
294344,,Domine quinque talenta tradidisti mihi,A-KN
294351,,Domine dominus noster quam admirabile,A-KN
294358,,Domine iste sanctus habitabit in ,A-KN
294445,,Domine qui custodis pactum et,A-KN
294446,,Domine si conversus fuerit populus,A-KN
294486,,Domine pater et deus vitae,A-KN
294487,,Domine pater et deus vitae,A-KN
294583,,Domine deus qui conteris bella ,A-KN
294589,,Domine rex omnipotens in ditione,A-KN
294590,,Domine rex omnipotens in ditione ,A-KN
294680,,Domine factum est ut imperasti,A-KN
294750,,Domine descende ut sanes filium,A-KN
294756,,Domine filia mea modo defuncta,A-KN
295048,,Domine deus virtutum converte nos,A-KN
295287,,Domine audivi auditum tuum et,A-KN
295392,,Domine libera animam meam a,A-KN
295459,,Domine suscipe me ut cum,A-KN
295556,,Domine audivi auditum tuum et,A-KN
295597,,Domine audivi*,A-KN
295609,,Domine audivi*,A-KN
295634,,Domine audivi,A-KN
295679,,Domine virtus et laetitia,A-KN
295881,,Domine si tu vis potes ,A-KN
295882,,Domine puer meus jacet,A-KN
295883,,Domine non sum dignus ut,A-KN
295888,,Domine salva nos perimus,A-KN
295891,,Domine salva nos perimus,A-KN
295898,,Domine deus meus in te,A-KN
295901,,Domine ne in ira tua ,A-KN
295919,,Domine in virtute tua,A-KN
295926,,Domine dilexi decorem domus tuae,A-KN
295928,,Domine deus Israhel exaudi preces,A-KN
295958,,Domine in caelo*,A-KN
296007,,Domine ne in ira tua,A-KN
296055,,Domine deus in adjutorium,A-KN
296069,,Domine refugium tu factus es,A-KN
296100,,Domine audivi auditum tuum et,A-KN
296106,,Domine probasti me et,A-KN
296108,,Domine clamavi ad te exaudi,A-KN
296120,,Domine exaudi*,A-KN
296123,,Domine exaudi orationem meam,A-KN
296557,,Domine audivi auditum tuum et ,A-KN
296737,,Domine non habeo hominem ut,A-KN
296742,,Domine bonum est nos hic ,A-KN
296771,,Domine labia mea aperies et,A-KN
296839,,Domine refugium*,A-KN
296868,,Domine ut video propheta es,A-KN
296913,,Domine refugium*,A-KN
296938,,Domine si hic fuisses Lazarus,A-KN
296978,,Domine labia mea aperies et,A-KN
297108,,Domine vim patior responde,A-KN
297168,,Domine miserere nobis Christe dominus,A-KN
297236,,Domine abstraxisti ab inferis,A-KN
297275,,Domine quando veneris,A-KN
297290,,Domine secundum actum meum,A-KN
297353,,Domine deus virtutum*,A-KN
297611,,Domine deus virtutum converte,A-KN
297779,,Domine audivi auditum tuum et,A-KN
297888,,Domine libera animam meam a,A-KN
297960,,Domine suscipe me ut cum,A-KN
298059,,Domine audivi auditum tuum et,A-KN
298097,,Domine audivi*,A-KN
298109,,Domine audivi*,A-KN
298134,,Domine audivi auditum*,A-KN
298188,,Domine virtus et laetitia,A-KN
298397,,Domine puer meus jacet,A-KN
298398,,Domine non sum dignus ut,A-KN
298403,,Domine salva nos perimus,A-KN
298406,,Domine salva nos perimus,A-KN
298414,,Domine deus meus in te,A-KN
298417,,Domine ne in ira tua arguas,A-KN
298435,,Domine in virtute tua,A-KN
298442,,Domine dilexi decorem domus,A-KN
298480,,Domine in caelo*,A-KN
298529,,Domine ne in ira tua arguas,A-KN
298579,,Domine deus in adjutorium,A-KN
298593,,Domine refugium tu factus es,A-KN
298626,,Domine audivi auditum tuum et,A-KN
298632,,Domine probasti me et,A-KN
298634,,Domine clamavi ad te exaudi,A-KN
298647,,Domine exaudi*,A-KN
298650,,Domine exaudi orationem meam,A-KN
299161,,Domine audivi auditum tuum et,A-KN
299313,,Domine refugium*,A-KN
299356,,Domine non habeo hominem ut,A-KN
299361,,Domine bonum est nos hic ,A-KN
299394,,Domine labia mea aperies et,A-KN
299400,,Domine refugium*,A-KN
299467,,Domine refugium*,A-KN
299497,,Domine ut video propheta es,A-KN
299542,,Domine refugium*,A-KN
299569,,Domine si hic fuisses Lazarus,A-KN
299610,,Domine labia mea aperies et,A-KN
299733,,Domine vim patior responde,A-KN
299798,,Domine miserere nobis Christe dominus,A-KN
299801,,Domine miserere*,A-KN
299804,,Domine miserere*,A-KN
299863,,Domine abstraxisti ab inferis,A-KN
299993,,Domine quando veneris,A-KN
300001,,Domine secundum actum meum noli,A-KN
300102,,Domine deus virtutum converte,A-KN
300404,,Domine deus virtutum converte,A-KN
300559,,Domine audivi auditum tuum et,A-KN
300665,,Domine libera animam meam a,A-KN
300732,,Domine suscipe me ut cum,A-KN
300832,,Domine audivi auditum tuum et,A-KN
300868,,Domine audivi*,A-KN
300880,,Domine audivi*,A-KN
300904,,Domine audivi*,A-KN
300949,,Domine virtus et laetitia,A-KN
301156,,Domine si tu vis potes ,A-KN
301157,,Domine puer meus jacet,A-KN
301158,,Domine non sum dignus ut,A-KN
301163,,Domine salva nos perimus,A-KN
301166,,Domine salva nos perimus,A-KN
301173,,Domine deus meus in te,A-KN
301176,,Domine ne in ira tua ,A-KN
301194,,Domine in virtute tua,A-KN
301201,,Domine dilexi decorem domus,A-KN
301203,,Domine deus Israel exaudi,A-KN
301235,,Domine in caelo*,A-KN
301283,,Domine ne in ira tua ,A-KN
301327,,Domine deus in adjutorium,A-KN
301341,,Domine refugium tu factus es,A-KN
301370,,Domine audivi auditum tuum et,A-KN
301375,,Domine probasti me et,A-KN
301377,,Domine clamavi ad te exaudi,A-KN
301388,,Domine exaudi*,A-KN
301391,,Domine exaudi orationem meam,A-KN
301823,,Domine audivi auditum tuum et,A-KN
301975,,Domine refugium*,A-KN
302018,,Domine non habeo hominem ut,A-KN
302023,,Domine bonum est nos hic ,A-KN
302056,,Domine labia mea aperies et,A-KN
302062,,Domine refugium*,A-KN
302128,,Domine refugium*,A-KN
302158,,Domine ut video propheta es,A-KN
302203,,Domine refugium*,A-KN
302230,,Domine si hic fuisses Lazarus,A-KN
302271,,Domine labia mea aperies et,A-KN
302395,,Domine vim patior responde,A-KN
302460,,Domine miserere nobis Christe dominus,A-KN
302463,,Domine miserere,A-KN
302466,,Domine miserere,A-KN
302525,,Domine abstraxisti ab inferis,A-KN
302661,,Domine quando veneris,A-KN
302669,,Domine secundum actum meum,A-KN
303175,,Domine ostende nobis patrem,A-KN
303178,,Domine ostende nobis patrem,A-KN
303185,,Domine ostende nobis*,A-KN
303333,,Domine si in tempore hoc,A-KN
303379,,Domine si in tempore*,A-KN
303672,,Domine si tu es jube me,A-KN
304263,,Domine mi rex da mihi ,A-KN
304544,,Domine dilexi decorem domus,A-KN
304707,,Domine qui operati sunt,A-KN
304715,,Domine spes sanctorum et,A-KN
304746,,Domine deus noster cujus,A-KN
304759,,Domine si adhuc populo tuo,A-KN
304760,,Domine si adhuc in eodem,A-KN
304782,,Domine si adhuc populo tuo,A-KN
304812,,Domine si adhuc*,A-KN
304830,,Domine Jesu Christe seminator,A-KN
304837,,Domine Jesu Christe pastor,A-KN
305139,,Domine quinque talenta,A-KN
305146,,Domine dominus noster quam,A-KN
305153,,Domine iste sanctus habitabit,A-KN
305239,,Domine qui custodis pactum et,A-KN
305240,,Domine si conversus fuerit,A-KN
305280,,Domine pater et deus vitae,A-KN
305281,,Domine pater et deus vitae,A-KN
305377,,Domine deus qui conteris,A-KN
305383,,Domine rex omnipotens in,A-KN
305384,,Domine rex omnipotens in,A-KN
305474,,Domine factum est ut,A-KN
305544,,Domine descende ut sanes,A-KN
305551,,Domine filia mea modo,A-KN
305839,,Domine deus virtutum converte,A-KR
305927,,Domine audivi auditum tuum et,A-KR
306057,,Domine dilexi decorem domus,A-KR
306061,,Domine deus Israel exaudi,A-KR
306083,,Domine exaudi orationem meam,A-KR
306094,,Domine salva nos perimus,A-KR
306271,,Domine n- --,A-KR
306280,,Domine labia mea aperies et,A-KR
306342,,Domine miserere*,A-KR
306346,,Domine miserere*,A-KR
306409,,Domine abstraxisti ab inferis,A-KR
306478,,Domine apud te est fons vitae,A-KR
306764,,Domine ostende nobis patrem,A-KR
306880,,Domine si in tempore hoc,A-KR
307318,,Domine quinque talenta,A-KR
307325,,Domine dominus noster quam,A-KR
307332,,Domine iste sanctus habitabit,A-KR
307367,,Domine qui custodis pactum et,A-KR
307368,,Domine si conversus fuerit,A-KR
335390,,Domine qui plasmasti me,A-LIb
335391,,Domine quidquid vitiorum,A-LIb
335475,,Domine deus virtutum*,A-LIb
335489,,Domine deus virtutum*,A-LIb
335654,,Domine deus virtutum converte,A-LIb
335801,,Domine audivi auditum tuum et,A-LIb
335811,,Domine audivi auditum tuum*,A-LIb
335925,,Domine libera animam meam a,A-LIb
335931,,Domine vultus tui domine,A-LIb
335936,,Domine virtus et laetitia,A-LIb
336013,,Domine suscipe me ut cum,A-LIb
336118,,Domine audivi auditum tuum et,A-LIb
336135,,Domine audivi*,A-LIb
336146,,Domine audivi*,A-LIb
336188,,Domine audivi*,A-LIb
336312,,Domine audivi*,A-LIb
336314,,Domine audivi*,A-LIb
336326,,Domine audivi*,A-LIb
336556,,Domine in virtute tua,A-LIb
336560,,Domine ne in ira tua ,A-LIb
336583,,Domine dilexi decorem domus,A-LIb
336591,,Domine deus Israel exaudi,A-LIb
336643,,Domine ne in ira tua ,A-LIb
336652,,Domine in caelo misericordia,A-LIb
336655,,Domine in caelo misericordia,A-LIb
336756,,Domine deus propitius esto,A-LIb
336759,,Domine deus virtutum,A-LIb
336766,,Domine refugium tu factus es,A-LIb
336769,,Domine refugium tu factus es,A-LIb
336775,,Domine probasti me et,A-LIb
336777,,Domine clamavi ad te et,A-LIb
336818,,Domine exaudi*,A-LIb
336819,,Domine exaudi orationem meam,A-LIb
336846,,Domine ne in ira*,A-LIb
336863,,Domine dilexi*,A-LIb
336869,,Domine deus*,A-LIb
336876,,Domine ne in ira tua*,A-LIb
336887,,Domine ne in ira*,A-LIb
336889,,Domine si tu vis potes ,A-LIb
336890,,Domine puer meus jacet,A-LIb
336891,,Domine non sum dignus ut,A-LIb
336895,,Domine ne in ira*,A-LIb
336897,,Domine salva nos perimus,A-LIb
336898,,Domine salva nos perimus,A-LIb
337093,,Domine refugium*,A-LIb
337110,,Domine non habeo hominem ut,A-LIb
337114,,Domine bonum est nos hic ,A-LIb
337149,,Domine labia mea aperies et,A-LIb
337158,,Domine dimitte eam quia,A-LIb
337239,,Domine ut video propheta es,A-LIb
337284,,Domine refugium*,A-LIb
337312,,Domine si hic fuisses Lazarus,A-LIb
337322,,Domine deus meus in te,A-LIb
337344,,Domine labia mea aperies et,A-LIb
337463,,Domine vim patior responde,A-LIb
337600,,Domine abstraxisti ab inferis,A-LIb
338034,,Domine si in tempore hoc,A-LIb
338228,,Domine exaudi orationem meam,A-LIb
338242,,Domine qui custodis pactum et,A-LIb
338243,,Domine si conversus fuerit,A-LIb
338277,,Domine pater et deus vitae,A-LIb
338278,,Domine pater et deus vitae,A-LIb
338369,,Domine deus qui conteris,A-LIb
338372,,Domine deus exercituum magne,A-LIb
338385,,Domine deus qui conteris*,A-LIb
338389,,Domine rex omnipotens in,A-LIb
338394,,Domine deus caeli et terrae,A-LIb
338399,,Domine rex omnipotens in,A-LIb
338487,,Domine factum est ut,A-LIb
338550,,Domine descende ut sanes,A-LIb
338612,,Domine Jesu Christe magister,A-LIb
338710,,Domine quinque*,A-LIb
338951,,Domine Jesu Christe verus,A-LIb
338958,,Domine rex aeterne qui es,A-LIb
339355,,Domine ostende nobis patrem,A-LIb
339363,,Domine ostende nobis patrem,A-LIb
339641,,Domine si tu es jube ,A-LIb
339873,,Domine quinque*,A-LIb
340001,,Domine virtus et laetitia,A-LIb
340136,,Domine quinque*,A-LIb
340216,,Domine dominus noster*,A-LIb
340234,,Domine libera*,A-LIb
340293,,Domine mi rex da mihi ,A-LIb
340326,,Domine quinque*,A-LIb
340567,,Domine quinque*,A-LIb
340653,,Domine Jesu Christe ne,A-LIb
340707,,Domine quinque*,A-LIb
340745,,Domine qui operati sunt,A-LIb
340754,,Domine spes sanctorum et,A-LIb
340756,,Domine deus virtutum beati,A-LIb
340806,,Domine quinque*,A-LIb
340834,,Domine si adhuc populo tuo,A-LIb
340835,,Domine si adhuc in eodem,A-LIb
340837,,Domine si adhuc populo tuo,A-LIb
340866,,Domine si adhuc populo tuo,A-LIb
340876,,Domine deus noster cujus,A-LIb
340919,,Domine Jesu Christe seminator,A-LIb
340929,,Domine Jesu Christe pastor,A-LIb
341225,,Domine libera animam meam a,A-LIb
341256,,Domine dominus noster quam,A-LIb
341259,,Domine quinque talenta,A-LIb
341267,,Domine iste sanctus habitabit,A-LIb
341319,,Domine quinque talenta,A-LIb
341342,,Domine iste sanctus*,A-LIb
341363,,Domine quinque*,A-LIb
341452,,Domine dilexi decorem domus*,A-LIb
437256,,Domine deus virtutum converte,A-SF
437389,,Domine deus virtutum converte,A-SF
437546,,Domine audivi auditum tuum et,A-SF
437646,,Domine libera animam meam a,A-SF
437660,,Domine suscipe me ut cum,A-SF
437792,,Domine audivi auditum tuum et,A-SF
437798,,Domine audivi*,A-SF
437950,,Domine ne in ira tua arguas,A-SF
437978,,Domine dilexi decorem domus,A-SF
438052,,Domine ne in ira tua arguas,A-SF
