type,siglum,id,incipit
chant,D-KNd,334931,Ne derelinquas me domine deus 
chant,D-KNd,334933,Sitivit anima mea ad deum
chant,D-KNd,334940,Absolve domine animas eorum ab
chant,D-KNd,334941,Si quae illis sint domine
chant,D-KNd,334942,Libera me domine de morte 
chant,D-KNd,334943,Dies illa dies irae calamitatis 
chant,D-KNd,334944,Tremens factus sum ego et 
chant,D-KNd,334945,Dum veneris judicare saeculum per 
chant,D-Sl,435795,Putasne mortuus homo rursum
chant,D-Sl,435796,Ecce in pulvere sedeo et
chant,D-Sl,435797,Manus tuae domine fecerunt me
chant,D-Sl,435798,Dum veneris judicare noli me
chant,D-Sl,435799,Commissa mea pavesco et
chant,D-Sl,435800,Delictum meum cognitum tibi
chant,D-Sl,435805,Quomodo confitebor tibi
chant,D-Sl,435806,Licet peccavi tamen te
chant,D-Sl,435807,Domine qui plasmasti me
chant,D-Sl,435808,Domine quidquid vitiorum
chant,D-Sl,435809,Absolve domine animas
chant,D-Sl,435810,Si quae illis
chant,D-Sl,435813,Deus aeterne in cujus
chant,D-Sl,435814,Qui in cruce positus latronem
chant,E-SA,436809,Exsultent in domino sancti
chant,F-Pn,398299,Libera me domine de viis
chant,F-Pn,398300,Clamantes et dicentes advenisti redemptor 
chant,F-Pn,398308,-- --
chant,F-Pn,408062,Redemit dominus populum suum
chant,F-Pn,415889,Domine abstraxisti ab inferis
chant,F-Pn,419438,Delicta*
chant,F-Pn,451008,Recordare quid acciderit
chant,F-Pn,451038,-- --
chant,F-Pn,451052,-in -- angustius
chant,F-Pn,451058,Dum -- desideriorum
chant,F-Pn,451059,Ex die qua posuisti domini
chant,GB-Ob,386262,Misit dominus angelum suum et
chant,I-AO,163730,Pro fidei meritis*
chant,I-Ac,170271,Sitivit anima mea ad deum
chant,I-Far,237938,Libera me domine de viis
chant,I-Far,237939,Clamantes et dicentes
chant,I-Rv,431049,Subvenite sancti dei
chant,PL-KIk,327053,Laudabilem virum adoremus in
chant,PL-KIk,330135,…opere non emendat si expectas
chant,PL-WRu,599322,Si enim hoc egero mors
chant,SI-Lna,358986,Circumdederunt me gemitus
