type,mode,id,incipit
chant,,274518,Beata Agnes in medio flammarum
chant,,274699,Beata Agatha ingressa carcerem expandit
chant,,392574,Beata es Maria quae
chant,,461924,Beata es Maria quae credidisti
chant,,463339,Beata Agnes in medio
chant,,469118,Beata Agnes*
chant,,469372,Beata Agathes*
chant,,654268,Beata es Maria quae credidisti 
chant,,654345,Beatam me dicent omnes generationes 
chant,,663008,Beata Agnes in medio flammarum 
chant,,663375,Beata Agatha ingressa carcerem expandit 
chant,,664324,Beatam me dicent omnes*
chant,,699224,Beata Agatha ingressa carcerem expandit
chant,,700773,Beata es*
chant,,714993,Beatam me dicent omnes generationes
