id,name,description
2318,Bonifacii,"Boniface, Archbishop and Martyr"
4269,Bononii,"Bononius, Abbot, Disciple of Romuald"
2365,Botuidi,"Botwid, Martyr"
4270,Botulphi,"Botulph, Abbot, founder of Ikanhoe monastery"
2664,Briccii,"Brice, Bishop of Tours"
4271,"Briccii,8",In week after Brice
2189,Brigidae,"Brigid (Bride), Abbess"
4536,Brunonis Abbatis,"Bruno, Abbot, Founder of the Carthusian Order"
2660,Burchardi,"Burchard (Burkhard), Bishop and Confessor"
2665,Caeciliae,"Cecilia (Cecily), Virgin Martyr"
1497,"Caeciliae,8",In week after Cecilia
4537,Caesarii Arelatensis,"Caesarius, Archbishop of Arles"
2666,"Caesarii, Juliani","Caesarius and Julian, Martyrs"
2588,Callisti,"Callistus (Calixtus) I, Pope"
4551,Camilli de Lellis,"Camillus de Lellis, Confessor, Founder of the Canons Regular of a Good Death (Infirmis Ministrantium)"
4272,Candidi,"Candidus, Martyr, at Innichen, diocese of Brixen, Tyrol"
4556,Canici,"Cainnech of Aghaboe (Canice, Cannicus, Kenneth, Kenny), Abbot"
2263,Cantiorum,"Cantius, Cantianus and Cantianilla, Martyrs"
4273,"Caprasii, Abb.","Caprasius, Abbot of Lerins"
4274,"Caprasii, Mart.","Caprasius, Martyr, of Agen"
2264,Carauni,"Caraunus, Deacon and Martyr"
4275,Castuli,"Castulus, Martyr"
2667,Catharinae,"Catherine of Alexandria, Martyr"
4276,Catharinae Bononiensis,"Catharine of Bologna, Poor Clare and mystical writer (canonized 1712)"
4588,Celsi Treverensis,"Celsus, Confessor, reputed 5th Bishop of Trier (Treves)"
4589,"Celsi Treverensis, invent.",Finding of Celsus of Trier's relics (in 980)
2123,"Celsi, Juliani","Celsus and Julian, Martyrs"
2521,Chlodoaldi,"Chlodoaldus (Cloud), Frankish prince"
4526,Chlotildis Regina,"Chlothildis (Clotilda, Clotilde), Queen of France"
2366,Christinae,"Christina, Virgin Martyr"
2367,Christophori,"Christopher, Martyr"
2668,"Chrysanthi, Dariae","Chrysanthus, Daria, Maurus, Martyrs"
2669,Chrysogoni,"Chrysogonus, Martyr"
2445,Clarae,"Clare of Assisi, Foundress"
4322,"Clarae, inventio",The finding of Clare's relics
4490,"Claudii commentariensis, Symphoriani, Nicostrati et sociorum","Claudius, his sons Felicissimus and Symphorianus, his brother Victorinus, and Castor the brother of the jailer Nicostratus, Roman Martyrs"
2670,Clementis,"Clement I, Pope and Martyr"
4463,Clementis Metensis,"Clement, first Bishop of Metz"
1498,"Clementis,8",In week after Clement
2522,Cleophae,"Cleophas, father of James the Less"
2589,Colomanni,"Coloman, Martyr"
2725,Columbae,"Columba of Sens, Virgin Martyr"
2671,Columbani,"Columbanus (Columban), Abbot"
1501,Comm. Apostolorum TP,"Common of Apostles, Eastertide"
1502,Comm. Apostolorum TQ,"Common of Apostles, Lent"
1499,Comm. Apostolorum post Septuagesima,"Common of Apostles, after Septuagesima"
1488,Comm. Apostolorum sive Martyrum TP,"Common of Apostles or Martyrs, Eastertide"
1503,"Comm. Apostolorum,8","Common of Apostles, in week of"
2093,Comm. Evangelistarum TP,"Common of Evangelists, Eastertide"
1509,Comm. plurimorum Confessorum TP,"Common of several Confessors, Eastertide"
1534,Comm. plurimorum Confessorum non Pontificum TP,"Common of several Confessors (not Popes), Eastertide"
1514,Comm. plurimorum Martyrum TP,"Common of several Martyrs, Eastertide"
1515,"Comm. plurimorum Martyrum,8","Common of several Martyrs, in week of"
1532,Comm. plurimorum Virginum TP,"Common of several Virgins, Eastertide"
1541,Comm. unius Confessoris Pontificis TP,"Common of one Confessor (Pope), Eastertide"
1525,Comm. unius Confessoris TP,"Common of one Confessor, Eastertide"
1533,Comm. unius Confessoris et Doctoris non Pontificis,"Common of one Confessor (Doctor, not Pope)"
1540,"Comm. unius Confessoris et Episcopi,8","Common of one Confessor (Bishop), in week of"
1536,Comm. unius Confessoris non Pontificis TP,"Common of one Confessor (not Pope), Eastertide"
1527,Comm. unius Martyris TP,"Common of one Martyr, Eastertide"
4471,Comm. unius Martyris non Pontificis TP,"Common of one Martyr (not Pope), Eastertide"
1529,Comm. unius Virginis TP,"Common of one Virgin, Eastertide"
4282,Comm. unius electae,"Common of those chosen (not Virgins, not Martyrs)"
1549,Compassio Mariae TP,"The Sorrows of Mary, celebrated Friday after third Sun. after Easter"
2672,Conradi,"Conrad, Bishop of Constance"
2115,Constantii,"Constantius, Bishop of Perugia"
2319,"Constantini, Peregr.","Constantine and Peregrine, Bishops"
2524,Corbiniani,"Corbinianus, Abbot and Bishop"
2525,"Cornelii, Cypriani","Cornelius and Cyprian, Martyrs"
2265,Coronae,"Corona, Martyr"
1552,"Corporis Christi,8",In week after Corpus Christi
2526,"Cosmae, Damiani","Cosmas and Damian, Martyrs"
2591,"Crispini,Crispiniani","Crispin and Crispinian, Martyrs"
2368,Cucuphatis,"Cucuphas, Martyr"
2673,Cuniberti,"Cunibertus (Quinibert), Bishop of Cologne"
2215,Cuthberti,"Cuthbert, Bishop of Lindisfarne"
2446,Cuthburgae,"Cuthberga, First Abbess of Wimborne"
2125,"Cyri, Joannis","Cyrus and John, Martyrs"
2447,Cyriaci et Soc.,"Cyriacus and Companions, Martyrs"
2320,Cyrici,"Cyricus and Julitta, Martyrs"
1553,"Cyrici,8",In week after Cyricus
4185,Cyrilli Alexandrini,"Cyril (Cyrillus), Confessor, Patriarch of Alexandria and Doctor of the Church"
2727,Damasi,"Damasus, Pope"
2216,David,"David of Wales, Monk and Bishop"
1554,De Angelis,"Memorial chants for Angels, including e.g. Missa Votiva de Angelis. Feria III."
1555,De Angelis TP,"Memorial chants for Angels, Eastertide"
1557,De BMV Adv.,"Votive Office for Mary, Advent"
1558,De BMV Nat.,"Votive Office for Mary, Christmas"
1563,De BMV TP,"Votive Office for Mary, Eastertide"
1559,De BMV post Ascen.,"Votive Office for Mary, after Ascension"
1560,De BMV post Epiph.,"Votive Office for Mary, after Epiphany"
1561,De BMV post Pent.,"Votive Office for Mary, after Pentecost"
1562,De BMV post Purif.,"Votive Office for Mary, after Purification"
1564,De Esdras,"Summer Histories, from Esdras"
1565,De Esther,"Summer Histories, from Esther"
1566,De Job,"Summer Histories, from Job"
1567,De Judith,"Summer Histories, from Judith"
1568,De Machabaeis,"Summer Histories, from Maccabees"
4186,De Patriarchis,"Memorial chants for Patriarchs (Abraham, Isaac, Jacob)"
1570,De Plur. Sanctis TP,"Common of several Saints, Eastertide"
1571,De Prophetis,"Summer Histories, from the Prophets"
1572,De Regum,"Summer Histories, from Kings"
4287,De Sancta Cruce,"Votive Mass/Office for the Holy Cross, including e.g. Missa Votiva de Sancta Cruce. Fer. VI."
1575,De Sanctis TP,"Common of Saints, Eastertide"
1576,De Sapientia,"Summer Histories, from Wisdom"
4288,De Spiritu Sancto,"Votive Mass/Office for the Holy Spirit, including, e.g. Missa Votiva de Spiritu Sancto. Feria V."
1577,De Tobia,"Summer Histories, from Tobias"
1579,"De Trinitate,8",In the week after Trinity Sunday
4506,De allatione reliquiarum in ecclesia Pragensis,"Showing of relics in St Vitus's Cathedral, Prague"
4508,De secunda allatione reliquiarum in ecclesia Pragensis,"A second showing of relics in St Vitus's Cathedral, Prague"
4586,De victoriae christianorum apud Salado,"Commemoration of the victory of the Christians at the Battle of Rio Salado (also known as the Battle of Tarifa), 30 October 1340"
2675,Dedic. Bas. S. Petri,"Dedication of Saint Peter's, Rome"
2593,"Dedic. S.Salv., Mar.","Dedication of the Church of the Holy Saviour, St. Martial (Limoges)"
2594,Demetrii,"Demetrius, Martyr"
2527,Depositio Emerici,"Commemoration of the Burial of Emeric, Confessor, Son of King Stephen of Hungary"
4497,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres"
2595,Dionysii,"Denis (Dionysius), Bishop of Paris"
1580,"Dionysii,8","In week after Denis, Bishop of Paris"
4188,Disibodi,"Disibod, Bishop and Patron of Disibodenberg"
1583,"Dom. 1 p. Epiph.,8",In the week following the 1st Sunday after Epiphany
2103,Dom. 1 p. Epiphaniam,"1st Sunday after Epiphany (Sunday within the octave of Epiphany,  'Dom. Infra Oct. Epiph.')"
1587,"Dom. 10 p. Pent.,8",In 11th week after Pentecost
1589,"Dom. 11 p. Pent.,8",In 12th week after Pentecost
1591,"Dom. 12 p. Pent.,8",In 13th week after Pentecost
1593,"Dom. 13 p. Pent.,8",In 14th week after Pentecost
1595,"Dom. 14 p. Pent.,8",In 15th week after Pentecost
1597,"Dom. 15 p. Pent.,8",In 16th week after Pentecost
1599,"Dom. 16 p. Pent.,8",In 17th week after Pentecost
1601,"Dom. 17 p. Pent.,8",In 18th week after Pentecost
1603,"Dom. 18 p. Pent.,8",In 19th week after Pentecost
1605,"Dom. 19 p. Pent.,8",In 20th week after Pentecost
1608,"Dom. 2 p. Epiph.,8",In the week following the 2nd Sunday after Epiphany
1610,"Dom. 2 p. Pascha,8",In 3rd week after Easter
1612,"Dom. 2 p. Pent.,8",In 3rd week after Pentecost
1615,"Dom. 20 p. Pent.,8",In 21st week after Pentecost
1617,"Dom. 21 p. Pent.,8",In 22nd week after Pentecost
1619,"Dom. 22 p. Pent.,8",In 23rd week after Pentecost
1621,"Dom. 23 p. Pent.,8",In 24th week after Pentecost
1623,"Dom. 24 p. Pent.,8",In 25th week after Pentecost
1631,"Dom. 3 p. Pascha,8",In 4th week after Easter
1633,"Dom. 3 p. Pent.,8",In 4th week after Pentecost
1638,"Dom. 4 p. Pascha,8",In 5th week after Easter
1640,"Dom. 4 p. Pent.,8",In 5th week after Pentecost
1644,"Dom. 5 p. Pascha,8",In 6th week after Easter
1646,"Dom. 5 p. Pent.,8",In 6th week after Pentecost
1650,"Dom. 6 p. Pent.,8",In 7th week after Pentecost
1652,"Dom. 7 p. Pent.,8",In 8th week after Pentecost
1654,"Dom. 8 p. Pent.,8",In 9th week after Pentecost
1656,"Dom. 9 p. Pent.,8",In 10th week after Pentecost
1683,"Dom. Pentecostes,8",In week after Pentecost
1687,"Dom. Resurrect.,8",In week after Easter Sunday
1684,Dom. per annum,"Sundays, Ferial Office"
1701,Dominica TP,"Sundays, Eastertide"
4474,Dominici,"Dominic, founder of the Order of Friars Preachers"
4618,Dominici Silensis,"Dominic of Silos, Abbot"
4475,"Dominici,8",In week after Dominic
2457,Donati,"Donatus, Bishop of Arezzo"
2596,Donatiani,"Donatianus, Bishop of Reims"
2191,Dorotheae,"Dorothy, Virgin Martyr"
2266,Dunstani,"Dunstan, Archbishop of Canterbury"
2528,Duodecim Fratrum,"Twelve Brothers, Martyrs"
2321,Eadburgae,"Eadburga, Abbess at Winchester"
4293,Edithae,"Edith (Eadgith) of Wilton, Virgin, Daughter of King Edgar"
4294,"Edithae,8",In week after Edith
2677,Edmundi,"Edmund, King and Martyr"
4493,Edmundi Archiepiscopi,"Edmund of Abingdon (Edmund Rich), Archbishop of Canterbury"
2648,"Edwardi, Conf.","Edward III, Confessor, King of England (son of Ethelred the Unready)"
2132,"Edwardi, Conf., de morte","Death of Edward III, Confessor, King of England (son of Ethelred the Unready)"
4295,"Edwardi, Mart.","Edward ""the Martyr"" (son of King Edgar the Peaceful)"
2348,"Edwardi, Mart., transl.",Moving of Edward the Martyr's relics (son of King Edgar the Peaceful)
2232,Egberti,"Egbert of Iona, Bishop"
2733,Egwini,"Egwin, Bishop of Worcester"
1702,"Egwini,8",In week after Egwin
1703,"Elev. Elis. Hung.,8",In week after Elizabeth's Elevation
2371,Eliae,"Elijah, Prophet"
1704,"Eliae,8",In week after Elijah
2734,Eligii,"Eligius (Eloi), Bishop of Noyon"
4595,Elisabeth Hung.,"Elizabeth of Hungary, and of Thuringia, Widow"
1705,"Elisabeth Hung.,8",In week after Elizabeth of Hungary
2854,Elisabeth Reginae Portugalliae,"Elisabeth (Isabel), Widow, Queen of Portugal"
2322,Elisei,"Elisha, Prophet"
1706,"Elisei,8",In week after Elisha
2134,Emerentianae,"Emerentiana, Virgin Martyr"
4296,Emerici,"Emeric, Confessor, Son of King Stephen of Hungary"
2531,Emmerami,"Emmeramus, Bishop"
1707,"Epiphania,8",In week after Epiphany
2323,Erasmi,"Erasmus, Bishop and Martyr"
2268,Erici,"Eric IX of Sweden, King and Martyr"
2324,Eskilli,"Eskill, Bishop of Northanscog and Martyr"
2458,Ethelwoldi,"Ethelwold, Bishop of Wincester"
4189,Eucharii,"Eucharius, First Bishop of Trier"
2679,Eugenii,"Eugene, Martyr, Disciple of Denis"
4557,Eulaliae Emeritensis,"Eulalia of Mérida, Virgin Martyr"
2532,Euphemiae,"Euphemia, Virgin and Martyr"
2459,"Eupli, Leucii","Euplus, Deacon Martyr; and Leucius, Bishop Confessor"
4297,Eusebii Episcopi,"Eusebius, Bishop of Vercelli"
4476,Eustachii,"Eustachius (Eustasius, Eustace), Martyr"
2680,Eustachii,"Eustachius (Eustace), Martyr"
2735,Eustratii et Soc.,"Eustratius et al, Martyrs"
2269,Euticii,"Euticius (Eutice, Euthycius), Martyr"
2233,Eutropii,"Eutropius, Bishop of Saintes, Martyr"
2533,Evurtii,"Evurtius (Euvert), Bishop"
1708,"Exalt. Crucis,8",In week after Holy Cross Day
2137,"Fabiani, Sebastiani","Pope Fabian and Sebastian, Martyrs"
2192,"Faustini, Jovitae","Faustinus and Jovita, Martyrs"
2372,Felicis,"Felix, Bishop and Martyr (falsely called Pope Felix II)"
2138,Felicis Nolani,"Felix of Nola, Confessor"
4190,Felicis Valesius,"Felix of Valois, Confessor, Founder of the Trinitarians"
2461,"Felicis, Adaucti","Felix and Adauctus, Martyrs"
4191,"Felicis, Pont.","Felix I, Martyr and Pope"
2535,"Felicis, Regulae","Felix and Regula, Martyrs"
2462,"Felicissimi, Agapiti","Felicissimus and Agapetus, Marytrs"
2681,Felicitatis,"Felicitatis, Matron and Martyr"
1712,Fer. 2 Hebd. 1 Adv.,"Monday, 1st week, Advent"
1713,Fer. 2 Hebd. 1 Quad.,"Monday, 1st week, Lent"
1714,Fer. 2 Hebd. 2 Adv.,"Monday, 2nd week, Advent"
1716,Fer. 2 Hebd. 2 Quad.,"Monday, 2nd week, Lent"
1715,Fer. 2 Hebd. 2 p.Ep.,"Monday, 2nd week after Epiphany"
1717,Fer. 2 Hebd. 3 Adv.,"Monday, 3rd week, Advent"
1719,Fer. 2 Hebd. 3 Pasc.,"Monday, 3rd week after Easter"
1720,Fer. 2 Hebd. 3 Quad.,"Monday, 3rd week, Lent"
1718,Fer. 2 Hebd. 3 p.Ep.,"Monday, 3rd week after Epiphany"
1721,Fer. 2 Hebd. 4 Adv.,"Monday, 4th week, Advent"
1723,Fer. 2 Hebd. 4 Pasc.,"Monday, 4th week after Easter"
1724,Fer. 2 Hebd. 4 Quad.,"Monday, 4th week, Lent"
1722,Fer. 2 Hebd. 4 p.Ep.,"Monday, 4th week after Epiphany"
1726,Fer. 2 Hebd. 5 Pasc.,"Monday, 5th week after Easter"
1725,Fer. 2 Hebd. 5 p.Ep.,"Monday, 5th week after Epiphany"
1728,Fer. 2 Maj. Hebd.,"Monday, Holy Week"
1711,Fer. 2 de Passione,"Monday, 5th week, Lent"
1729,Fer. 2 p. Ascensio.,"Monday, week after Ascension"
1730,Fer. 2 p. Epiphaniam,"Monday, 1st week after Epiphany"
1731,Fer. 2 p. Nat. Dom.,"Monday, week after Christmas"
1732,Fer. 2 p. Oct.Pasch.,"Monday, 2nd week after Easter"
1859,Fer. 2 per annum,"Mondays, Ferial Office"
1743,Fer. 3 Hebd. 1 Adv.,"Tuesday, 1st week, Advent"
1744,Fer. 3 Hebd. 1 Quad.,"Tuesday, 1st week, Lent"
1745,Fer. 3 Hebd. 2 Adv.,"Tuesday, 2nd week, Advent"
1747,Fer. 3 Hebd. 2 Quad.,"Tuesday, 2nd week, Lent"
1746,Fer. 3 Hebd. 2 p.Ep.,"Tuesday, 2nd week after Epiphany"
1748,Fer. 3 Hebd. 3 Adv.,"Tuesday, 3rd week, Advent"
1750,Fer. 3 Hebd. 3 Pasc.,"Tuesday, 3rd week after Easter"
1751,Fer. 3 Hebd. 3 Quad.,"Tuesday, 3rd week, Lent"
1749,Fer. 3 Hebd. 3 p.Ep.,"Tuesday, 3rd week after Epiphany"
1752,Fer. 3 Hebd. 4 Adv.,"Tuesday, 4th week, Advent"
1753,Fer. 3 Hebd. 4 Pasc.,"Tuesday, 4th week after Easter"
1754,Fer. 3 Hebd. 4 Quad.,"Tuesday, 4th week, Lent"
4299,Fer. 3 Hebd. 4 p.Ep.,"Tuesday, 4th week after Epiphany"
1755,Fer. 3 Hebd. 5 Pasc.,"Tuesday, 5th week after Easter"
4300,Fer. 3 Hebd. 5 p.Ep.,"Tuesday, 5th week after Epiphany"
1757,Fer. 3 Maj. Hebd.,"Tuesday, Holy Week"
1742,Fer. 3 de Passione,"Tuesday, 5th week, Lent"
1758,Fer. 3 p. Ascensio.,"Tuesday, week after Ascension"
1759,Fer. 3 p. Epiphaniam,"Tuesday, 1st week after Epiphany"
1760,Fer. 3 p. Nat. Dom.,"Tuesday, week after Christmas"
1761,Fer. 3 p. Oct.Pasch.,"Tuesday, 2nd week after Easter"
1863,Fer. 3 per annum,"Tuesdays, Ferial Office"
1773,Fer. 4 Hebd. 1 Adv.,"Wednesday, 1st week, Advent"
1774,Fer. 4 Hebd. 1 Quad.,"Wednesday, 1st week, Lent"
1775,Fer. 4 Hebd. 2 Adv.,"Wednesday, 2nd week, Advent"
1777,Fer. 4 Hebd. 2 Quad.,"Wednesday, 2nd week, Lent"
1776,Fer. 4 Hebd. 2 p.Ep.,"Wednesday, 2nd week after Epiphany"
1778,Fer. 4 Hebd. 3 Adv.,"Wednesday, 3rd week, Advent"
1780,Fer. 4 Hebd. 3 Pasc.,"Wednesday, 3rd week after Easter"
1781,Fer. 4 Hebd. 3 Quad.,"Wednesday, 3rd week, Lent"
1779,Fer. 4 Hebd. 3 p.Ep.,"Wednesday, 3rd week after Epiphany"
1782,Fer. 4 Hebd. 4 Adv.,"Wednesday, 4th week, Advent"
1783,Fer. 4 Hebd. 4 Pasc.,"Wednesday, 4th week after Easter"
1784,Fer. 4 Hebd. 4 Quad.,"Wednesday, 4th week, Lent"
4301,Fer. 4 Hebd. 4 p.Ep.,"Wednesday, 4th week after Epiphany"
1785,Fer. 4 Hebd. 5 Pasc.,"Wednesday, 5th week after Easter"
4302,Fer. 4 Hebd. 5 p.Ep.,"Wednesday, 5th week after Epiphany"
1788,Fer. 4 Maj. Hebd.,"Wednesday, Holy Week"
1795,Fer. 4 Q.T. Adventus,"Ember Day, Advent (Wednesday)"
4304,Fer. 4 Q.T. Pent.,"Ember Day, Pentecost (Wednesday)"
1796,Fer. 4 Q.T. Quad.,"Ember Day, Lent (Wednesday)"
1797,Fer. 4 Q.T. Sept.,"Ember Day, September (Wednesday)"
1772,Fer. 4 de Passione,"Wednesday, 5th week, Lent"
1789,Fer. 4 p. Ascensio.,"Wednesday, week after Ascension"
1790,Fer. 4 p. Epiphaniam,"Wednesday, 1st week after Epiphany"
1791,Fer. 4 p. Nat. Dom.,"Wednesday, week after Christmas"
1792,Fer. 4 p. Oct.Pasch.,"Wednesday, 2nd week after Easter"
1866,Fer. 4 per annum,"Wednesdays, Ferial Office"
1803,Fer. 5 Hebd. 1 Adv.,"Thursday, 1st week, Advent"
1804,Fer. 5 Hebd. 1 Quad.,"Thursday, 1st week, Lent"
1805,Fer. 5 Hebd. 2 Adv.,"Thursday, 2nd week, Advent"
1807,Fer. 5 Hebd. 2 Quad.,"Thursday, 2nd week, Lent"
1806,Fer. 5 Hebd. 2 p.Ep.,"Thursday, 2nd week after Epiphany"
1808,Fer. 5 Hebd. 3 Adv.,"Thursday, 3rd week, Advent"
1809,Fer. 5 Hebd. 3 Pasc.,"Thursday, 3rd week after Easter"
1810,Fer. 5 Hebd. 3 Pent.,"Thursday, 3rd week after Pentecost"
1811,Fer. 5 Hebd. 3 Quad.,"Thursday, 3rd week, Lent"
4305,Fer. 5 Hebd. 3 p.Ep.,"Thursday, 3rd week after Epiphany"
1812,Fer. 5 Hebd. 4 Adv.,"Thursday, 4th week, Advent"
1813,Fer. 5 Hebd. 4 Pasc.,"Thursday, 4th week after Easter"
1814,Fer. 5 Hebd. 4 Quad.,"Thursday, 4th week, Lent"
4306,Fer. 5 Hebd. 4 p.Ep.,"Thursday, 4th week after Epiphany"
1815,Fer. 5 Hebd. 5 Pasc.,"Thursday, 5th week after Easter"
4307,Fer. 5 Hebd. 5 p.Ep.,"Thursday, 5th week after Epiphany"
1823,Fer. 5 Q.T. Adventus,"Ember Day, Advent (Thursday)"
4548,Fer. 5 Q.T. Pent.,"Ember Day, Pentecost (Thursday)"
1802,Fer. 5 de Passione,"Thursday, 5th week, Lent"
1817,Fer. 5 p. Epiphaniam,"Thursday, 1st week after Epiphany"
1818,Fer. 5 p. Nat. Dom.,"Thursday, week after Christmas"
1819,Fer. 5 p. Oct.Pasch.,"Thursday, 2nd week after Easter"
