id,feast_code,name,description
2001,08037000,Sabbato 3 p. Pascha,"Saturday, 3rd week after Easter"
1896,08038000,Hebd. 3 p. Pascha,3rd week after Easter
1630,08041000,Dom. 3 p. Pascha,3rd Sunday after Easter
1631,08041008,"Dom. 3 p. Pascha,8",In 4th week after Easter
1723,08042000,Fer. 2 Hebd. 4 Pasc.,"Monday, 4th week after Easter"
2238,08042500,In Letaniis maj.,The greater litany; The Major Rogation
1753,08043000,Fer. 3 Hebd. 4 Pasc.,"Tuesday, 4th week after Easter"
1783,08044000,Fer. 4 Hebd. 4 Pasc.,"Wednesday, 4th week after Easter"
1813,08045000,Fer. 5 Hebd. 4 Pasc.,"Thursday, 4th week after Easter"
1838,08046000,Fer. 6 Hebd. 4 Pasc.,"Friday, 4th week after Easter"
1549,08046010,Compassio Mariae TP,"The Sorrows of Mary, celebrated Friday after third Sun. after Easter"
2002,08047000,Sabbato 4 p. Pascha,"Saturday, 4th week after Easter"
1899,08048000,Hebd. 4 p. Pascha,4th week after Easter
1637,08051000,Dom. 4 p. Pascha,4th Sunday after Easter
1638,08051008,"Dom. 4 p. Pascha,8",In 5th week after Easter
1726,08052000,Fer. 2 Hebd. 5 Pasc.,"Monday, 5th week after Easter"
1755,08053000,Fer. 3 Hebd. 5 Pasc.,"Tuesday, 5th week after Easter"
1785,08054000,Fer. 4 Hebd. 5 Pasc.,"Wednesday, 5th week after Easter"
1815,08055000,Fer. 5 Hebd. 5 Pasc.,"Thursday, 5th week after Easter"
1840,08056000,Fer. 6 Hebd. 5 Pasc.,"Friday, 5th week after Easter"
2003,08057000,Sabbato 5 p. Pascha,"Saturday, 6th week after Easter"
1901,08058000,Hebd. 5 p. Pascha,5th week after Easter
1643,08061000,Dom. 5 p. Pascha,5th Sunday after Easter
1644,08061008,"Dom. 5 p. Pascha,8",In 6th week after Easter
1727,08062000,Fer. 2 in Letaniis,Rogation Monday
1756,08063000,Fer. 3 in Letaniis,Rogation Tuesday
1786,08064000,Fer. 4 in Letaniis,Rogation Wednesday
4206,08064001,"Ascensionis Domini, in vigilia",Eve of Ascension
1489,08065000,Ascensio Domini,Ascension Thursday
1490,08065008,"Ascensio Domini,8",In week after Ascension
1842,08066000,Fer. 6 p. Ascensio.,Friday after Ascension
1991,08067000,Sabb. p. Ascensionem,Saturday after Ascension
1902,08068000,Hebd. 6 p. Pascha,6th week after Easter
1926,08068010,In Letaniis,"General, Rogation Days"
1665,08071000,Dom. p. Ascensionem,Sunday after Ascension
1648,08071010,Dom. 6 p. Pascha,6th Sunday after Easter
1729,08072000,Fer. 2 p. Ascensio.,"Monday, week after Ascension"
1758,08073000,Fer. 3 p. Ascensio.,"Tuesday, week after Ascension"
1789,08074000,Fer. 4 p. Ascensio.,"Wednesday, week after Ascension"
1958,08075000,Oct. Ascens. Domini,Octave of Ascension
1845,08076000,Fer. 6 p. Oct. Asc.,"Friday, after the Octave of Ascension"
2080,08077000,Vigilia Pentecostes,Eve of Pentecost
1994,08077100,Sabb. p. Oct. Asc.,"Saturday, after the Octave of Ascension"
1682,08081000,Dom. Pentecostes,"Pentecost Sunday (also ""Whitsunday"")"
1683,08081008,"Dom. Pentecostes,8",In week after Pentecost
1734,08082000,Fer. 2 Pent.,Pentecost Monday
1763,08083000,Fer. 3 Pent.,Pentecost Tuesday
1794,08084000,Fer. 4 Pent.,Pentecost Wednesday
4304,08084009,Fer. 4 Q.T. Pent.,"Ember Day, Pentecost (Wednesday)"
1821,08085000,Fer. 5 Pent.,Pentecost Thursday
4548,08085009,Fer. 5 Q.T. Pent.,"Ember Day, Pentecost (Thursday)"
1848,08086000,Fer. 6 Pent.,Pentecost Friday
4312,08086009,Fer. 6 Q.T. Pent.,"Ember Day, Pentecost (Friday)"
2010,08087000,Sabbato Pent.,Pentecost Saturday
4398,08087009,Sabbato Q.T. Pent.,"Ember Day, Pentecost (Saturday)"
1965,08091000,Octava Pentecostes,Octave of Pentecost
1911,09008000,Hebd. p. Pent.,Weekdays after Pentecost
1579,09011008,"De Trinitate,8",In the week after Trinity Sunday
1552,09015008,"Corporis Christi,8",In week after Corpus Christi
1612,09021008,"Dom. 2 p. Pent.,8",In 3rd week after Pentecost
1633,09031008,"Dom. 3 p. Pent.,8",In 4th week after Pentecost
1640,09041008,"Dom. 4 p. Pent.,8",In 5th week after Pentecost
1646,09051008,"Dom. 5 p. Pent.,8",In 6th week after Pentecost
1650,09061008,"Dom. 6 p. Pent.,8",In 7th week after Pentecost
1652,09071008,"Dom. 7 p. Pent.,8",In 8th week after Pentecost
1653,09081000,Dom. 8 p. Pent.,8th Sunday after Pentecost
1654,09081008,"Dom. 8 p. Pent.,8",In 9th week after Pentecost
1656,09091008,"Dom. 9 p. Pent.,8",In 10th week after Pentecost
1587,09101008,"Dom. 10 p. Pent.,8",In 11th week after Pentecost
1589,09111008,"Dom. 11 p. Pent.,8",In 12th week after Pentecost
1591,09121008,"Dom. 12 p. Pent.,8",In 13th week after Pentecost
1593,09131008,"Dom. 13 p. Pent.,8",In 14th week after Pentecost
1595,09141008,"Dom. 14 p. Pent.,8",In 15th week after Pentecost
1597,09151008,"Dom. 15 p. Pent.,8",In 16th week after Pentecost
1599,09161008,"Dom. 16 p. Pent.,8",In 17th week after Pentecost
1601,09171008,"Dom. 17 p. Pent.,8",In 18th week after Pentecost
1602,09181000,Dom. 18 p. Pent.,18th Sunday after Pentecost
1603,09181008,"Dom. 18 p. Pent.,8",In 19th week after Pentecost
1787,09184000,Fer. 4 in Pent. 19,Wednesday in the 19th week after Pentecost
1605,09191008,"Dom. 19 p. Pent.,8",In 20th week after Pentecost
1615,09201008,"Dom. 20 p. Pent.,8",In 21st week after Pentecost
1617,09211008,"Dom. 21 p. Pent.,8",In 22nd week after Pentecost
1619,09221008,"Dom. 22 p. Pent.,8",In 23rd week after Pentecost
1621,09231008,"Dom. 23 p. Pent.,8",In 24th week after Pentecost
1623,09241008,"Dom. 24 p. Pent.,8",In 25th week after Pentecost
1627,09281000,Dom. 28 p. Pent.,28th Sunday after Pentecost
2088,10100008,Hebd. de Regum,"Summer Histories, from Kings, for weekdays"
1908,10208000,Hebd. de Sapientia,"Summer Histories, from Wisdom, for weekdays"
1904,10308000,Hebd. de Job,"Summer Histories, from Job, for weekdays"
1909,10408000,Hebd. de Tobia,"Summer Histories, from Tobias, for weekdays"
1905,10508000,Hebd. de Judith,"Summer Histories, from Judith, for weekdays"
1568,10800000,De Machabaeis,"Summer Histories, from Maccabees"
1906,10808000,Hebd. de Machabaeis,"Summer Histories, from Maccabees, for weekdays"
2089,10908000,Hebd. de Prophetis,"Summer Histories, from the Prophets, for weekdays"
1661,11080100,Dom. mensis Augusti,Sundays in August
1691,11081100,Dom.1 mensis Augusti,First Sunday in August
1695,11082100,Dom.2 mensis Augusti,Second Sunday in August
1503,12001008,"Comm. Apostolorum,8","Common of Apostles, in week of"
1515,12003008,"Comm. plurimorum Martyrum,8","Common of several Martyrs, in week of"
1540,12004308,"Comm. unius Confessoris et Episcopi,8","Common of one Confessor (Bishop), in week of"
1533,12004800,Comm. unius Confessoris et Doctoris non Pontificis,"Common of one Confessor (Doctor, not Pope)"
1924,12008000,In Dedicatione Eccl.,Dedication of a Church
1668,12008001,Dom. p. Ded. Eccl.,Sunday after Dedication of a Church
1923,12008008,"In Dedicat. Eccl.,8",In week after Dedication of Church
2091,12008080,In Dedicat. Eccl. TP,"Dedication of a Church, in Eastertide"
1959,12008100,Oct. Dedicat. Eccl.,Octave of Dedication of Church
1547,12018000,Comm. Pontificis,Common of Popes
1501,12801000,Comm. Apostolorum TP,"Common of Apostles, Eastertide"
1488,12801100,Comm. Apostolorum sive Martyrum TP,"Common of Apostles or Martyrs, Eastertide"
1527,12802000,Comm. unius Martyris TP,"Common of one Martyr, Eastertide"
4471,12802200,Comm. unius Martyris non Pontificis TP,"Common of one Martyr (not Pope), Eastertide"
1949,12802300,Mart. sive Conf. TP,"Common of Martyrs or Confessors, Eastertide"
1514,12803000,Comm. plurimorum Martyrum TP,"Common of several Martyrs, Eastertide"
1525,12804000,Comm. unius Confessoris TP,"Common of one Confessor, Eastertide"
1541,12804100,Comm. unius Confessoris Pontificis TP,"Common of one Confessor (Pope), Eastertide"
1536,12804700,Comm. unius Confessoris non Pontificis TP,"Common of one Confessor (not Pope), Eastertide"
1509,12805000,Comm. plurimorum Confessorum TP,"Common of several Confessors, Eastertide"
1534,12805200,Comm. plurimorum Confessorum non Pontificum TP,"Common of several Confessors (not Popes), Eastertide"
1532,12806000,Comm. plurimorum Virginum TP,"Common of several Virgins, Eastertide"
1529,12807100,Comm. unius Virginis TP,"Common of one Virgin, Eastertide"
2093,12811000,Comm. Evangelistarum TP,"Common of Evangelists, Eastertide"
1555,12813000,De Angelis TP,"Memorial chants for Angels, Eastertide"
1575,12815000,De Sanctis TP,"Common of Saints, Eastertide"
1570,12815100,De Plur. Sanctis TP,"Common of several Saints, Eastertide"
4363,13008000,Ordo super sepulcrum quando clamore proclamatur,Rite over the sepulchre when the clamor is proclaimed
2181,14010800,Wulsini,"Wulsin, Bishop of Sherborne"
2141,14010810,Gudulae,"Gudula, Virgin"
4508,14010820,De secunda allatione reliquiarum in ecclesia Pragensis,"A second showing of relics in St Vitus's Cathedral, Prague"
1952,14011518,"Mauri,8",In week after Maurus
2167,14011800,Priscae,"Prisca, Virgin Martyr"
2120,14011810,"Aquilae, Priscae","Aquila and Prisca, Virgin Martyrs"
2085,14011928,"Wulstani,8",In week after Wulfstan
1484,14012108,"Agnetis,8",In week after Agnes
2081,14012208,"Vincentii,8",In week after Vincent
2157,14012800,Octava Agnetis,Octave of Agnes
2147,14012810,Karoli Magni,"Charlemagne, Emperor and Confessor"
4185,14012820,Cyrilli Alexandrini,"Cyril (Cyrillus), Confessor, Patriarch of Alexandria and Doctor of the Church"
4567,14012830,Joannis Abbatis Reomensis,"John of Réome, abbot"
4612,14012840,Agnetis secundo,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
2940,14013020,Martinae,"Martina, Virgin Martyr (said to have been beheaded in Rome under Emperor Alexander Severus, 1 January 228)"
1976,14020208,"Purificatio Mariae,8",In week after Purification of Mary
2096,14020280,Purificatio Mariae TP,"Purification of Mary, Eastertide"
1496,14020308,"Blasii,8",In week after Blaise
1483,14020508,"Agathae,8",In week after Agatha
2079,14020608,"Vedasti,8",In week after Vaast
4333,14022210,Margaritae Cortonensis,"Margaret of Cortona, penitent (canonized in 1728)"
4589,14022320,"Celsi Treverensis, invent.",Finding of Celsus of Trier's relics (in 980)
2201,14022800,"Oswaldi, Epi.","Oswald, Bishop of Worcester"
4327,14030800,Josephi Prophetae,"Joseph, son of Jacob and Rachel"
2217,14031800,"Gabrielis, Archang.",Gabriel the Archangel
4295,14031810,"Edwardi, Mart.","Edward ""the Martyr"" (son of King Edgar the Peaceful)"
1494,14032108,"Benedicti,8",In week after Benedict
2214,14032180,Benedicti TP,"Benedict, Eastertide"
1486,14032508,"Annuntiatio Mariae,8",In week after Annunciation of Mary
2212,14032580,Annuntiatio TP,"Annunciation of Mary, Eastertide"
2230,14040480,Ambrosii TP,"Ambrose, Eastertide"
2237,14040980,Hugonis TP,"Hugo, Eastertide"
2092,14042318,"Adalberti,8",In week after Adalbert
4479,14042508,"Marci,8","In week after Mark, Evangelist"
2255,14042800,"Vitalis, Valeriae","Vitalis and Valeria, Martyrs"
2254,14042810,Transl. Petri Alcan.,Moving of Peter of Alcantara's Relics
2253,14042820,Transl. Lamberti,Moving of Lambert's relics
1974,14050108,"Philippi, Jacobi,8",In week after Philip and James
1703,14050218,"Elev. Elis. Hung.,8",In week after Elizabeth's Elevation
1934,14050308,"Inventio Crucis,8",In week after the Finding of the Cross
2259,14050800,Appar. Michaelis,Appearing of Michael the Archangel
2306,14050810,Victoris Mauri,"Victor Maurus, Martyr"
4535,14050820,Petri de Tarentasia,"Peter II of Tarentaise, Archbishop"
2284,14050830,"Oct. Philippi,Jacobi","Octave of Philip and James, Apostles"
2307,14050840,Wironi,"Wiro, ""Apostle"" of southern Netherlands"
2268,14051800,Erici,"Eric IX of Sweden, King and Martyr"
2272,14052800,Germani Parisien.,"Germanus (Germain), Bishop of Paris"
2264,14052810,Carauni,"Caraunus, Deacon and Martyr"
4313,14060400,Francisci Carracciolo,"Francis (Ascanio) Carracciolo, confessor (canonized in 1807)"
2339,14060800,Medardi,"Medard, Bishop of Vermandois"
1706,14061418,"Elisei,8",In week after Elisha
2084,14061508,"Viti,8",In week after Vitus
1553,14061608,"Cyrici,8",In week after Cyricus
2337,14061800,"Marci, Marcellini","Mark and Marcellian, Martyrs"
1938,14062408,"Joannis Baptistae,8",In week after John the Baptist
2332,14062800,Leonis,"Leo the Great, Pope"
2357,14062810,"Vigilia Petri, Pauli",Eve of Peter and Paul
2356,14062820,Vigilia Petri,Eve of Peter
1972,14062908,"Petri, Pauli,8",In week after Peter and Paul
1973,14062918,"Petri,8",In week after Peter (Apostle)
1970,14063008,"Pauli,8",In week after Paul (Apostle)
2083,14070208,"Visitatio Mariae,8",In week after Visitation of Mary
2078,14070428,"Udalrici,8",In week after Ulric
1957,14070608,"Oct. Apostolorum,8",In week after Octave of Peter and Paul
2390,14070800,"Martialis, Apost.","Martial, ""Apostle"" of Limoges"
2381,14070810,Kiliani et Soc.,"Kilian and Companions, Martyrs"
2394,14070820,"Oct. Apost, Die 3",The third day after the Octave of Peter and Paul
2854,14070830,Elisabeth Reginae Portugalliae,"Elisabeth (Isabel), Widow, Queen of Portugal"
4610,14070840,Procopii megalomartyris,"Procopius Megalomartyr, Procopius of Scythopolis, martyr of Caesarea of Palestine, the ascete and Roman general"
4347,14070920,Nicolai Pici et sociorum,"Nicholas Pieck (Nicolaus Picus) and 18 companions, Martyrs"
2074,14071108,"Transl. Benedicti,8",In week after Benedict's Translation
1919,14071208,"Hermagorae, Fort.,8",In week after Hermagoras and Fortunatus
1979,14071508,"Relatio Vedasti,8",In week after Return of Vaast
2401,14071800,Octava Tr. Benedicti,Octave of Benedict's Translation
2364,14071810,Arnulfi Metensis,"Arnulfus (Arnoul), Bishop of Metz"
4551,14071820,Camilli de Lellis,"Camillus de Lellis, Confessor, Founder of the Canons Regular of a Good Death (Infirmis Ministrantium)"
1704,14072028,"Eliae,8",In week after Elijah
1948,14072208,"Mariae Mag.,8",In week after Mary Magdalene
1937,14072508,"Jacobi,8",In week after James the Greater
2393,14072800,"Nazarii, Celsi","Nazarius and Celsus, Martyrs"
2409,14072810,Samsonis,"Samson, Bishop of Dol"
2365,14072820,Botuidi,"Botwid, Martyr"
2515,14080100,Vincula Petri,Peter in Chains
2082,14080108,"Vincula Petri,8",In week after Peter in Chains
2490,14080110,Octava Jacobi,Octave of James the Greater
2482,14080120,Machabaeorum,"Holy Maccabees, Martyrs"
2458,14080130,Ethelwoldi,"Ethelwold, Bishop of Wincester"
2463,14080140,Fidei et Soc.,"Faith and Companions, Martyrs"
2503,14080200,"Stephani, Pont.","Stephen I, Pope"
4171,14080210,Alphonsi Mariae de Ligorio,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church"
2473,14080300,Inventio Stephani,Finding of Stephen's relics (First Martyr)
2507,14080400,Tertullini,"Tertullinus, Martyr"
2434,14080410,Adventus Walburgae,The Departure of Walburga from England (to found a religious house in Bischofsheim)
4414,14080420,Transl. Valentini Epi.,Translation of Valentinus's relics
4474,14080430,Dominici,"Dominic, founder of the Order of Friars Preachers"
4475,14080438,"Dominici,8",In week after Dominic
2435,14080500,Afrae,"Afra, Martyr"
2492,14080510,"Oswaldi, Reg.","Oswald, King of Northumbria"
2483,14080520,Mariae ad Nives,Mary of the Snows
4527,14080530,"Aemigdii, Episc. et Martyr","Emygdius (Emidius), Bishop Martyr"
2510,14080600,Transfiguratio Dom.,Transfiguration of Jesus
2502,14080610,Sixti,"Sixtus and Companions, Martyrs"
2462,14080620,"Felicissimi, Agapiti","Felicissimus and Agapetus, Marytrs"
4568,14080630,"Justi, Pastoris","Justus and Pastor, Martyrs at Alcalá de Henares (Complutum)"
2457,14080700,Donati,"Donatus, Bishop of Arezzo"
2478,14080710,LOCAL:Afrae,"Afra, Martyr, as witnessed at Augsburg and Muenster"
2437,14080720,Alberti,"Albert of Trapani, Confessor and Carmelite Friar"
2447,14080800,Cyriaci et Soc.,"Cyriacus and Companions, Martyrs"
2476,14080810,Justini,"Justin, child martyred near Paris"
2499,14080900,Romani,"Romanus, Martyr"
2514,14080910,Vigilia Laurentii,Eve of Laurence
2464,14080920,"Firmi, Rustici","Firmus and Rusticus, Martyrs"
2477,14081000,Laurentii,"Laurence, Martyr"
1943,14081008,"Laurentii,8",In week after Laurence
2508,14081100,"Tiburtii, Susannae","Tiburtius and Susanna, Martyrs"
2465,14081110,Gaugerici,"Gaugericus (Gery), Bishop"
1670,14081111,Dom. p. Gaugerici,Sunday after Gaugericus
1889,14081118,"Gaugerici,8",In week after Gaugericus
2448,14081120,De corona spinea,Commemoration of the Crown of Thorns
2506,14081130,Taurini,"Taurinus, Bishop of Evreux"
4542,14081140,Tiburtii (filius Chromatii),"Tiburtius (son of Chromatius in Rome), Martyr"
2445,14081200,Clarae,"Clare of Assisi, Foundress"
2459,14081210,"Eupli, Leucii","Euplus, Deacon Martyr; and Leucius, Bishop Confessor"
2485,14081220,Octava Afrae,Octave of Afra
2470,14081230,Hilariae et Soc.,"Hilaria, Martyr, Mother of Afra, Matron at Augsburg"
2471,14081300,Hippolyti,"Hippolytus, Martyr"
2497,14081310,Radegundis,"Radegund, Matron"
2795,14081320,Wigberti,"Wigbert, Confessor, Abbot of Fritzlar"
2460,14081400,Eusebii,Eusebius of Rome
2513,14081410,Vig. Assump. Mariae,Eve of Assumption of Mary
2439,14081500,Assumptio Mariae,Assumption of Mary
1666,14081501,Dom. p. Assumptionem,Sunday after Assumption of Mary
1491,14081508,"Assumptio Mariae,8",In week after Assumption of Mary
2438,14081600,Arnulfi,"Arnulf, Bishop of Metz"
2466,14081610,Gemmae,"Gemma, Virgin"
2450,14081620,Die 2 p. Assump.,First day after Assumption of Mary
2493,14081630,Passio Laurentiae,Passion of Laurentia
2498,14081640,Rocho,"Rochus (Roche, Roch), Confessor"
2479,14081650,LOCAL:Annae,"Anne, as witnessed in Muenster (after 1510)"
4553,14081660,Aredii Nivernensis,"Aredius (Aregius, Arigius, Agricius, Aré) of Nevers, Bishop"
2491,14081700,Octava Laurentii,Octave of Laurence
2512,14081710,Transl. Justinae,Moving of Justina's relics
2451,14081720,Die 3 p. Assump.,Second day after Assumption of Mary
2436,14081800,Agapiti,"Agapitus, Martyr"
1482,14081808,"Agapiti,8",In week after Agapitus
2489,14081810,Octava Gaugerici,Octave of Gaugericus
2452,14081820,Die 4 p. Assump.,Third day after Assumption of Mary
2468,14081830,Helenae,"Helen, Finder of the True Cross, Mother of Constantine the Great"
2481,14081900,Ludovici Toul.,"Louis, Bishop of Toulouse"
2453,14081910,Die 5 p. Assump.,Fourth day after Assumption of Mary
4418,14081920,Vig. Stephani Reg.,"Eve of Stephen I, King and Apostle of Hungary"
2496,14082000,Philiberti,"Philibert, Abbot"
2444,14082010,Bernardi,"Bernard, Abbot and Doctor"
1495,14082018,"Bernardi,8",In week after Bernard
2454,14082020,Die 6 p. Assump.,Fifth day after Assumption of Mary
2504,14082030,"Stephani, Reg.","Stephen I, King and Apostle of Hungary"
2455,14082100,Die 7 p. Assump.,Sixth day after Assumption of Mary
2505,14082200,Symphoriani,"Symphorian (and Timothy), Martyrs"
2487,14082210,Octava Assumptionis,Octave of Assumption of Mary
2509,14082300,"Timothei, Apollinaris","Timothy and Apollinaris, Martyrs"
4365,14082310,Philippi Benitii,"Philip Benitius (Filippo Benizzi), Confessor"
4419,14082320,Vigilia Bartholomaei,Eve of Bartholomew
2443,14082400,Bartholomaei,"Bartholomew, Apostle"
2440,14082410,Audoeni,"Audoenus (Ouen), Bishop of Rouen"
4408,14082420,Transl. Candidi,"Moving of Candidus's relics (Martyr, at Innichen)"
4554,14082430,Aureae Ostiensis,Aurea (Chryse) of Ostia
2480,14082500,Ludovici,"Louis IX, King of France"
2472,14082510,Hunegundis,"Hunegundis, Abbess"
2486,14082520,Octava Agapiti,Octave of Agapitus
2467,14082530,Genesii,"Genesius, Martyr"
4511,14082540,"Geruntii Italicensis, Epi.","Geruntius, Bishop of Italica (Talco), near Seville"
4537,14082700,Caesarii Arelatensis,"Caesarius, Archbishop of Arles"
2441,14082800,Augustini,"Augustine, Bishop and Doctor"
1492,14082808,"Augustini,8",In week after Augustine
2474,14082810,Juliani,"Julian of Brioude, Martyr"
2500,14082820,Rufi,"Rufus, Bishop"
2469,14082830,Hermetis,"Hermes, Martyr"
2495,14082840,Pelagii,"Pelagius, Martyr"
2442,14082850,Balbinae,"Balbina, Virgin Martyr"
2475,14082860,"Juliani, Hermetis","Julian of Brioude and Hermes, Martyrs"
2449,14082900,Decoll. Jo. Bapt.,Beheading of John the Baptist
2501,14082910,Sabinae,"Sabina, Martyr"
2484,14082920,Mederici,"Medericus (Merry), Abbot"
2461,14083000,"Felicis, Adaucti","Felix and Adauctus, Martyrs"
4269,14083010,Bononii,"Bononius, Abbot, Disciple of Romuald"
2511,14083100,Transl. Hadulfi,Moving of Hadulf's relics
2494,14083110,Paulini,"Paulinus, Bishop of Trier"
2446,14083120,Cuthburgae,"Cuthberga, First Abbess of Wimborne"
2488,14083130,Octava Bartholomaei,Octave of Bartholomew
1968,14090318,"Ordin. Gregorii,8",In week after Gregory's Ordination
2559,14090800,Nativitas Mariae,Birthday of Mary
1676,14090801,Dom. p. Nat. Mariae,Sunday after Birthday of Mary
1955,14090808,"Nativitas Mariae,8",In week after Birthday of Mary
2576,14090810,Transl. Egwini,Moving of Egwin's relics
4546,14090811,Nominis BMV,"The Holy Name of Mary, celebrated on the Sunday after the Nativity of Mary"
2524,14090820,Corbiniani,"Corbinianus, Abbot and Bishop"
2546,14090830,LOCAL:Adriani,"Adrian, Martyr, as witnessed at Augsburg"
4188,14090840,Disibodi,"Disibod, Bishop and Patron of Disibodenberg"
1708,14091408,"Exalt. Crucis,8",In week after Holy Cross Day
1980,14091508,"Reliquiarum,8",In week after Feast of Relics
4294,14091648,"Edithae,8",In week after Edith
1942,14091708,"Lamberti,8",In week after Lambert
1951,14092108,"Matthaei,8",In week after Matthew
1887,14092508,"Firmini,8",In week after Firminus
1940,14092608,"Justinae, Cypriani,8",In week after Justina and Cyprian
2580,14092800,Wenceslai,"Wenceslaus of Bohemia, Martyr"
4434,14092808,"Wenceslai,8",In week after Wenceslas
2547,14092810,LOCAL:Hieronimi,"Jerome, as witnessed in Muenster"
1920,14093008,"Hieronimi,8",In week after Jerome
1888,14100408,"Francisci,8",In week after Francis of Assisi
2077,14100508,"Transl. Vedasti,8",In week after Vaast's Translation
2637,14100800,Ragenfredis,"Ragenfredis, Canoness"
2586,14100810,Benedictae,"Benedicta, Virgin Martyr"
2642,14100820,"Sergii, Bacchi","Sergius and Bacchus, Martyrs"
2651,14100830,Transl. Oswaldi,Moving of Oswald's relics
2075,14100838,"Transl. Oswaldi,8",In week after Oswald's Translation
2587,14100840,Birgittae,"Bridget of Sweden, Matron"
2594,14100850,Demetrii,"Demetrius, Martyr"
4325,14100860,Iwigii,"Iwigius (Ywi, Iwig, Ivi, Ywy, Ivy, Iwie), Deacon, Hermit, of Lindisfarne"
1580,14100908,"Dionysii,8","In week after Denis, Bishop of Paris"
1971,14101018,"Paulini Ebor.,8",In week after Paulinus of York
4440,14101428,"Fortunatae et sociorum,8",In week after Fortunata
4194,14101608,"Galli,8",In week after Gall
