id,feast_code,name,description
1778,01034000,Fer. 4 Hebd. 3 Adv.,"Wednesday, 3rd week, Advent"
1795,01034009,Fer. 4 Q.T. Adventus,"Ember Day, Advent (Wednesday)"
1808,01035000,Fer. 5 Hebd. 3 Adv.,"Thursday, 3rd week, Advent"
1823,01035009,Fer. 5 Q.T. Adventus,"Ember Day, Advent (Thursday)"
1834,01036000,Fer. 6 Hebd. 3 Adv.,"Friday, 3rd week, Advent"
1850,01036009,Fer. 6 Q.T. Adventus,"Ember Day, Advent (Friday)"
2006,01037000,Sabbato Hebd. 3 Adv.,"Saturday, 3rd week, Advent"
1996,01037009,Sabb. Q.T. Adventus,"Ember Day, Advent (Saturday)"
1895,01038000,Hebd. 3 Adventus,3rd week of Advent
1635,01041000,Dom. 4 Adventus,4th Sunday of Advent
1721,01042000,Fer. 2 Hebd. 4 Adv.,"Monday, 4th week, Advent"
1752,01043000,Fer. 3 Hebd. 4 Adv.,"Tuesday, 4th week, Advent"
1782,01044000,Fer. 4 Hebd. 4 Adv.,"Wednesday, 4th week, Advent"
1812,01045000,Fer. 5 Hebd. 4 Adv.,"Thursday, 4th week, Advent"
1837,01046000,Fer. 6 Hebd. 4 Adv.,"Friday, 4th week, Advent"
2007,01047000,Sabbato Hebd. 4 Adv.,"Saturday, 4th week, Advent"
1898,01048000,Hebd. 4 Adventus,4th week of Advent
1487,01048010,Antiphonae Majores,Great 'O' Antiphons
2159,02010100,Octava Nat. Domini,Octave of Christmas (Circumcision)
1962,02010108,"Octava Nat. Domini,8",In week after Octave of Christmas
4223,02010110,Circumcisio Domini,The circumcision of Christ
2160,02010200,Octava Stephani,Octave of Stephen
2155,02010300,Oct. Joannis Evang.,Octave of John the Evangelist
2156,02010400,Oct. Nat. Innocent.,Octave of Holy Innocents
4510,02010500,Vigilia Epiphaniae,Eve of Epiphany
1684,04001000,Dom. per annum,"Sundays, Ferial Office"
1669,05001000,Dom. p. Epiphaniam,Sundays after Epiphany
2178,05010500,Vigilia Epiphaniae,Eve of Epiphany
2135,05010600,Epiphania,Epiphany
1707,05010608,"Epiphania,8",In week after Epiphany
2126,05010700,Die 2 p. Epiphaniam,"1st day after Epiphany (2nd day ""of"" Epiphany)"
2127,05010800,Die 3 p. Epiphaniam,"2nd day after Epiphany (3rd day ""of"" Epiphany)"
2128,05010900,Die 4 p. Epiphaniam,"3rd day after Epiphany (4th day ""of"" Epiphany)"
2129,05011000,Die 5 p. Epiphaniam,4th day after Epiphany (5th day of Epiphany)
2103,05011010,Dom. 1 p. Epiphaniam,"1st Sunday after Epiphany (Sunday within the octave of Epiphany,  'Dom. Infra Oct. Epiph.')"
1583,05011018,"Dom. 1 p. Epiph.,8",In the week following the 1st Sunday after Epiphany
4587,05011020,"Sanctae familiae Jesu, Mariae, Joseph",The Holy Family
2130,05011100,Die 6 p. Epiphaniam,"5th day after Epiphany (6th day ""of"" Epiphany"
2131,05011200,Die 7 p. Epiphaniam,"6th day after Epiphany (7th day ""of"" Epiphany)"
2158,05011300,Octava Epiphaniae,Octave of Epiphany
1730,05012000,Fer. 2 p. Epiphaniam,"Monday, 1st week after Epiphany"
1759,05013000,Fer. 3 p. Epiphaniam,"Tuesday, 1st week after Epiphany"
1790,05014000,Fer. 4 p. Epiphaniam,"Wednesday, 1st week after Epiphany"
1817,05015000,Fer. 5 p. Epiphaniam,"Thursday, 1st week after Epiphany"
1843,05016000,Fer. 6 p. Epiphaniam,"Friday, 1st week after Epiphany"
1992,05017000,Sabb. p. Epiphaniam,"Saturday, 1st week after Epiphany"
1689,06011000,Dom. Septuagesimae,Septuagesima Sunday
1737,06012000,Fer. 2 Septuagesimae,Septuagesima Monday
1766,06013000,Fer. 3 Septuagesimae,Septuagesima Tuesday
1799,06014000,Fer. 4 Septuagesimae,Septuagesima Wednesday
1825,06015000,Fer. 5 Septuagesimae,Septuagesima Thursday
1854,06016000,Fer. 6 Septuagesimae,Septuagesima Friday
1998,06017000,Sabb. Septuagesimae,Septuagesima Saturday
1916,06018000,Hebd. Septuagesimae,Week after Septuagesima
1685,07001000,Dom. Quadragesimae,Sundays in Lent
4391,07010009,Q.T. Quadragesimae,"Ember Days, Lent"
1585,07011000,Dom. 1 Quadragesimae,1st Sunday of Lent
1713,07012000,Fer. 2 Hebd. 1 Quad.,"Monday, 1st week, Lent"
1744,07013000,Fer. 3 Hebd. 1 Quad.,"Tuesday, 1st week, Lent"
1774,07014000,Fer. 4 Hebd. 1 Quad.,"Wednesday, 1st week, Lent"
1796,07014009,Fer. 4 Q.T. Quad.,"Ember Day, Lent (Wednesday)"
1804,07015000,Fer. 5 Hebd. 1 Quad.,"Thursday, 1st week, Lent"
1830,07016000,Fer. 6 Hebd. 1 Quad.,"Friday, 1st week, Lent"
1851,07016009,Fer. 6 Q.T. Quad.,"Ember Day, Lent (Friday)"
1984,07017000,Sabb. Hebd. 1 Quad.,"Saturday, 1st week, Lent"
1891,07018000,Hebd. 1 Quad.,1st week of Lent
1475,07065010,Ad Mandatum,At the Mandatum (Foot-Washing)
1701,08001000,Dominica TP,"Sundays, Eastertide"
1688,08011000,Dom. Resurrectionis,Easter Sunday
1687,08011008,"Dom. Resurrect.,8",In week after Easter Sunday
1733,08012000,Fer. 2 p. Pascha,Easter Monday
1762,08013000,Fer. 3 p. Pascha,Easter Tuesday
1793,08014000,Fer. 4 p. Pascha,Easter Wednesday
1820,08015000,Fer. 5 p. Pascha,Easter Thursday
1847,08016000,Fer. 6 p. Pascha,Easter Friday
2008,08017000,Sabbato in Albis,Easter Saturday
1969,08020100,Pascha Annotinum,Memorial of past year's Easter
1573,08026010,De Sancta Lancea,The Holy Lance; on the Friday after the Octave of Easter
1549,08046010,Compassio Mariae TP,"The Sorrows of Mary, celebrated Friday after third Sun. after Easter"
4206,08064001,"Ascensionis Domini, in vigilia",Eve of Ascension
1926,08068010,In Letaniis,"General, Rogation Days"
1648,08071010,Dom. 6 p. Pascha,6th Sunday after Easter
1678,09001000,Dom. p. Pent.,Sundays after Pentecost
1578,09011000,De Trinitate,Trinity Sunday
1579,09011008,"De Trinitate,8",In the week after Trinity Sunday
1584,09011010,Dom. 1 p. Pent.,1st Sunday after Pentecost
1739,09012000,Fer. 2 Trinitate,Trinity Monday
1768,09013000,Fer. 3 Trinitate,Trinity Tuesday
1801,09014000,Fer. 4 Trinitate,Trinity Wednesday
1551,09015000,Corporis Christi,"Corpus Christi (also ""Blessed Sacrament"")"
1552,09015008,"Corporis Christi,8",In week after Corpus Christi
1827,09016000,Fer. 6 Cor. Christi,Friday after Corpus Christi
1982,09017000,Sabb. Cor. Christi,Saturday after Corpus Christi
4545,09017010,Sabb. p. Dom. 1 p. Pent.,Saturday in the 2nd week after Pentecost
1667,09021010,Dom. p. Cor. Christi,Sunday after Corpus Christi
1810,09025010,Fer. 5 Hebd. 3 Pent.,"Thursday, 3rd week after Pentecost"
4575,09026010,Sacratissimi Cordis Jesu,"Most Sacred Heart of Jesus, on Friday after the second Sunday after Pentecost"
4607,09031010,Dom. 1 p. Oct. Corporis Christi,Sunday after the Octave of Corpus Christi
1586,09101000,Dom. 10 p. Pent.,10th Sunday after Pentecost
1587,09101008,"Dom. 10 p. Pent.,8",In 11th week after Pentecost
1614,09201000,Dom. 20 p. Pent.,20th Sunday after Pentecost
1615,09201008,"Dom. 20 p. Pent.,8",In 21st week after Pentecost
2090,09991010,Dom. ult. ante Adv.,The last Sunday before Advent
1700,10001000,Dominica in estate,Sundays in summer
1572,10100000,De Regum,"Summer Histories, from Kings"
2088,10100008,Hebd. de Regum,"Summer Histories, from Kings, for weekdays"
1857,10102000,Feria 2 de Regum,"Summer Histories, from Kings, for Mondays"
1661,11080100,Dom. mensis Augusti,Sundays in August
1664,11090100,Dom. mensis Sept.,Sundays in September
1663,11100100,Dom. mensis Octobris,Sundays in October
1693,11101100,Dom.1 mensis Oct.,First Sunday in October
1662,11110100,Dom. mensis Nov.,Sundays in November
1500,12001000,Comm. Apostolorum,Common of Apostles
1503,12001008,"Comm. Apostolorum,8","Common of Apostles, in week of"
4278,12001010,Comm. plurimorum Apostolorum in vigilia,Eve of Apostles
1523,12001100,Comm. unius Apostoli,Common of one Apostle
4281,12001110,Comm. unius Apostoli in vigilia,Eve of one Apostle
1507,12001200,Comm. duorum Apostolorum,Common of two Apostles
4283,12002010,Comm. unius Martyris in vigilia,Eve of one Martyr
4466,12003010,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs
4465,12003010,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs
4467,12003010,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs
4280,12006010,Comm. plurimorum Virginum in vigilia,Eve of several Virgins
1668,12008001,Dom. p. Ded. Eccl.,Sunday after Dedication of a Church
1522,12010000,Comm. unius Abbatis,Common of one Abbot
1508,12011000,Comm. Evangelistarum,Common of Evangelists
1506,12012000,Comm. Conjungium,Common of Holy Matrons
1504,12012100,Comm. Conjungium non Martyrum,Common of Holy Matrons (not Martyrs)
1505,12012200,Comm. Conjungium Martyrum,Common of Holy Matron Martyrs
1554,12013000,De Angelis,"Memorial chants for Angels, including e.g. Missa Votiva de Angelis. Feria III."
1569,12014000,De Patronis,Memorial chants for Patrons
1574,12015000,De Sanctis,Memorial chants for Saints
2016,12016000,Ss Ord. Benedictinae,Saints of the Benedictine Order
2056,12017000,Suff. Ordinis Carm.,Suffrages for the Order of Carmelites
1547,12018000,Comm. Pontificis,Common of Popes
2109,12019000,Comm. Apostolorum et Evangelistarum,Common of Apostles and Evangelists
1499,12601000,Comm. Apostolorum post Septuagesima,"Common of Apostles, after Septuagesima"
1502,12701000,Comm. Apostolorum TQ,"Common of Apostles, Lent"
1501,12801000,Comm. Apostolorum TP,"Common of Apostles, Eastertide"
1488,12801100,Comm. Apostolorum sive Martyrum TP,"Common of Apostles or Martyrs, Eastertide"
1975,13001000,Pro defunctis,Chants for the Dead
4356,13010000,Ordo de parvulo defuncto,Rite for a dead child
4373,13011000,Pro defunctis Sacerdotibus,For the death of priests
4357,13012000,Ordo de patribus et fratribus defunctis,Rite for dead parents and siblings
2122,14010200,Basilii,"Basil of Ancyra, Martyr"
4506,14010210,De allatione reliquiarum in ecclesia Pragensis,"Showing of relics in St Vitus's Cathedral, Prague"
4552,14010220,Adalhardi Corbeiensis,"Adalard (Adalhard) of Corbie, Abbot"
2140,14010300,Genovefae,"Genevieve (Genovefa), Virgin"
4588,14010400,Celsi Treverensis,"Celsus, Confessor, reputed 5th Bishop of Trier (Treves)"
2171,14010500,Simeonis Stylitae,Simeon the Stylite
2161,14010510,Octava Thomae Cant.,"Octave of Thomas Becket, Bishop of Canterbury"
2132,14010520,"Edwardi, Conf., de morte","Death of Edward III, Confessor, King of England (son of Ethelred the Unready)"
2170,14010530,"Severini, Apost.","Severinus, ""Apostle"" of Noricum"
2136,14010540,Exceptio Marcelli,Reception of the Relics of Pope Marcellus I at Cluny
2176,14010700,"Valentini, Epi.","Valentine, Bishop"
2181,14010800,Wulsini,"Wulsin, Bishop of Sherborne"
2141,14010810,Gudulae,"Gudula, Virgin"
4508,14010820,De secunda allatione reliquiarum in ecclesia Pragensis,"A second showing of relics in St Vitus's Cathedral, Prague"
2123,14010900,"Celsi, Juliani","Celsus and Julian, Martyrs"
2180,14011000,Willelmi,"William, Archbishop of Bourges"
2163,14011010,Pauli Heremitae,Paul the Hermit
2143,14011400,Hilarii,"Hilary, Bishop of Poitiers, Doctor"
2138,14011410,Felicis Nolani,"Felix of Nola, Confessor"
2165,14011420,Pontiani,"Pontianus, Martyr at Spoleto"
2154,14011430,Nominis Jesu,The Holy Name of Jesus
2168,14011440,"Remigii, Hilarii","Remigius, Bishop of Reims, Confessor & Hilary, Bishop of Poitiers, Doctor"
2152,14011510,Mauri,"Maurus, Abbot"
1952,14011518,"Mauri,8",In week after Maurus
2144,14011520,Inventio Firmini,Finding of Firminus's relics
2149,14011530,Macarii,"Macarius the Elder, Hermit"
2150,14011600,"Marcelli, Pont.","Marcellus I, Pope and Martyr"
2139,14011610,Fursei,"Fursey, Abbot"
4399,14011620,Sophiae viduae,"Sophia, widow"
4576,14011630,Sanctorum Quinque Martyrum Ordinis Minorum,Five Martyrs of Morocco
2119,14011700,Antonii,"Antony, Abbot"
2169,14011710,Sabini,"Sabinus, Bishop of Piacenza"
2172,14011720,Speusippi,"Speusippus and Meleusippus, Martyrs"
2167,14011800,Priscae,"Prisca, Virgin Martyr"
2120,14011810,"Aquilae, Priscae","Aquila and Prisca, Virgin Martyrs"
2151,14011900,"Marii, Marthae","Marius, Martha, et al., Martyrs"
2175,14011910,Transl. Hugonis,Moving of Hugo's relics
2182,14011920,Wulstani,"Wulfstan, Bishop of Worcester"
2085,14011928,"Wulstani,8",In week after Wulfstan
2148,14011930,Launomari,"Launomarus, Abbot of Corbie"
2142,14011940,Henrici,"Henry of Uppsala, Bishop and Martyr, Patron Saint of Finland"
2137,14012000,"Fabiani, Sebastiani","Pope Fabian and Sebastian, Martyrs"
2116,14012100,Agnetis,"Agnes, Virgin Martyr"
1484,14012108,"Agnetis,8",In week after Agnes
2153,14012110,Meginrati,"Meinrad, Hermit of Einsiedeln"
2179,14012200,Vincentii,"Vincent of Saragossa, Martyr"
2081,14012208,"Vincentii,8",In week after Vincent
2118,14012210,Anastasii,"Anastasius the Persian, Martyr"
2773,14012220,Gaudentii,"Gaudentius, Bishop of Novara"
4583,14012230,"Vincentii, Orontii, Victoris","Vincentius, Orontius (brothers), and Victor, Martyrs, killed near Gerona"
2134,14012300,Emerentianae,"Emerentiana, Virgin Martyr"
4319,14012301,Ildefonsi,"Ildephonsus, Archbishop of Toledo"
2174,14012400,Timothei,"Timothy, Disciple of Paul, Bishop"
2133,14012410,Elevat. Auberti,Elevation of Aubertus's relics
4601,14012420,Babylae,"Babylas, Martyr, 12th Bishop of Antioch"
2124,14012500,Conversio Pauli,Conversion of Paul
2166,14012510,Praejecti,"Praejectus (Prix), Bishop Martyr"
2164,14012600,Polycarpi,"Polycarp, Bishop of Smyrna, Martyr"
2162,14012610,Paulae,"Paula, Widow"
2145,14012700,Joannis Chrysostomi,"John Chrysostom, Doctor"
2146,14012710,"Juliani, Epi.","Julian, Bishop of Le Mans"
2157,14012800,Octava Agnetis,Octave of Agnes
2147,14012810,Karoli Magni,"Charlemagne, Emperor and Confessor"
4185,14012820,Cyrilli Alexandrini,"Cyril (Cyrillus), Confessor, Patriarch of Alexandria and Doctor of the Church"
4567,14012830,Joannis Abbatis Reomensis,"John of Réome, abbot"
4612,14012840,Agnetis secundo,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
2177,14012900,Valerii,"Valerius, Bishop of Saragossa"
2173,14012910,Sulpicii Severi,"Sulpicius Severus, Bishop of Bourges"
2115,14012920,Constantii,"Constantius, Bishop of Perugia"
4315,14012930,Francisci Salesii,"Francis de Sales, Confessor, Bishop of Geneva and Doctor of the Church (canonized 1665)"
2117,14013000,Aldegundis,"Aldegundis, Virgin"
2121,14013010,Balthildis,"Balthildis (Bathildis), Queen"
2940,14013020,Martinae,"Martina, Virgin Martyr (said to have been beheaded in Rome under Emperor Alexander Severus, 1 January 228)"
2125,14013100,"Cyri, Joannis","Cyrus and John, Martyrs"
2189,14020100,Brigidae,"Brigid (Bride), Abbess"
2193,14020110,Ignatii,"Ignatius, Bishop of Antioch, Martyr"
2207,14020120,Valerici,"Valericus, Hermit"
4487,14020130,"Purificatio Mariae, Vigilia",Eve of Purification of Mary
1681,14020601,Dom. p. Vedasti,Sunday after Vaast
2199,14021010,Octava Blasii,Octave of Blaise
2210,14030100,"Albini, Epi.","Albinus (Aubin), Bishop of Angers"
2216,14030110,David,"David of Wales, Monk and Bishop"
4234,14030120,Herculani Perusini,"Herculanus, Martyr, Bishop of Perugia"
2221,14032010,Joachimi,"Joachim, the father of Mary"
4492,14032501,"Annuntiatio Mariae, Dom. infra oct.",Sunday after Annunciation of Mary
4617,14041920,Alphegi,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)"
2233,14043010,Eutropii,"Eutropius, Bishop of Saintes, Martyr"
2289,14050100,"Philippi, Jacobi","Philip and James, Apostles"
1974,14050108,"Philippi, Jacobi,8",In week after Philip and James
2286,14050120,Orientii,"Orientius (Orens), Bishop"
2258,14050130,Amatoris,"Amator (Amatre), Bishop of Auxerre"
2295,14050140,Sigismundi,"Sigismund, King of Burgundy, Martyr"
2303,14050150,Transl. Walburgae,Moving of Walburga's relics
4177,14051010,Antonini Episcopi,"Antoninus, Archbishop of Florence"
4266,14052010,Bernardini Senensis,"Bernardinus degl' Albizzeschi of Siena, Confessor"
2342,14060100,Ordinatio Oswaldi,Ordination of Oswald
4273,14060110,"Caprasii, Abb.","Caprasius, Abbot of Lerins"
2348,14062010,"Edwardi, Mart., transl.",Moving of Edward the Martyr's relics (son of King Edgar the Peaceful)
1672,14062401,Dom. p. Jo. Bapt.,Sunday after John the Baptist
1660,14062901,Dom. inf. Oct.Apost.,Sunday after Peter and Paul
2338,14063010,"Martialis, Epi.","Martial, Bishop of Limoges"
2397,14070100,Octava Joannis Bapt.,Octave of John the Baptist
4202,14070110,Pretiosissimi Sanguinis,Feast of the Most Precious Blood (of Jesus Christ)
2408,14071010,"Rufinae, Secundae","Rufina and Secunda, Virgin Martyrs"
1679,14071501,Dom. p. Rel. Ved.,Sunday after Return of Vaast's relics
2386,14072010,Margaritae,"Margaret (Marina), Virgin Martyr"
1673,14072201,Dom. p. Mariae Mag.,Sunday after Mary Magdalene
1671,14072501,Dom. p. Jacobi,Sunday after James the Greater
2515,14080100,Vincula Petri,Peter in Chains
2082,14080108,"Vincula Petri,8",In week after Peter in Chains
2490,14080110,Octava Jacobi,Octave of James the Greater
2482,14080120,Machabaeorum,"Holy Maccabees, Martyrs"
2458,14080130,Ethelwoldi,"Ethelwold, Bishop of Wincester"
2463,14080140,Fidei et Soc.,"Faith and Companions, Martyrs"
1666,14081501,Dom. p. Assumptionem,Sunday after Assumption of Mary
2444,14082010,Bernardi,"Bernard, Abbot and Doctor"
1495,14082018,"Bernardi,8",In week after Bernard
4269,14083010,Bononii,"Bononius, Abbot, Disciple of Romuald"
2517,14090100,Aegidii,"Aegidius (Giles), Abbot"
2550,14090110,Lupi,"Lupus (Leu), Bishop of Sens"
2566,14090120,Prisci,"Priscus, Bishop of Capua"
2577,14090130,Verenae,"Verena, Virgin"
2528,14090140,Duodecim Fratrum,"Twelve Brothers, Martyrs"
2542,14090150,"Justi, Epi.","Justus, Bishop of Lyons"
4324,14090160,Isabelle,"Isabel, Virgin, Sister of King Louis IX of France (daughter of King Louis VIII), founder of a convent at Longchamp"
1676,14090801,Dom. p. Nat. Mariae,Sunday after Birthday of Mary
4406,14091010,Theodardi,"Martyr, Bishop of Maestricht"
4540,14091701,Hildegardis Bingensis,"Hildegard of Bingen, Abbess"
4476,14092010,Eustachii,"Eustachius (Eustasius, Eustace), Martyr"
2545,14093010,Leopardi,"Leopardus, Martyr"
2639,14100100,Remigii,"Remigius (Remi), Bishop of Reims"
2603,14100110,"Germani, Vedasti","Germanus and Vedastus, Confessors"
2622,14100120,Melori,"Melorus (Melar, Mylor), Martyr"
4494,14100130,Piati,"Piatus of Tournai (Piat de Seclin, Piaton, Platon, Piato), Martyr"
4608,14100140,Bavonis,"Bavo (Aldowin, Allowin) of Ghent"
1680,14100501,Dom. p. Tr. Vedasti,Sunday after Vaast's Translation
2602,14101000,Gereonis et Soc.,"Gereon and Companions, Martyrs"
2633,14101010,Paulini Ebor.,"Paulinus, Archbishop of York"
1971,14101018,"Paulini Ebor.,8",In week after Paulinus of York
2605,14101020,Gratiarum Actionis,Thanksgiving
4193,14101030,Francisci Borgiae,"Francis Borgia (Borja),  Confessor, Third General of the Society of Jesus"
2655,14101100,Venantii,"Venantius, Hermit"
2635,14101110,"Probi, Tarachi","Probus and Tarachus, Martyrs"
2647,14101120,Transl. Augustini,Moving of Augustine's relics
2625,14101130,Nicasii et Soc.,"Nicasius of Rouen, alleged Bishop of Rouen"
4556,14101140,Canici,"Cainnech of Aghaboe (Canice, Cannicus, Kenneth, Kenny), Abbot"
2630,14101200,Opilii,"Opilius, Deacon"
2629,14101210,Octava Tr. Vedasti,Octave of Vaast's Translation
2621,14101220,Maximiliani,"Maximilian, Bishop of Lorch"
2657,14101230,Wilfridi,"Wilfrid, Archbishop of York"
2601,14101300,Geraldi,Gerald of Aurillac
2596,14101310,Donatiani,"Donatianus, Bishop of Reims"
2589,14101320,Colomanni,"Coloman, Martyr"
2648,14101330,"Edwardi, Conf.","Edward III, Confessor, King of England (son of Ethelred the Unready)"
2593,14101340,"Dedic. S.Salv., Mar.","Dedication of the Church of the Holy Saviour, St. Martial (Limoges)"
2646,14101350,Simperti,"Simpert (Sintbert), Abbot of Murbach and Bishop of Augsburg"
2588,14101400,Callisti,"Callistus (Calixtus) I, Pope"
2660,14101410,Burchardi,"Burchard (Burkhard), Bishop and Confessor"
4439,14101420,Fortunatae et sociorum,"Fortunata (Virgin Martyr), and her brothers Carponius, Evaristus, and Priscianus"
4440,14101428,"Fortunatae et sociorum,8",In week after Fortunata
4405,14101500,Teresiae Avilensis,"Teresa (Teresia), Virgin, reformer of the Carmelite Order and ascetical write (canonized in 1622)"
4614,14101510,Aureliae Argentoratensis,"Aurelia, Virgin (4th century)"
2600,14101600,Galli,"Gall, Hermit"
4194,14101608,"Galli,8",In week after Gall
2627,14101610,Octava Dionysii,"Octave of Denis, Bishop of Paris"
2616,14101620,Luciani et Soc.,"Lucianus and Companions, Martyrs"
2592,14101630,Ded.Mont.S.Michaelis,Dedication of Mont-Saint-Michel
2606,14101640,Hedwigis,"Hedwig, Matron and Duchess of Silesia"
2614,14101800,Lucae,"Luke, Evangelist"
1945,14101808,"Lucae,8",In week after Luke
2610,14101810,Justi,"Justus of Beauvais, Martyr"
2607,14101820,Herblandi,"Hermeland, Abbot of Aindre (Nantes)"
2583,14101900,Amati,"Amatus, Bishop of Sens"
2609,14101910,Januarii et Soc.,"Januarius, Faustus, and Martialis, Martyrs (the ""Three Crowns of Cordova"")"
2634,14101920,Petri Alcantarae,"Peter of Alcantara, Founder"
4577,14101930,"Sabiniani, Potentiani","Sabinianus (Savinien) and Potentianus (Potentien), Bishops of Sens"
4565,14102010,Irenes,Irene of Santarém (Portugal)
4586,14103010,De victoriae christianorum apud Salado,"Commemoration of the victory of the Christians at the Battle of Rio Salado (also known as the Battle of Tarifa), 30 October 1340"
2702,14110100,Omnium Sanctorum,All Saints' Day
1699,14110101,Dom.p.Om.Sanctorum,Sunday after All Saints' Day
1967,14110108,"Omnium Sanctorum,8",In week after All Saints' Day
2714,14110110,Ulgani,"Vulgan, Hermit"
2717,14110120,Vigoris,"Vigor, Bishop of Bayeux"
2666,14110130,"Caesarii, Juliani","Caesarius and Julian, Martyrs"
2663,14110140,Benigni,"Benignus of Dijon, Martyr"
4330,14110150,Licinii,"Licinius, Confessor, Bishop of Angers"
4265,14110160,Austremonii,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
4172,14111010,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor"
1674,14111101,Dom. p. Martini,Sunday after Martin
4190,14112010,Felicis Valesius,"Felix of Valois, Confessor, Founder of the Trinitarians"
2734,14120100,Eligii,"Eligius (Eloi), Bishop of Noyon"
4272,14120110,Candidi,"Candidus, Martyr, at Innichen, diocese of Brixen, Tyrol"
2763,14120901,Transl. Patrocli,Moving of Patroclus' relics (Muenster)
4557,14121010,Eulaliae Emeritensis,"Eulalia of Mérida, Virgin Martyr"
4618,14122010,Dominici Silensis,"Dominic of Silos, Abbot"
2753,14123010,Perpetui,"Perpetuus, Bishop of Tours"
2062,15001000,Suff. pro Pace,Memorial chants for peace
2063,15001080,Suff. pro Pace TP,"Memorial chants for peace, Eastertide"
1557,15008010,De BMV Adv.,"Votive Office for Mary, Advent"
4341,15009010,Missa votiva omnimoda,Votive Mass
4344,15009011,Missa votiva singularis,Votive Mass on behalf of one person
4342,15009012,Missa votiva pluralis,Votive Mass on behalf of several people
2070,15010000,Suff. Virginum,Memorial chants for Virgins
2031,15010300,Suff. Genovefae,Memorial chants for Genevieve
4287,15011000,De Sancta Cruce,"Votive Mass/Office for the Holy Cross, including e.g. Missa Votiva de Sancta Cruce. Fer. VI."
2019,15012100,Suff. Agnetis,Memorial chants for Agnes
2028,15030100,Suff. David,Memorial chants for David
2055,15110100,Suff. Om. Sanctorum,Memorial chants for All Saints
2052,15110110,Suff. Om. Sanct. Adv,"Memorial chants for All Saints, Advent"
2053,15110130,Suff. Om. Sanct. Nat,"Memorial chants for All Saints, Christmas"
2054,15110180,Suff. Om. Sanct. TP,"Memorial chants for All Saints, Eastertide"
1471,16001000,Ad Benedicite,Antiphons for the Benedicite canticle
1470,16010000,Ad aquam benedictio,Chants for the blessing of water
1922,16011000,In Dedic. Altaris,Commemoration of an Altar's Dedication
1476,16012000,Ad Missam,Mass chants appearing as a group
4549,16012700,Missa in dominicis diebus,Mass on Sundays
1480,16013000,Ad visitandum infirmum,Chants for the visiting of the sick
4353,16013010,Ordo ad visitandum vel perunguendum infirmum,Rite for the visiting or anointing of the sick
4388,16013020,Pro uno infirmo,Chants for one who is sick
4375,16013030,Pro infirmis,Chants for many who are sick
1876,16014000,Festi 9 lectionum,Feasts of nine lessons
1878,16014008,"Festi 9 lectionum,8",In week after feasts of nine lessons
1877,16014080,Festi 9 lectionum TP,Feasts of nine lessons in Eastertide
1885,16015000,De festis semiduplicibus,Chants for feasts of semiduplex rank
