id,name,description,feast_code,month,day
4174,Anselmi,"Anselm, Bishop, Confessor, Doctor of the Church",14042100,4,21
2186,Ansgarii,"Anskar, Bishop and Confessor",14020310,2,3
1487,Antiphonae Majores,Great 'O' Antiphons,01048010,,
2119,Antonii,"Antony, Abbot",14011700,1,17
4175,Antonii Mariae Claret,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary",14102330,10,23
4176,Antonii Mariae Zaccaria,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)",14070500,7,5
2313,Antonii Patavini,"Anthony of Padua, Doctor",14061300,6,13
2519,Antonini,"Antoninus, Martyr",14090200,9,2
4177,Antonini Episcopi,"Antoninus, Archbishop of Florence",14051010,5,10
2363,Apollinaris,"Apollinaris, Bishop of Ravenna",14072320,7,23
4178,Apolloniae,"Apollonia, Virgin Martyr",14020900,2,9
2259,Appar. Michaelis,Appearing of Michael the Archangel,14050800,5,8
2120,"Aquilae, Priscae","Aquila and Prisca, Virgin Martyrs",14011810,1,18
4613,Arbogasti Argentoratensis,"Arbogast, Bishop of Strasbourg",14072120,7,21
4553,Aredii Nivernensis,"Aredius (Aregius, Arigius, Agricius, Aré) of Nevers, Bishop",14081660,8,16
2438,Arnulfi,"Arnulf, Bishop of Metz",14081600,8,16
2364,Arnulfi Metensis,"Arnulfus (Arnoul), Bishop of Metz",14071810,7,18
1489,Ascensio Domini,Ascension Thursday,08065000,,
1490,"Ascensio Domini,8",In week after Ascension,08065008,,
4206,"Ascensionis Domini, in vigilia",Eve of Ascension,08064001,,
2439,Assumptio Mariae,Assumption of Mary,14081500,8,15
1491,"Assumptio Mariae,8",In week after Assumption of Mary,14081508,,
2260,Athanasii,"Athanasius, Archbishop of Alexandria",14050200,5,2
4611,Attalae,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen",14120310,12,3
2723,Auberti,"Aubert (Aubertus), Bishop of Cambrai",14121310,12,13
2440,Audoeni,"Audoenus (Ouen), Bishop of Rouen",14082410,8,24
2520,Audomari,"Audomarus (Omer), Bishop",14090920,9,9
2441,Augustini,"Augustine, Bishop and Doctor",14082800,8,28
2261,Augustini Cant.,"Augustine (Austin), of Canterbury",14052610,5,26
4528,"Augustini, conv.","Conversion of Augustine, Bishop and Doctor",14050510,5,5
1492,"Augustini,8",In week after Augustine,14082808,,
2585,Aureae,"Aurea, Abbess in Paris",14100410,10,4
4554,Aureae Ostiensis,Aurea (Chryse) of Ostia,14082430,8,24
4614,Aureliae Argentoratensis,"Aurelia, Virgin (4th century)",14101510,10,15
4265,Austremonii,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne",14110160,,
4489,Aviti,"Avitus, Abbot and Confessor, born at Aurillac",14061720,6,17
4183,BMV Immaculatae a Sacro Numismate,Our Lady of the Miraculous Medal,14112700,11,27
4179,BMV a Rosario,Our Lady of the Rosary,14100730,10,7
4267,BMV ab Exilio,Our Lady of Exile (on the third Sunday after Epiphany),15031050,,
4180,BMV de Bono Consilio,Our Lady of Good Counsel,14042600,4,26
4181,BMV de Guadalupe,Our Lady of Guadalupe,14121210,12,12
4268,BMV de Monte Carmelo,Our Lady of Mount Carmel,14071610,,
4182,BMV de Perpetuo Succursu,Our Lady of Perpetual Help,14062730,6,27
2314,Baboleni,"Babolenus, Abbot",14062610,6,26
4601,Babylae,"Babylas, Martyr, 12th Bishop of Antioch",14012420,1,24
4602,Babylae Pampilonensis,"Babylas, Bishop of Pamplona",14103020,10,30
2442,Balbinae,"Balbina, Virgin Martyr",14082850,8,28
2121,Balthildis,"Balthildis (Bathildis), Queen",14013010,1,30
2724,Barbarae,"Barbara, Virgin Martyr",14120400,12,4
2187,Barbati,"Barbatus (Barbas), Bishop of Benevento",14021900,2,19
2315,Barnabae,"Barnabas, Apostle",14061100,6,11
2443,Bartholomaei,"Bartholomew, Apostle",14082400,8,24
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon",14051320,5,13
2316,Basilidis et Soc.,"Basilides and Companions, Martyrs",14061200,6,12
2122,Basilii,"Basil of Ancyra, Martyr",14010200,1,2
2317,"Basilii, Doct.","Basil the Great, Doctor",14061400,6,14
4608,Bavonis,"Bavo (Aldowin, Allowin) of Ghent",14100140,10,1
2262,Bedae,"The Venerable Bede, Doctor",14052600,5,26
2586,Benedictae,"Benedicta, Virgin Martyr",14100810,10,8
2213,Benedicti,"Benedict, Abbot",14032100,3,21
2214,Benedicti TP,"Benedict, Eastertide",14032180,3,21
1493,"Benedicti, Fer.3","Benedict, for Tuesday within the octave",14032103,,
1494,"Benedicti,8",In week after Benedict,14032108,,
4445,Benedictio crucis,Chants for the blessing of the cross,16048000,,
4533,Benedicti Anianensis,,14021100,2,11
2663,Benigni,"Benignus of Dijon, Martyr",14110140,11,1
2444,Bernardi,"Bernard, Abbot and Doctor",14082010,8,20
1495,"Bernardi,8",In week after Bernard,14082018,,
4266,Bernardini Senensis,"Bernardinus degl' Albizzeschi of Siena, Confessor",14052010,,
4534,"Bernardini Senensis, transl.",Moving of relics of Bernardinus degl' Albizzeschi of Siena,14051710,5,17
4555,Bernwardi Episcopi Hildesheimensis,"Bernward, Bishop of Hildesheim",14112020,11,20
2587,Birgittae,"Bridget of Sweden, Matron",14100840,10,8
2188,Blasii,"Blaise, Bishop of Sebastea, Martyr",14020300,2,3
1496,"Blasii,8",In week after Blaise,14020308,,
4184,Bonaventurae,"Bonaventure, Bishop, Confessor, Doctor of the Church",14071420,7,14
2318,Bonifacii,"Boniface, Archbishop and Martyr",14060500,6,5
2826,Bonifatii Martyris,,,5,14
4269,Bononii,"Bononius, Abbot, Disciple of Romuald",14083010,,
2365,Botuidi,"Botwid, Martyr",14072820,7,28
4270,Botulphi,"Botulph, Abbot, founder of Ikanhoe monastery",14061710,,
2664,Briccii,"Brice, Bishop of Tours",14111300,11,13
4271,"Briccii,8",In week after Brice,14111308,,
2189,Brigidae,"Brigid (Bride), Abbess",14020100,2,1
4536,Brunonis Abbatis,"Bruno, Abbot, Founder of the Carthusian Order",14100610,10,6
2660,Burchardi,"Burchard (Burkhard), Bishop and Confessor",14101410,10,14
2665,Caeciliae,"Cecilia (Cecily), Virgin Martyr",14112200,11,22
1497,"Caeciliae,8",In week after Cecilia,14112208,,
4537,Caesarii Arelatensis,"Caesarius, Archbishop of Arles",14082700,8,27
2666,"Caesarii, Juliani","Caesarius and Julian, Martyrs",14110130,11,1
2588,Callisti,"Callistus (Calixtus) I, Pope",14101400,10,14
4551,Camilli de Lellis,"Camillus de Lellis, Confessor, Founder of the Canons Regular of a Good Death (Infirmis Ministrantium)",14071820,7,18
4272,Candidi,"Candidus, Martyr, at Innichen, diocese of Brixen, Tyrol",14120110,,
4556,Canici,"Cainnech of Aghaboe (Canice, Cannicus, Kenneth, Kenny), Abbot",14101140,10,11
2263,Cantiorum,"Cantius, Cantianus and Cantianilla, Martyrs",14053100,5,31
4273,"Caprasii, Abb.","Caprasius, Abbot of Lerins",14060110,,
4274,"Caprasii, Mart.","Caprasius, Martyr, of Agen",14102000,,
2264,Carauni,"Caraunus, Deacon and Martyr",14052810,5,28
4275,Castuli,"Castulus, Martyr",14032610,,
2667,Catharinae,"Catherine of Alexandria, Martyr",14112500,11,25
4276,Catharinae Bononiensis,"Catharine of Bologna, Poor Clare and mystical writer (canonized 1712)",14030920,,
4277,Catharinae Senensis,Catherine of Siena,14042920,,
2190,Cathedra Petri,Peter's Chair,14022200,2,22
4588,Celsi Treverensis,"Celsus, Confessor, reputed 5th Bishop of Trier (Treves)",14010400,1,4
4589,"Celsi Treverensis, invent.",Finding of Celsus of Trier's relics (in 980),14022320,2,23
2123,"Celsi, Juliani","Celsus and Julian, Martyrs",14010900,1,9
2521,Chlodoaldi,"Chlodoaldus (Cloud), Frankish prince",14090720,9,7
4526,Chlotildis Regina,"Chlothildis (Clotilda, Clotilde), Queen of France",14060310,6,3
2366,Christinae,"Christina, Virgin Martyr",14072400,7,24
2367,Christophori,"Christopher, Martyr",14072510,7,25
2668,"Chrysanthi, Dariae","Chrysanthus, Daria, Maurus, Martyrs",14112910,11,29
2669,Chrysogoni,"Chrysogonus, Martyr",14112400,11,24
4223,Circumcisio Domini,The circumcision of Christ,02010110,1,1
2445,Clarae,"Clare of Assisi, Foundress",14081200,8,12
4322,"Clarae, inventio",The finding of Clare's relics,14092310,9,23
4490,"Claudii commentariensis, Symphoriani, Nicostrati et sociorum","Claudius, his sons Felicissimus and Symphorianus, his brother Victorinus, and Castor the brother of the jailer Nicostratus, Roman Martyrs",14070740,7,7
2670,Clementis,"Clement I, Pope and Martyr",14112300,11,23
4463,Clementis Metensis,"Clement, first Bishop of Metz",14112340,11,23
1498,"Clementis,8",In week after Clement,14112308,,
2522,Cleophae,"Cleophas, father of James the Less",14092510,9,25
2589,Colomanni,"Coloman, Martyr",14101320,10,13
2725,Columbae,"Columba of Sens, Virgin Martyr",14123110,12,31
2671,Columbani,"Columbanus (Columban), Abbot",14112330,11,23
1500,Comm. Apostolorum,Common of Apostles,12001000,,
1501,Comm. Apostolorum TP,"Common of Apostles, Eastertide",12801000,,
1502,Comm. Apostolorum TQ,"Common of Apostles, Lent",12701000,,
2109,Comm. Apostolorum et Evangelistarum,Common of Apostles and Evangelists,12019000,,
1499,Comm. Apostolorum post Septuagesima,"Common of Apostles, after Septuagesima",12601000,,
1488,Comm. Apostolorum sive Martyrum TP,"Common of Apostles or Martyrs, Eastertide",12801100,,
1503,"Comm. Apostolorum,8","Common of Apostles, in week of",12001008,,
1506,Comm. Conjungium,Common of Holy Matrons,12012000,,
1505,Comm. Conjungium Martyrum,Common of Holy Matron Martyrs,12012200,,
1504,Comm. Conjungium non Martyrum,Common of Holy Matrons (not Martyrs),12012100,,
1508,Comm. Evangelistarum,Common of Evangelists,12011000,,
2093,Comm. Evangelistarum TP,"Common of Evangelists, Eastertide",12811000,,
1547,Comm. Pontificis,Common of Popes,12018000,,
1548,Comm. Regum,Common of Kings,12009000,,
1507,Comm. duorum Apostolorum,Common of two Apostles,12001200,,
4278,Comm. plurimorum Apostolorum in vigilia,Eve of Apostles,12001010,,
1512,Comm. plurimorum Confessorum,Common of several Confessors,12005000,,
1511,Comm. plurimorum Confessorum Pontificum,Common of several Confessors (Popes),12005100,,
1509,Comm. plurimorum Confessorum TP,"Common of several Confessors, Eastertide",12805000,,
1510,Comm. plurimorum Confessorum et Doctorum,Common of several Confessors (Doctors),12005300,,
1535,Comm. plurimorum Confessorum non Pontificum,Common of several Confessors (not Popes),12005200,,
1534,Comm. plurimorum Confessorum non Pontificum TP,"Common of several Confessors (not Popes), Eastertide",12805200,,
1513,Comm. plurimorum Martyrum,Common of several Martyrs,12003000,,
1514,Comm. plurimorum Martyrum TP,"Common of several Martyrs, Eastertide",12803000,,
4465,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs,12003010,,
4467,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs,12003010,,
4466,Comm. plurimorum Martyrum in vigilia,Eve of several Martyrs,12003010,,
4279,Comm. plurimorum Martyrum non Virginum,Common of several Martyrs (not Virgins),12003100,,
1515,"Comm. plurimorum Martyrum,8","Common of several Martyrs, in week of",12003008,,
1531,Comm. plurimorum Virginum,Common of several Virgins,12006000,,
1530,Comm. plurimorum Virginum Martyrum,Common of several Virgin Martyrs,12006100,,
1532,Comm. plurimorum Virginum TP,"Common of several Virgins, Eastertide",12806000,,
4280,Comm. plurimorum Virginum in vigilia,Eve of several Virgins,12006010,,
4472,Comm. plurimorum Virginum non Martyrum,Common of several Virgins (not Martyrs),12006200,,
1522,Comm. unius Abbatis,Common of one Abbot,12010000,,
1523,Comm. unius Apostoli,Common of one Apostle,12001100,,
4281,Comm. unius Apostoli in vigilia,Eve of one Apostle,12001110,,
1524,Comm. unius Confessoris,Common of one Confessor,12004000,,
1516,Comm. unius Confessoris Abbatis,Common of one Confessor (Abbot),12004200,,
1519,Comm. unius Confessoris Pontificis,Common of one Confessor (Pope),12004100,,
1541,Comm. unius Confessoris Pontificis TP,"Common of one Confessor (Pope), Eastertide",12804100,,
1525,Comm. unius Confessoris TP,"Common of one Confessor, Eastertide",12804000,,
1517,Comm. unius Confessoris et Doctoris,Common of one Confessor (Doctor),12004500,,
1533,Comm. unius Confessoris et Doctoris non Pontificis,"Common of one Confessor (Doctor, not Pope)",12004800,,
1518,Comm. unius Confessoris et Episcopi,Common of one Confessor (Bishop),12004300,,
1540,"Comm. unius Confessoris et Episcopi,8","Common of one Confessor (Bishop), in week of",12004308,,
1537,Comm. unius Confessoris non Episcopus,Common of one Confessor (not Bishop),12004400,,
1538,Comm. unius Confessoris non Pontificis,Common of one Confessor (not Pope),12004700,,
1536,Comm. unius Confessoris non Pontificis TP,"Common of one Confessor (not Pope), Eastertide",12804700,,
1539,Comm. unius Confessoris non Sacerdotis,Common of one Confessor (not Priest),12004600,,
1526,Comm. unius Martyris,Common of one Martyr,12002000,,
1520,Comm. unius Martyris Pontificis,Common of one Martyr (Pope),12002100,,
1527,Comm. unius Martyris TP,"Common of one Martyr, Eastertide",12802000,,
4283,Comm. unius Martyris in vigilia,Eve of one Martyr,12002010,,
1542,Comm. unius Martyris non Pontificis,Common of one Martyr (not Pope),12002200,,
4471,Comm. unius Martyris non Pontificis TP,"Common of one Martyr (not Pope), Eastertide",12802200,,
4284,Comm. unius Martyris non Virginis,Common of one Martyr (not Virgin),12002300,,
1528,Comm. unius Virginis,Common of one Virgin,12007100,,
1521,Comm. unius Virginis Martyris,Common of one Virgin Martyr,12007000,,
1529,Comm. unius Virginis TP,"Common of one Virgin, Eastertide",12807100,,
1543,Comm. unius Virginis non Martyris,Common of one Virgin (not Martyr),12007200,,
4282,Comm. unius electae,"Common of those chosen (not Virgins, not Martyrs)",12022000,,
1544,Commem. Dom. Res.,Commemoration of Easter (last Sunday before Advent),09991000,,
4285,Commem. Francisci,The commemoration of Francis of Assisi; anniversary of religious profession;&nbsp; anniversary of Papal approval for the first Franciscan Rule,14041600,,
1545,Commendat. Animae,Chants for the commendation of souls,13002000,,
1546,Commune BMV,Common chants for Mary,12000000,,
1549,Compassio Mariae TP,"The Sorrows of Mary, celebrated Friday after third Sun. after Easter",08046010,,
2523,Conceptio Jo. Bapt.,The conception of John the Baptist,14092430,9,24
2726,Conceptio Mariae,Immaculate Conception of Mary,14120800,12,8
1550,Conductus,Conductus,16008000,,
2672,Conradi,"Conrad, Bishop of Constance",14112620,11,26
2115,Constantii,"Constantius, Bishop of Perugia",14012920,1,29
2319,"Constantini, Peregr.","Constantine and Peregrine, Bishops",14061540,6,15
2590,Conversio Afrae,Conversion of Afra,14102610,10,26
2124,Conversio Pauli,Conversion of Paul,14012500,1,25
2524,Corbiniani,"Corbinianus, Abbot and Bishop",14090820,9,8
2525,"Cornelii, Cypriani","Cornelius and Cyprian, Martyrs",14091600,9,16
2265,Coronae,"Corona, Martyr",14051420,5,14
1551,Corporis Christi,"Corpus Christi (also ""Blessed Sacrament"")",09015000,,
1552,"Corporis Christi,8",In week after Corpus Christi,09015008,,
2526,"Cosmae, Damiani","Cosmas and Damian, Martyrs",14092700,9,27
2591,"Crispini,Crispiniani","Crispin and Crispinian, Martyrs",14102500,10,25
2368,Cucuphatis,"Cucuphas, Martyr",14072530,7,25
2673,Cuniberti,"Cunibertus (Quinibert), Bishop of Cologne",14111210,11,12
2215,Cuthberti,"Cuthbert, Bishop of Lindisfarne",14032000,3,20
2446,Cuthburgae,"Cuthberga, First Abbess of Wimborne",14083120,8,31
2125,"Cyri, Joannis","Cyrus and John, Martyrs",14013100,1,31
2447,Cyriaci et Soc.,"Cyriacus and Companions, Martyrs",14080800,8,8
2320,Cyrici,"Cyricus and Julitta, Martyrs",14061600,6,16
1553,"Cyrici,8",In week after Cyricus,14061608,,
4185,Cyrilli Alexandrini,"Cyril (Cyrillus), Confessor, Patriarch of Alexandria and Doctor of the Church",14012820,1,28
2727,Damasi,"Damasus, Pope",14121100,12,11
2216,David,"David of Wales, Monk and Bishop",14030110,3,1
1554,De Angelis,"Memorial chants for Angels, including e.g. Missa Votiva de Angelis. Feria III.",12013000,,
1555,De Angelis TP,"Memorial chants for Angels, Eastertide",12813000,,
1556,De BMV,Votive Office for Mary,15008000,,
1557,De BMV Adv.,"Votive Office for Mary, Advent",15008010,,
1558,De BMV Nat.,"Votive Office for Mary, Christmas",15008030,,
1563,De BMV TP,"Votive Office for Mary, Eastertide",15008080,,
1559,De BMV post Ascen.,"Votive Office for Mary, after Ascension",15008110,,
1560,De BMV post Epiph.,"Votive Office for Mary, after Epiphany",15008050,,
1561,De BMV post Pent.,"Votive Office for Mary, after Pentecost",15008090,,
1562,De BMV post Purif.,"Votive Office for Mary, after Purification",15008100,,
1564,De Esdras,"Summer Histories, from Esdras",10700000,,
1565,De Esther,"Summer Histories, from Esther",10600000,,
2674,De Imagine Domini,The Icon of our Lord Saviour,14110900,11,9
1566,De Job,"Summer Histories, from Job",10300000,,
1567,De Judith,"Summer Histories, from Judith",10500000,,
1568,De Machabaeis,"Summer Histories, from Maccabees",10800000,,
4186,De Patriarchis,"Memorial chants for Patriarchs (Abraham, Isaac, Jacob)",12020000,,
1569,De Patronis,Memorial chants for Patrons,12014000,,
1570,De Plur. Sanctis TP,"Common of several Saints, Eastertide",12815100,,
1571,De Prophetis,"Summer Histories, from the Prophets",10900000,,
1572,De Regum,"Summer Histories, from Kings",10100000,,
4287,De Sancta Cruce,"Votive Mass/Office for the Holy Cross, including e.g. Missa Votiva de Sancta Cruce. Fer. VI.",15011000,,
1573,De Sancta Lancea,The Holy Lance; on the Friday after the Octave of Easter,08026010,,
1574,De Sanctis,Memorial chants for Saints,12015000,,
1575,De Sanctis TP,"Common of Saints, Eastertide",12815000,,
1576,De Sapientia,"Summer Histories, from Wisdom",10200000,,
4288,De Spiritu Sancto,"Votive Mass/Office for the Holy Spirit, including, e.g. Missa Votiva de Spiritu Sancto. Feria V.",15002000,,
1577,De Tobia,"Summer Histories, from Tobias",10400000,,
1578,De Trinitate,Trinity Sunday,09011000,,
1579,"De Trinitate,8",In the week after Trinity Sunday,09011008,,
4187,De Viduarum,Memorial chants for widows,12021000,,
4506,De allatione reliquiarum in ecclesia Pragensis,"Showing of relics in St Vitus's Cathedral, Prague",14010210,1,2
4286,De caritate,Chants for charity,16025000,,
4443,De consecratione caemeteriorum,For the consecration of cemeteries,16046000,,
4616,De corona domini,Crown of the Lord,14050430,5,4
2448,De corona spinea,Commemoration of the Crown of Thorns,14081120,8,11
1881,De festis duplicibus,Chants for feasts of duplex rank,16016000,,
1882,De festis duplicibus majoribus,Chants for feasts of duplex major rank,16016002,,
1879,De festis duplicibus majoribus TP,Chants for feasts of duplex major rank in Eastertide,16016082,,
1883,De festis duplicibus minoribus,Chants for feasts of duplex minor rank,16016001,,
1880,De festis duplicibus minoribus TP,Chants for feasts of duplex minor rank in Eastertide,16016081,,
1885,De festis semiduplicibus,Chants for feasts of semiduplex rank,16015000,,
1884,De festis semiduplicibus TP,Chants for feasts of semiduplex rank in Eastertide,16015080,,
2863,De festis simplicibus,Chants for feasts of simple rank,16039000,,
4550,De festis sollemnibus,Chants for solemn feasts,16051000,,
4442,De quinque vulneribus Christi,The Five Wounds of Christ (celebrated on the Friday after the octave of Corpus Christi in Mainz and on a variety of other days in different locations),09026000,,
4508,De secunda allatione reliquiarum in ecclesia Pragensis,"A second showing of relics in St Vitus's Cathedral, Prague",14010820,1,8
4289,De uno defuncto,For one dead person,13009000,,
4586,De victoriae christianorum apud Salado,"Commemoration of the victory of the Christians at the Battle of Rio Salado (also known as the Battle of Tarifa), 30 October 1340",14103010,10,30
4290,Decem Millium Martyrum,Ten Thousand Martyrs (crucified on Mount Ararat),14062240,,
2369,Decoll. Antonini,Beheading of Antoninus,14070410,7,4
2449,Decoll. Jo. Bapt.,Beheading of John the Baptist,14082900,8,29
2592,Ded.Mont.S.Michaelis,Dedication of Mont-Saint-Michel,14101630,10,16
2675,Dedic. Bas. S. Petri,"Dedication of Saint Peter's, Rome",14111820,11,18
2676,Dedic. S. Salvatoris,Dedication of Saint Saviour's,14110940,11,9
2593,"Dedic. S.Salv., Mar.","Dedication of the Church of the Holy Saviour, St. Martial (Limoges)",14101340,10,13
2594,Demetrii,"Demetrius, Martyr",14100850,10,8
2527,Depositio Emerici,"Commemoration of the Burial of Emeric, Confessor, Son of King Stephen of Hungary",14090210,9,2
2231,Depositio Ludgeri,Commemoration of the Burial of Ludger,14042420,4,24
4497,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres",14052300,5,23
2851,Didaci Confessoris,,,11,13
2450,Die 2 p. Assump.,First day after Assumption of Mary,14081620,8,16
2126,Die 2 p. Epiphaniam,"1st day after Epiphany (2nd day ""of"" Epiphany)",05010700,1,7
2728,Die 3 a. Nat. Domini,The third day before Christmas,02122300,12,23
2451,Die 3 p. Assump.,Second day after Assumption of Mary,14081720,8,17
2127,Die 3 p. Epiphaniam,"2nd day after Epiphany (3rd day ""of"" Epiphany)",05010800,1,8
2452,Die 4 p. Assump.,Third day after Assumption of Mary,14081820,8,18
2128,Die 4 p. Epiphaniam,"3rd day after Epiphany (4th day ""of"" Epiphany)",05010900,1,9
2729,Die 5 a. Nat. Domini,The fifth day before Christmas,02122100,12,21
2453,Die 5 p. Assump.,Fourth day after Assumption of Mary,14081910,8,19
2129,Die 5 p. Epiphaniam,4th day after Epiphany (5th day of Epiphany),05011000,1,10
2730,Die 5 p. Nat. Domini,4th day after Christmas,02122900,12,29
2454,Die 6 p. Assump.,Fifth day after Assumption of Mary,14082020,8,20
2130,Die 6 p. Epiphaniam,"5th day after Epiphany (6th day ""of"" Epiphany",05011100,1,11
2731,Die 6 p. Nat. Domini,5th day after Christmas,02123000,12,30
2455,Die 7 p. Assump.,Sixth day after Assumption of Mary,14082100,8,21
2131,Die 7 p. Epiphaniam,"6th day after Epiphany (7th day ""of"" Epiphany)",05011200,1,12
2732,Die 7 p. Nat. Domini,6th day after Christmas,02123100,12,31
2595,Dionysii,"Denis (Dionysius), Bishop of Paris",14100900,10,9
1580,"Dionysii,8","In week after Denis, Bishop of Paris",14100908,,
4188,Disibodi,"Disibod, Bishop and Patron of Disibodenberg",14090840,9,8
2370,Divisio Apostolorum,Sending forth of the Apostles,14071510,7,15
1581,Dom. 1 Adventus,1st Sunday of Advent,01011000,,
1585,Dom. 1 Quadragesimae,1st Sunday of Lent,07011000,,
1583,"Dom. 1 p. Epiph.,8",In the week following the 1st Sunday after Epiphany,05011018,,
