id,title,institution_siglum,shelfmark,provenance_notes
702211,"São Leopoldo, UNISINOS Memorial Jesuíta, 330976",BR-SLUN,330976,
702208,"São Leopoldo, UNISINOS Memorial Jesuíta, 340723 Front Pastedown",BR-SLUN,340723 Front Pastedown,
123723,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu,M2149.L4 1554,
123619,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), M2150",CDN-Lu,M2150,
1000021,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), manuscript MS101 Toswell",CDN-Lu,manuscript MS101 Toswell,
710654,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), no shelf-mark yet",CDN-Lu,no shelf-mark yet,
675683,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0018",CDN-Mlr,MS Medieval 0018,
693397,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0020",CDN-Mlr,MS Medieval 0020,
691957,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0021",CDN-Mlr,MS Medieval 0021,
693447,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0024",CDN-Mlr,MS Medieval 0024,
693486,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0025",CDN-Mlr,MS Medieval 0025,
693504,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0064",CDN-Mlr,MS Medieval 0064,
693507,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0065",CDN-Mlr,MS Medieval 0065,
693510,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0072",CDN-Mlr,MS Medieval 0072,
680970,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0073",CDN-Mlr,MS Medieval 0073,
691955,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0078",CDN-Mlr,MS Medieval 0078,
691953,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0080",CDN-Mlr,MS Medieval 0080,
693516,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0081",CDN-Mlr,MS Medieval 0081,
693548,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0086",CDN-Mlr,MS Medieval 0086,
693551,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0087",CDN-Mlr,MS Medieval 0087,
693560,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0088",CDN-Mlr,MS Medieval 0088,
693562,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0089",CDN-Mlr,MS Medieval 0089,
693565,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0092",CDN-Mlr,MS Medieval 0092,
693577,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0093",CDN-Mlr,MS Medieval 0093,
676545,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0111",CDN-Mlr,MS Medieval 0111,
693578,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0169",CDN-Mlr,MS Medieval 0169,
693585,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0170",CDN-Mlr,MS Medieval 0170,
702451,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0171",CDN-Mlr,MS Medieval 0171,
693590,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0172",CDN-Mlr,MS Medieval 0172,
693601,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0176",CDN-Mlr,MS Medieval 0176,
693615,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0184",CDN-Mlr,MS Medieval 0184,
693636,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0186",CDN-Mlr,MS Medieval 0186,
693642,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0204",CDN-Mlr,MS Medieval 0204,
693647,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0205",CDN-Mlr,MS Medieval 0205,
693648,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0206",CDN-Mlr,MS Medieval 0206,
693659,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0207",CDN-Mlr,MS Medieval 0207,
693660,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0208",CDN-Mlr,MS Medieval 0208,
693666,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0209",CDN-Mlr,MS Medieval 0209,
693669,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0210",CDN-Mlr,MS Medieval 0210,
693680,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0211",CDN-Mlr,MS Medieval 0211,
693689,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0212",CDN-Mlr,MS Medieval 0212,
693724,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0215",CDN-Mlr,MS Medieval 0215,
693727,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0216",CDN-Mlr,MS Medieval 0216,
693732,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0217",CDN-Mlr,MS Medieval 0217,
693736,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0218",CDN-Mlr,MS Medieval 0218,
693740,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0219",CDN-Mlr,MS Medieval 0219,
693748,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0220",CDN-Mlr,MS Medieval 0220,
693768,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0221",CDN-Mlr,MS Medieval 0221,
693771,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0222",CDN-Mlr,MS Medieval 0222,
693792,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0231",CDN-Mlr,MS Medieval 0231,
678936,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0234",CDN-Mlr,MS Medieval 0234,
693946,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0007",CDN-Mlr,MS Medieval 0237,
1000102,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0239",CDN-Mlr,MS Medieval 0239,
1000105,,CDN-Mlr,MS Medieval 0239 early layer,
1000106,,CDN-Mlr,MS Medieval 0239 late layer,
666846,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 1",CDN-Oc,ms. 1,
666847,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 2",CDN-Oc,ms. 2,
687359,"Quebec, Séminaire de Québec, Le Paroissien Noté",CDN-Qsl,Le Paroissien Noté,
1000020,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 394",CDN-STCbul,RG 394,Spain?
1000025,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 396",CDN-STCbul,RG 396,Spain?
694888,"Toronto, University of Toronto - Thomas Fisher Rare Book Library, MSS 09700",CDN-Ttfl,MSS 09700,
706646,"Toronto, Faculty of Music Library, musi MSS 0019",CDN-Tu,musi MSS 0019,
700992,"Winnipeg (Manitoba), University of Manitoba Libraries - The Dysart Memorial Collection, MS 1",CDN-W,MS 1,
703559,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Book A",CDN-WAdl,MS Book A,
702547,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 01",CDN-WAdl,MS Medieval 01,
703575,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 02",CDN-WAdl,MS Medieval 02,
589057,"Waterloo, Wilfrid Laurier University Library, M2142.L2 N6 RB88",CDN-WAwlul,M2142.L2 N6 RB88,
710973,"Bourg-Saint-Pierre, Hospice du Grand-Saint-Bernard - Bibliothèque, MS 7",CH-BSPh,MS 7,Made for the monastery of the Grand-Saint-Bernard
710710,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 74",CH-CObodmer,Cod. Bodmer 74,
123606,"Einsiedeln, Stiftsbibliothek, 611",CH-E,611,
666647,"Einsiedeln, Stiftsbibliothek, Codex 121",CH-E,Codex 121,
1000101,"Engelberg, Stiftsbibliothek, 1003",CH-EN,1003,
1000091,"Engelberg, Stiftsbibliothek, 102",CH-EN,102,
1000080,"Engelberg, Stiftsbibliothek, 314",CH-EN,314,
123725,"Engelberg, Benediktinerkloster - Stiftsbibliothek, Cod. 103",CH-ENstb,Cod. 103,
123672,"Fribourg, Bibliothèque des Cordeliers, Ms. 2",CH-Fco,Ms. 2,
675783,"Fribourg, Bibliothèque des Cordeliers, Ms. 9",CH-Fco,Ms. 9,
638308,"Porrentruy, Bibliothèque cantonale jurassienne, 18",CH-P,18,
701771,"Romont, Abbaye de la Fille-Dieu Romont, Ms. liturg. FiD 1, flyleaves",CH-ROM,"Ms. liturg. FiD 1, flyleaves",
123750,"Sankt-Gallen, Stiftsbibliothek, 388",CH-SGs,388,
123717,"Sankt-Gallen, Stiftsbibliothek, 390",CH-SGs,390,
123718,"Sankt-Gallen, Stiftsbibliothek, 391",CH-SGs,391,
701188,"Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 340, flyleaf",CH-SGs,"Cod. Sang. 340, flyleaf",
672485,"Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 359",CH-SGs,Cod. Sang. 359,
123731,"Zürich, Zentralbibliothek, Rh. 80",CH-Zz,Rh. 80,
123760,"Brno, Moravská zemská knihovna v Brně, Rajhrad 387",CZ-Bu,Rajhrad 387,
123746,"Hradec Králové, Muzeum Východních Čech v Hradci Králové, Antiphonary II A 1",CZ-HKm,Antiphonary II A 1,
649450,"Prague, Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7",CZ-Pst,DE I 7,
706031,"Prague, Národní knihovna České republiky (National Library), I G 17",CZ-Pu,I G 17,
1000107,,CZ-Pu,VI G 10a,
123727,"Prague, Národní knihovna České republiky (National Library), VI.E.4c",CZ-Pu,VI.E.4c,
1000126,,CZ-Pu,VII G 16,
588729,"Prague, University Library, XI C 3",CZ-Pu,XI C 3,
1000005,"Prague, University Library, XI C 3",CZ-Pu,XI C 3,"Prague, St. George monastery"
123735,"Prague, Národní knihovna České republiky (National Library), XIII.C.4",CZ-Pu,XIII.C.4,
123730,"Prague, Národní knihovna České republiky (National Library), XIV.B.13",CZ-Pu,XIV.B.13,
123714,"Aachen (Aix-la-Chapelle), Domarchiv, G 20",D-AAm,G 20,
123688,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. 40047",D-B,Mus. 40047,
713701,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. ms. 40 222",D-B,Mus. ms. 40 222,
704091,"Bamberg, Staatsbibliothek, Msc.Bibl.79",D-BAs,Msc.Bibl.79,
123594,"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)",D-BAs,Msc.Lit.25 (olim Ed.IV.11),
588716,"Bamberg, Staatsbibliothek, Msc.Lit.27",D-BAs,Msc.Lit.27,
123685,"Fulda, Hessische Landesbibliothek, Aa 55",D-FUl,Aa 55,
682632,"Göttingen, Stadtarchiv, AB III 9",D-Gsta,AB III 9,
123612,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. LX",D-KA,Aug. LX,
601861,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161",D-KNd,1161,
123741,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 215",D-KNd,215,
641834,"Leipzig, Universitätsbibliothek, Rep. I 93",D-LEu,Rep. I 93,
123620,"Mainz, Bischöfliches Dom- und Diözesanmuseum, A",D-MZb,A,
123621,"Mainz, Bischöfliches Dom- und Diözesanmuseum, B",D-MZb,B,
123622,"Mainz, Bischöfliches Dom- und Diözesanmuseum, C",D-MZb,C,
123623,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D",D-MZb,D,
123624,"Mainz, Bischöfliches Dom- und Diözesanmuseum, E",D-MZb,E,
123673,"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1",D-Ma,12o Cmm 1,
123770,"München, Bayerische Staatsbibliothek, Clm 19162",D-Mbs,Clm 19162,Tegernsee Passionale
123681,"München, Bayerische Staatsbibliothek, Clm 4303",D-Mbs,Clm 4303,
123682,"München, Bayerische Staatsbibliothek, Clm 4304",D-Mbs,Clm 4304,
123683,"München, Bayerische Staatsbibliothek, Clm 4305",D-Mbs,Clm 4305,
123684,"München, Bayerische Staatsbibliothek, Clm 4306",D-Mbs,Clm 4306,
1000094,"Munich, Bayerische Staatsbibliothek, Clm. 5539",D-Mbs,Clm. 5539,From the Augustinian monastery at Diessen
1000082,"Stuttgart, Württembergische Landesbibliothek, HB I, Asc. 95",D-Sl,"HB I, Asc. 95",
123637,"Stuttgart, Württembergische Landesbibliothek, HB.I.55",D-Sl,HB.I.55,
123757,"Trier, Bistumsarchiv, Abt. 95, Nr. 5",D-TRb,"Abt. 95, Nr. 5",
651162,"Trier, Stadtbibliothek Weberbach, 1245 / 597 (original)",D-TRs,1245 / 597 (original),
662398,"Trier, Stadtbibliothek Weberbach, 1245 / 597 (revised)",D-TRs,1245 / 597 (revised),
695170,"Trier, Stadtbibliothek Weberbach, F-2dpf",D-TRs,F-2dpf,
695231,"Trier, Stadtbibliothek Weberbach, F-2ggs",D-TRs,F-2ggs,
699459,"Trier, Stadtbibliothek Weberbach, F-5rkm",D-TRs,F-5rkm,
698177,"Trier, Stadtbibliothek Weberbach, F-661u",D-TRs,F-661u,
695901,"Trier, Stadtbibliothek Weberbach, F-6eoa",D-TRs,F-6eoa,
699525,"Trier, Stadtbibliothek Weberbach, F-76d5",D-TRs,F-76d5,
699521,"Trier, Stadtbibliothek Weberbach, F-7anv",D-TRs,F-7anv,
695712,"Trier, Stadtbibliothek Weberbach, F-7cii",D-TRs,F-7cii,
696486,"Trier, Stadtbibliothek Weberbach, F-7z72",D-TRs,F-7z72,
695960,"Trier, Stadtbibliothek Weberbach, F-82pg",D-TRs,F-82pg,
698191,"Trier, Stadtbibliothek Weberbach, F-87fs",D-TRs,F-87fs,
699081,"Trier, Stadtbibliothek Weberbach, F-87fs",D-TRs,F-87fs,
696381,"Trier, Stadtbibliothek Weberbach, F-8slb",D-TRs,F-8slb,
696057,"Trier, Stadtbibliothek Weberbach, F-a00a",D-TRs,F-a00a,
699542,"Trier, Stadtbibliothek Weberbach, F-a0yk",D-TRs,F-a0yk,
701008,"Trier, Stadtbibliothek Weberbach, F-b2zd",D-TRs,F-b2zd,
699082,"Trier, Stadtbibliothek Weberbach, F-byer",D-TRs,F-byer,
700999,"Trier, Stadtbibliothek Weberbach, F-c34q",D-TRs,F-c34q,
696560,"Trier, Stadtbibliothek Weberbach, F-c8jl",D-TRs,F-c8jl,
699102,"Trier, Stadtbibliothek Weberbach, F-chdk",D-TRs,F-chdk,
696538,"Trier, Stadtbibliothek Weberbach, F-dsjj",D-TRs,F-dsjj,
696548,"Trier, Stadtbibliothek Weberbach, F-dt0m",D-TRs,F-dt0m,
699091,"Trier, Stadtbibliothek Weberbach, F-e2zn",D-TRs,F-e2zn,
697939,"Trier, Stadtbibliothek Weberbach, F-e57b",D-TRs,F-e57b,
696069,"Trier, Stadtbibliothek Weberbach, F-eu4i",D-TRs,F-eu4i,
701383,"Trier, Stadtbibliothek Weberbach, F-f0gp",D-TRs,F-f0gp,
701370,"Trier, Stadtbibliothek Weberbach, F-g5fs",D-TRs,F-g5fs,
699105,"Trier, Stadtbibliothek Weberbach, F-gdjn",D-TRs,F-gdjn,
699131,"Trier, Stadtbibliothek Weberbach, F-ge1j",D-TRs,F-ge1j,
696570,"Trier, Stadtbibliothek Weberbach, F-ghak",D-TRs,F-ghak,
699252,"Trier, Stadtbibliothek Weberbach, F-h16v",D-TRs,F-h16v,
701546,"Trier, Stadtbibliothek Weberbach, F-hii0",D-TRs,F-hii0,
699139,"Trier, Stadtbibliothek Weberbach, F-impb",D-TRs,F-impb,
701493,"Trier, Stadtbibliothek Weberbach, F-irhl",D-TRs,F-irhl,
699360,"Trier, Stadtbibliothek Weberbach, F-izjo",D-TRs,F-izjo,
696405,"Trier, Stadtbibliothek Weberbach, F-jedx",D-TRs,F-jedx,
699349,"Trier, Stadtbibliothek Weberbach, F-k1ip",D-TRs,F-k1ip,
701563,"Trier, Stadtbibliothek Weberbach, F-kabt",D-TRs,F-kabt,
696077,"Trier, Stadtbibliothek Weberbach, F-lcn7",D-TRs,F-lcn7,
696103,"Trier, Stadtbibliothek Weberbach, F-mene",D-TRs,F-mene,
696090,"Trier, Stadtbibliothek Weberbach, F-mzph",D-TRs,F-mzph,
696411,"Trier, Stadtbibliothek Weberbach, F-n8h3",D-TRs,F-n8h3,
696581,"Trier, Stadtbibliothek Weberbach, F-nmyl",D-TRs,F-nmyl,
696621,"Trier, Stadtbibliothek Weberbach, F-onwg",D-TRs,F-onwg,
696158,"Trier, Stadtbibliothek Weberbach, F-ovo6",D-TRs,F-ovo6,
699372,"Trier, Stadtbibliothek Weberbach, F-p6th",D-TRs,F-p6th,
696439,"Trier, Stadtbibliothek Weberbach, F-pjh5",D-TRs,F-pjh5,
696585,"Trier, Stadtbibliothek Weberbach, F-qwjc",D-TRs,F-qwjc,
696260,"Trier, Stadtbibliothek Weberbach, F-rgta",D-TRs,F-rgta,
697849,"Trier, Stadtbibliothek Weberbach, F-sjgk",D-TRs,F-sjgk,
696485,"Trier, Stadtbibliothek Weberbach, F-svu8",D-TRs,F-svu8,
697802,"Trier, Stadtbibliothek Weberbach, F-vwh5",D-TRs,F-vwh5,
696244,"Trier, Stadtbibliothek Weberbach, F-vxn8",D-TRs,F-vxn8,
696221,"Trier, Stadtbibliothek Weberbach, F-w2xh",D-TRs,F-w2xh,
697759,"Trier, Stadtbibliothek Weberbach, F-wr2o",D-TRs,F-wr2o,
696226,"Trier, Stadtbibliothek Weberbach, F-wvbj",D-TRs,F-wvbj,
695120,"Trier, Stadtbibliothek Weberbach, F-x5ki",D-TRs,F-x5ki,
699456,"Trier, Stadtbibliothek Weberbach, F-x6uf",D-TRs,F-x6uf,
697528,"Trier, Stadtbibliothek Weberbach, F-xr2h",D-TRs,F-xr2h,
697927,"Trier, Stadtbibliothek Weberbach, F-xxns",D-TRs,F-xxns,
699387,"Trier, Stadtbibliothek Weberbach, F-yd41",D-TRs,F-yd41,
699431,"Trier, Stadtbibliothek Weberbach, F-yp7r",D-TRs,F-yp7r,
699443,"Trier, Stadtbibliothek Weberbach, F-yv74",D-TRs,F-yv74,
696457,"Trier, Stadtbibliothek Weberbach, F-zsxw",D-TRs,F-zsxw,
695071,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, 01-22, no. 2b-bis",D-TRs,"Fragmentenbox 12b, 01-22, no. 2b-bis",
697904,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, 23-42, no. 42b",D-TRs,"Fragmentenbox 12b, 23-42, no. 42b",
699507,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 01-22  no 13b",D-TRs,"Fragmentenbox 12b, Fragment 01-22  no 13b",
699474,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 01-22, no. 14b",D-TRs,"Fragmentenbox 12b, Fragment 01-22, no. 14b",
698165,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 23-42, 26b",D-TRs,"Fragmentenbox 12b, Fragment 23-42, 26b",
697865,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 23-42, no. 40b",D-TRs,"Fragmentenbox 12b, Fragment 23-42, no. 40b",
695128,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 43-71 no. 64b",D-TRs,"Fragmentenbox 12b, Fragment 43-71 no. 64b",
696351,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12c, Fragment 1-9, no. 2c",D-TRs,"Fragmentenbox 12c, Fragment 1-9, no. 2c",
696271,"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12c, Fragment 1-9, no.7c",D-TRs,"Fragmentenbox 12c, Fragment 1-9, no.7c",
695279,"Trier, Stadtbibliothek Weberbach, MS F-4ij3",D-TRs,MS F-4ij3,
123716,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",D-W,Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),
123715,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)",D-W,Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),
588308,"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex)",D-WIl,2 (Riesencodex),
676971,"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex), detached lower pastedown",D-WIl,"2 (Riesencodex), detached lower pastedown",
702501,"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex), detached upper pastedown",D-WIl,"2 (Riesencodex), detached upper pastedown",
1000022,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2160",DK-Kk,Fragm. 2160,"Unknown initial origin- in 1921 was acquired from sekundær proveniens (second province), Medløber fra Sotheby: 1921 (Sotheby's runner up, acquired in 1921 by the DKB)."
1000023,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2161",DK-Kk,Fragm. 2161,"Second province, acquired from Sotheby's 1921 (Sekundær proveniens: Medløber fra Sotheby: 1921)"
1000024,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2162",DK-Kk,Fragm. 2162,Acquired from Sotheby's in 1921
123690,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [02] II",DK-Kk,Gl. Kgl. S. 3449 8o [02] II,
123691,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [03] III",DK-Kk,Gl. Kgl. S. 3449 8o [03] III,
123692,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [04] IV",DK-Kk,Gl. Kgl. S. 3449 8o [04] IV,
