institution_siglum,source_shelfmark,source_title
CH-SGs,cod. 378,"Sankt-Gallen, Stiftsbibliothek, cod. 378"
CH-SGs,cod. 380,"Sankt-Gallen, Stiftsbibliothek, cod. 380"
CH-SGs,cod. 381,"Sankt-Gallen, Stiftsbibliothek, cod. 381"
CH-SGs,cod. 382,"Sankt-Gallen, Stiftsbibliothek, cod. 382"
CH-SGs,cod. 484,"Sankt-Gallen, Stiftsbibliothek, cod. 484"
CH-SGs,cod. 898,"Sankt-Gallen, Stiftsbibliothek, cod. 898"
CH-SGv,Vadiana 317,"Sankt-Gallen, Kantonsbibliothek, Vadiana 317"
CH-SH,95,"Schaffhausen, Stadtbibliothek, 95"
CH-Zm,26117,"Zurich, Schweizerisches Landesmuseum, 26117"
CH-Zz,Rh. 125,"Zürich, Zentralbibliothek, Rh. 125"
CH-Zz,Rh. 132,"Zürich, Zentralbibliothek, Rh. 132"
CH-Zz,Rh. 14,"Zürich, Zentralbibliothek, Rh. 14"
CH-Zz,Rh. 55,"Zürich, Zentralbibliothek, Rh. 55"
CH-Zz,Rh. 80,"Zürich, Zentralbibliothek, Rh. 80"
CZ-Bu,Rajhrad 387,"Brno, Moravská zemská knihovna v Brně, Rajhrad 387"
CZ-HKm,Antiphonary II A 1,"Hradec Králové, Muzeum Východních Čech v Hradci Králové, Antiphonary II A 1"
CZ-Pap,P VIII,"Prague, Knihovna metropolitni kapituly sv. Vita, P VIII"
CZ-Pst,DE I 7,"Prague, Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7"
CZ-Pu,I G 17,"Prague, Národní knihovna České republiky (National Library), I G 17"
CZ-Pu,VI G 10a,
CZ-Pu,VI.E.4c,"Prague, Národní knihovna České republiky (National Library), VI.E.4c"
CZ-Pu,VII G 16,
CZ-Pu,XI C 3,"Prague, University Library, XI C 3"
CZ-Pu,XI C 3,"Prague, University Library, XI C 3"
CZ-Pu,XIII.C.4,"Prague, Národní knihovna České republiky (National Library), XIII.C.4"
CZ-Pu,XIV.B.13,"Prague, Národní knihovna České republiky (National Library), XIV.B.13"
D-AAd,13 (XII),"Aachen, Bischöfliche Diözesanbibliothek, 13 (XII)"
D-AAd,13 (XII),"Aachen, Bischöfliche Diözesanbibliothek, 13 (XII)"
D-AAm,G 20,"Aachen (Aix-la-Chapelle), Domarchiv, G 20"
D-B,MUS. MS. 40608,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, MUS. MS. 40608"
D-B,Mus. 40047,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. 40047"
D-B,Mus. ms. 40 222,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, Mus. ms. 40 222"
D-B,th.lat.4o  11,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, th.lat.4o  11"
D-B,th.lat.4o  664,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, th.lat.4o  664"
D-BAs,Msc.Bibl.79,"Bamberg, Staatsbibliothek, Msc.Bibl.79"
D-BAs,Msc.Lit.25 (olim Ed.IV.11),"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)"
D-BAs,Msc.Lit.27,"Bamberg, Staatsbibliothek, Msc.Lit.27"
D-BAs,lit. 12,"Bamberg, Staatsbibliothek, lit. 12"
D-BAs,lit. 5,"Bamberg, Staatsbibliothek, lit. 5"
D-BAs,lit. 6,"Bamberg, Staatsbibliothek, lit. 6"
D-Bds,mus. 40078 (Z. 78),"Berlin, Deutsche Staatsbibliothek, mus. 40078 (Z. 78)"
D-DS,545,"Darmstadt, Hessische Landes- und Hochschulbibliothek, 545"
D-DS,868,"Darmstadt, Hessische Landes- und Hochschulbibliothek, 868"
D-Dl,A. 122,"Dresden, Sächsische Landesbibliothek, A. 122"
D-FUl,Aa 55,"Fulda, Hessische Landesbibliothek, Aa 55"
D-Gsta,AB III 9,"Göttingen, Stadtarchiv, AB III 9"
D-KA,Aug. 209,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. 209"
D-KA,Aug. LX,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. LX"
D-KA,B. 102,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, B. 102"
D-KA,L[ichtenthal]. 5,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, L[ichtenthal]. 5"
D-KA,L[ichtenthal]. 60,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, L[ichtenthal]. 60"
D-KA,S. Peter 15,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, S. Peter 15"
D-KA,S. Peter 44,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, S. Peter 44"
D-KA,Sankt-Georgen 3,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Sankt-Georgen 3"
D-KA,Sankt-Georgen 31,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Sankt-Georgen 31"
D-KA,St. Peter 14a,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, St. Peter 14a"
D-KA,St. Peter 16,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, St. Peter 16"
D-KA,UH1,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, UH1"
D-KNa,W. f. 270,"Köln, Historisches Archiv, W. f. 270"
D-KNd,1161,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161"
D-KNd,215,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 215"
D-KNd,226,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 226"
D-Kl,4o theol. 15,"Kassel, Landesbibliothek, 4o theol. 15"
D-Kl,4o theol. 5,"Kassel, Landesbibliothek, 4o theol. 5"
D-LEu,391,"Leipzig, Universitätsbibliothek, 391"
D-LEu,Rep. I 93,"Leipzig, Universitätsbibliothek, Rep. I 93"
D-MZb,A,"Mainz, Bischöfliches Dom- und Diözesanmuseum, A"
D-MZb,B,"Mainz, Bischöfliches Dom- und Diözesanmuseum, B"
D-MZb,C,"Mainz, Bischöfliches Dom- und Diözesanmuseum, C"
D-MZb,D,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D"
D-MZb,E,"Mainz, Bischöfliches Dom- und Diözesanmuseum, E"
D-Ma,12o Cmm 1,"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1"
D-Mbs,Cgm 716,"München, Bayerische Staatsbibliothek, Cgm 716"
D-Mbs,Clm  18392,"München, Bayerische Staatsbibliothek, Clm  18392"
D-Mbs,Clm 10075,"München, Bayerische Staatsbibliothek, Clm 10075"
D-Mbs,Clm 11004,"München, Bayerische Staatsbibliothek, Clm 11004"
D-Mbs,Clm 13125,"München, Bayerische Staatsbibliothek, Clm 13125"
D-Mbs,Clm 14013,"München, Bayerische Staatsbibliothek, Clm 14013"
D-Mbs,Clm 14045,"München, Bayerische Staatsbibliothek, Clm 14045"
D-Mbs,Clm 14083,"München, Bayerische Staatsbibliothek, Clm 14083"
D-Mbs,Clm 14322,"München, Bayerische Staatsbibliothek, Clm 14322"
D-Mbs,Clm 14343,"München, Bayerische Staatsbibliothek, Clm 14343"
D-Mbs,Clm 14843,"München, Bayerische Staatsbibliothek, Clm 14843"
D-Mbs,Clm 14845,"München, Bayerische Staatsbibliothek, Clm 14845"
D-Mbs,Clm 14926,"München, Bayerische Staatsbibliothek, Clm 14926"
D-Mbs,Clm 15730,"München, Bayerische Staatsbibliothek, Clm 15730"
D-Mbs,Clm 17018,"München, Bayerische Staatsbibliothek, Clm 17018"
D-Mbs,Clm 17019,"München, Bayerische Staatsbibliothek, Clm 17019"
D-Mbs,Clm 17021,"München, Bayerische Staatsbibliothek, Clm 17021"
D-Mbs,Clm 17025,"München, Bayerische Staatsbibliothek, Clm 17025"
D-Mbs,Clm 17100,"München, Bayerische Staatsbibliothek, Clm 17100"
D-Mbs,Clm 17212,"München, Bayerische Staatsbibliothek, Clm 17212"
D-Mbs,Clm 18955,"München, Bayerische Staatsbibliothek, Clm 18955"
D-Mbs,Clm 18956,"München, Bayerische Staatsbibliothek, Clm 18956"
D-Mbs,Clm 19162,"München, Bayerische Staatsbibliothek, Clm 19162"
D-Mbs,Clm 19242,"München, Bayerische Staatsbibliothek, Clm 19242"
D-Mbs,Clm 19266,"München, Bayerische Staatsbibliothek, Clm 19266"
D-Mbs,Clm 19267,"München, Bayerische Staatsbibliothek, Clm 19267"
D-Mbs,Clm 23001,"München, Bayerische Staatsbibliothek, Clm 23001"
D-Mbs,Clm 23026,"München, Bayerische Staatsbibliothek, Clm 23026"
D-Mbs,Clm 23044,"München, Bayerische Staatsbibliothek, Clm 23044"
D-Mbs,Clm 23045,"München, Bayerische Staatsbibliothek, Clm 23045"
D-Mbs,Clm 23063,"München, Bayerische Staatsbibliothek, Clm 23063"
D-Mbs,Clm 23270,"München, Bayerische Staatsbibliothek, Clm 23270"
D-Mbs,Clm 23284,"München, Bayerische Staatsbibliothek, Clm 23284"
D-Mbs,Clm 23285,"München, Bayerische Staatsbibliothek, Clm 23285"
D-Mbs,Clm 23286,"München, Bayerische Staatsbibliothek, Clm 23286"
D-Mbs,Clm 23287,"München, Bayerische Staatsbibliothek, Clm 23287"
D-Mbs,Clm 27020,"München, Bayerische Staatsbibliothek, Clm 27020"
D-Mbs,Clm 27130,"München, Bayerische Staatsbibliothek, Clm 27130"
D-Mbs,Clm 29308(1,"München, Bayerische Staatsbibliothek, Clm 29308(1"
D-Mbs,Clm 29308(1,"München, Bayerische Staatsbibliothek, Clm 29308(1"
D-Mbs,Clm 29308(18,"München, Bayerische Staatsbibliothek, Clm 29308(18"
D-Mbs,Clm 29308(2,"München, Bayerische Staatsbibliothek, Clm 29308(2"
D-Mbs,Clm 29308(5,"München, Bayerische Staatsbibliothek, Clm 29308(5"
D-Mbs,Clm 3008,"München, Bayerische Staatsbibliothek, Clm 3008"
D-Mbs,Clm 3311,"München, Bayerische Staatsbibliothek, Clm 3311"
D-Mbs,Clm 3906,"München, Bayerische Staatsbibliothek, Clm 3906"
D-Mbs,Clm 3914,"München, Bayerische Staatsbibliothek, Clm 3914"
D-Mbs,Clm 4101,"München, Bayerische Staatsbibliothek, Clm 4101"
D-Mbs,Clm 4303,"München, Bayerische Staatsbibliothek, Clm 4303"
D-Mbs,Clm 4304,"München, Bayerische Staatsbibliothek, Clm 4304"
D-Mbs,Clm 4305,"München, Bayerische Staatsbibliothek, Clm 4305"
D-Mbs,Clm 4306,"München, Bayerische Staatsbibliothek, Clm 4306"
D-Mbs,Clm 4519,"München, Bayerische Staatsbibliothek, Clm 4519"
D-Mbs,Clm 4548,"München, Bayerische Staatsbibliothek, Clm 4548"
D-Mbs,Clm 5023,"München, Bayerische Staatsbibliothek, Clm 5023"
D-Mbs,Clm 6913,"München, Bayerische Staatsbibliothek, Clm 6913"
D-Mbs,Clm 7815,"München, Bayerische Staatsbibliothek, Clm 7815"
D-Mbs,Clm 7919,"München, Bayerische Staatsbibliothek, Clm 7919"
D-Mbs,Clm 8710,"München, Bayerische Staatsbibliothek, Clm 8710"
D-Mbs,Clm 9508,"München, Bayerische Staatsbibliothek, Clm 9508"
D-Mbs,Clm. 5539,"Munich, Bayerische Staatsbibliothek, Clm. 5539"
