fragment,siglum,shelfmark
F-777g,US-CTpc D-0777g,D:0777g
F-5k5s,US-CinOHpc D-05k5s,D:05k5s
F-3e8a,US-DN D-03e8a,D:03e8a
F-aehq,US-DN D-0aehq,D:0aehq
F-i04c,US-DN D-0i04c,D:0i04c
F-pkgx,US-DN D-0pkgx,D:0pkgx
F-qcjh,US-DN D-0qcjh,D:0qcjh
F-p4kz,US-IssWApc D-0p4kz,D:0p4kz
F-m065,US-KClbsc MS 0285 Object 1,MS 0285 Object 1
F-tkbn,US-KClbsc MS 0285 Object 2,MS 0285 Object 2
F-mlqw,US-KClbsc MS 0285 Object 3,MS 0285 Object 3
F-ngyy,US-KClbsc MS 0285 Object 4,MS 0285 Object 4
F-vxw1,US-KClbsc MS 0285 Object 5-6,MS 0285 Object 5-6
F-mgcs,US-NYcub Western MS 080,Western MS 080
F-3cfi,US-NYpc D-03cfi,D:03cfi
F-6g6c,US-NYpc D-06g6c,D:06g6c
F-ghwf,US-NYpc D-0ghwf,D:0ghwf
F-kmpp,US-NYpc D-0kmpp,D:0kmpp
F-1gne,US-Nevpc 01gne,F-1gne
F-e330,US-OakCApc D-0e330,D:0e330
F-ui24,US-PHf Lewis E M 67:2,Lewis E M 67:2
F-zgch,US-Phpc D-0zgch,D:0zgch
F-7e7c,US-RiCTpc D-07e7c,D:07e7c
F-7lvz,US-RiCTpc D-07lvz,D:07lvz
F-b3z1,US-RiCTpc D-0b3z1,D:0b3z1
F-e78r,US-RiCTpc D-0e78r,D:0e78r
F-f4dd,US-RiCTpc D-0f4dd,D:0f4dd
F-gpiu,US-RiCTpc D-0gpiu,D:0gpiu
F-jb34,US-RiCTpc D-0jb34,D:0jb34
F-k0iy,US-RiCTpc D-0k0iy,D:0k0iy
F-ksrz,US-RiCTpc D-0ksrz,D:0ksrz
F-ly13,US-RiCTpc D-0ly13,D:0ly13
F-qz8m,US-RiCTpc D-0qz8m,D:0qz8m
F-rvs2,US-RiCTpc D-0rvs2,D:0rvs2
F-vyii,US-RiCTpc D-0vyii,D:0vyii
F-yp1h,US-RiCTpc D-0yp1h,D:0yp1h
F-5qz8,US-SLprl s.s. D-05qz8,D:05qz8
F-fery,US-SalNHpc D-0fery,D:0fery
F-tgz3,US-Unpc D-0tgz3,D:0tgz3
F-poon,US-pc(CA) D-0poon,D:0poon
F-16kc,US-pc(MA) D-016kc,D:016kc
F-tczn,US-pc(MA) D-0tczn,D:0tczn
F-x5uo,US-pc(OH) D-0xfuo,D:0x5uo
F-bz05,"US-pc(Texas), D-0bz05",D:0bz05
F-0jf0,US-pc(VA) D-00jf0,D:00jf0
F-to02,US-pc(Washington) D-0to02,D:0to02
F-723s,XX-NN F-723s,F-723s
F-g8xi,XX-NN F-g8xi,F-g8xi
F-ppmq,XX-NN F-ppmq,F-ppmq
F-jwc0,ZA-Newpc D-0jwc0,D:0jwc0
F-luvn,ZA-Newpc D-0luvn,D:0luvn
